event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
4,45472788586388,/autodrive/roboracer_1/left_encoder,JointState,1789416523858307258,,"{""position"":[0.0],""velocity"":[]}"
5,45472788733395,/autodrive/roboracer_1/right_encoder,JointState,1789416523858307258,,"{""position"":[0.0],""velocity"":[]}"
18,45472812076670,/autodrive/roboracer_1/left_encoder,JointState,1789416523883307264,,"{""position"":[0.0],""velocity"":[]}"
19,45472812214489,/autodrive/roboracer_1/right_encoder,JointState,1789416523883307264,,"{""position"":[0.0],""velocity"":[]}"
34,45472837215854,/autodrive/roboracer_1/left_encoder,JointState,1789416523908307250,,"{""position"":[0.0],""velocity"":[]}"
35,45472837330209,/autodrive/roboracer_1/right_encoder,JointState,1789416523908307250,,"{""position"":[0.0],""velocity"":[]}"
48,45472861353824,/autodrive/roboracer_1/left_encoder,JointState,1789416523933307250,,"{""position"":[0.0],""velocity"":[]}"
49,45472861487275,/autodrive/roboracer_1/right_encoder,JointState,1789416523933307250,,"{""position"":[0.0],""velocity"":[]}"
64,45472886907969,/autodrive/roboracer_1/left_encoder,JointState,1789416523958307267,,"{""position"":[0.0],""velocity"":[]}"
65,45472887055918,/autodrive/roboracer_1/right_encoder,JointState,1789416523958307267,,"{""position"":[0.0],""velocity"":[]}"
80,45472912272217,/autodrive/roboracer_1/left_encoder,JointState,1789416523983307273,,"{""position"":[0.0],""velocity"":[]}"
81,45472912399416,/autodrive/roboracer_1/right_encoder,JointState,1789416523983307273,,"{""position"":[0.0],""velocity"":[]}"
98,45472937252211,/autodrive/roboracer_1/left_encoder,JointState,1789416524008307279,,"{""position"":[0.0],""velocity"":[]}"
99,45472937386694,/autodrive/roboracer_1/right_encoder,JointState,1789416524008307279,,"{""position"":[0.0],""velocity"":[]}"
116,45472962605779,/autodrive/roboracer_1/left_encoder,JointState,1789416524033307250,,"{""position"":[0.0],""velocity"":[]}"
117,45472962764077,/autodrive/roboracer_1/right_encoder,JointState,1789416524033307250,,"{""position"":[0.0],""velocity"":[]}"
134,45472986104947,/autodrive/roboracer_1/left_encoder,JointState,1789416524058307250,,"{""position"":[0.0],""velocity"":[]}"
135,45472986255280,/autodrive/roboracer_1/right_encoder,JointState,1789416524058307250,,"{""position"":[0.0],""velocity"":[]}"
152,45473012381401,/autodrive/roboracer_1/left_encoder,JointState,1789416524083307267,,"{""position"":[0.0],""velocity"":[]}"
