run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
105_pr6_odom_slip_amcl_production_20260914,1,6,6,0.188000008,189,671,0.8001,3.159,0.0594,0.0065,0.0065,-0.7071,0.7071,0.0,0.0184,4.7124,0.0047,0.0,-0.0118,0.0,0.0652,0.0,-0.0237,0.0,0.0403,0.0,0.0
105_pr6_odom_slip_amcl_production_20260914,2,7,7,0.213000014,214,784,0.8001,3.1589,0.0594,0.007,0.007,-0.7071,0.7071,0.0,0.0199,4.7124,0.0042,0.0,-0.0103,0.0,0.0576,0.0,-0.0209,0.0005,0.0625,0.0,0.0
105_pr6_odom_slip_amcl_production_20260914,3,8,8,0.238,239,856,0.8001,3.1588,0.0593,0.0075,0.0075,-0.7071,0.7071,0.0,0.0212,4.7124,0.0037,0.0,-0.009,0.0,0.0508,0.0,-0.0192,-0.001,0.0561,0.0,0.0
105_pr6_odom_slip_amcl_production_20260914,4,9,9,0.263,264,941,0.8001,3.1588,0.0593,0.0079,0.0079,-0.7071,0.7071,0.0,0.0224,4.7124,0.0033,0.0,-0.0079,0.0001,0.0449,0.0,-0.0171,0.001,0.0586,0.0,0.0
105_pr6_odom_slip_amcl_production_20260914,5,10,10,0.288000017,289,1029,0.8001,3.1587,0.0593,0.0083,0.0083,-0.707,0.7071,0.0,0.0235,4.7124,0.0029,0.0,-0.007,0.0,0.0396,0.0,-0.0148,0.0001,0.0319,0.0,0.0
105_pr6_odom_slip_amcl_production_20260914,6,11,11,0.313000023,314,1129,0.8001,3.1587,0.0593,0.0086,0.0086,-0.707,0.7071,0.0,0.0244,4.7124,0.0026,0.0,-0.0061,0.0,0.0349,0.0,-0.0122,0.0018,0.0446,0.0,0.0
105_pr6_odom_slip_amcl_production_20260914,7,12,12,0.338000029,339,1191,0.8001,3.1586,0.0593,0.0089,0.0089,-0.707,0.7071,0.0,0.0252,4.7124,0.0023,0.0,-0.0054,0.0,0.0308,0.0,-0.0117,-0.001,0.0173,0.0,0.0
105_pr6_odom_slip_amcl_production_20260914,8,13,13,0.363,364,1271,0.8001,3.1586,0.0593,0.0092,0.0092,-0.707,0.7071,0.0,0.0259,4.7124,0.002,0.0,-0.0047,0.0,0.0272,0.0,-0.011,0.0011,0.0358,0.0,0.0
105_pr6_odom_slip_amcl_production_20260914,9,14,14,0.388,389,1362,0.8001,3.1585,0.0592,0.0094,0.0094,-0.707,0.7071,0.0,0.0266,4.7124,0.0018,0.0,-0.0041,-0.0001,0.024,0.0,-0.0097,0.0004,0.0235,0.0,0.0
105_pr6_odom_slip_amcl_production_20260914,10,15,15,0.413000017,414,1461,0.8001,3.1585,0.0592,0.0096,0.0096,-0.707,0.7071,0.0,0.0271,4.7124,0.0016,0.0,-0.0036,0.0,0.0212,0.0,-0.0084,0.0001,0.033,0.0,0.0
105_pr6_odom_slip_amcl_production_20260914,11,16,16,0.439,440,1574,0.8001,3.1585,0.0592,0.0098,0.0098,-0.707,0.7071,0.0,0.0277,4.7124,0.0014,0.0,-0.0032,0.0,0.0186,0.0,-0.008,0.0016,0.0431,0.0,0.0
105_pr6_odom_slip_amcl_production_20260914,12,17,17,0.464000016,465,1669,0.8001,3.1584,0.0592,0.0099,0.0099,-0.707,0.7071,0.0,0.0281,4.7124,0.0012,0.0,-0.0028,-0.0001,0.0163,0.0,-0.0048,0.0013,-0.0192,0.0,0.0
105_pr6_odom_slip_amcl_production_20260914,13,18,18,0.488000035,489,1764,0.8001,3.1584,0.0592,0.0101,0.0101,-0.707,0.7071,0.0,0.0285,4.7124,0.0011,0.0,-0.0026,-0.0001,0.0146,0.0,-0.0048,0.0009,-0.0073,0.0,0.0
105_pr6_odom_slip_amcl_production_20260914,14,19,19,0.513,514,1854,0.8001,3.1584,0.0592,0.0102,0.0102,-0.707,0.7071,0.0,0.0288,4.7124,0.0009,0.0,-0.0023,0.0,0.0128,0.0,-0.0043,0.0004,0.0114,0.0,0.0
105_pr6_odom_slip_amcl_production_20260914,15,20,20,0.538000047,539,1942,0.8001,3.1584,0.0592,0.0103,0.0103,-0.707,0.7071,0.0,0.0291,4.7124,0.0008,0.0,-0.0019,0.0,0.0113,0.0,-0.0062,-0.0002,0.0331,0.0,0.0
105_pr6_odom_slip_amcl_production_20260914,16,21,21,0.562000036,563,2041,0.8002,3.1576,0.0591,0.0101,0.0101,-0.707,0.7071,-0.0029,0.0285,4.7126,0.0564,0.0017,-0.0004,0.0037,-0.0252,0.0124,1.1524,0.1057,0.0261,0.0131,0.0164
105_pr6_odom_slip_amcl_production_20260914,17,22,22,0.588,589,2138,0.8002,3.155,0.0588,0.0097,0.0096,-0.7068,0.7073,0.0002,0.0274,4.7131,0.1276,0.0043,0.0016,0.0015,-0.0284,0.0278,1.317,0.0548,0.0747,0.0622,0.0654
105_pr6_odom_slip_amcl_production_20260914,18,23,23,0.614,615,2244,0.8002,3.1505,0.0586,0.0094,0.0092,-0.7064,0.7077,0.0002,0.0263,4.7141,0.2,0.0068,0.0036,0.0009,-0.0256,0.0433,1.4071,0.065,0.0395,0.1407,0.1505
