event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
0,46290584978724,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1,46290585247800,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
15,46290609621425,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
19,46290610757601,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
30,46290634789303,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
31,46290634983969,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
45,46290661205758,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
46,46290661524126,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
60,46290685072410,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
61,46290685357385,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
76,46290710318294,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
77,46290710636653,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
94,46290735799601,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
95,46290736132497,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
112,46290760772693,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
113,46290761165762,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
130,46290785353778,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
131,46290785685091,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
148,46290810132144,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
149,46290810347419,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
166,46290834932341,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
167,46290835155601,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
184,46290859724733,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
185,46290859998748,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
202,46290885122794,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
203,46290885345502,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
220,46290910149426,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
221,46290910366033,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
238,46290935280545,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
239,46290935508123,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
256,46290959650002,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
257,46290959888360,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
274,46290985319513,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
275,46290985605480,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
292,46291010228975,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
293,46291010570948,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
310,46291035395811,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
311,46291035673834,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
328,46291059392868,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
329,46291059597172,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
346,46291084763668,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
347,46291085057360,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
364,46291109611905,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
365,46291109817862,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
382,46291134842961,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
383,46291135143626,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
400,46291159811775,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
401,46291160076503,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
418,46291185071195,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
419,46291185285398,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.006000000052154064}"
436,46291210515733,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
437,46291210719887,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.008999999612569809}"
454,46291236308816,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
455,46291236579655,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.008999999612569809}"
472,46291260641083,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.008999999612569809}"
477,46291262296385,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
490,46291285252105,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
491,46291285426933,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.008999999612569809}"
508,46291310503489,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
509,46291310724876,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.008999999612569809}"
526,46291334724337,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
527,46291334960571,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.008999999612569809}"
544,46291359648367,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
545,46291359855847,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.008999999612569809}"
562,46291384869605,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
563,46291385118413,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.008999999612569809}"
580,46291410297001,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
581,46291410512726,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.008999999612569809}"
598,46291434509453,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
599,46291434752670,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.039000000804662704}"
616,46291460337411,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
