event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
3,46290588471129,/autodrive/roboracer_1/imu,Imu,1789417341657411966,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.063,""ax_mps2"":-0.0215,""ay_mps2"":-0.0009,""az_mps2"":0.0474,""orientation_w"":0.7071,""orientation_x"":0.0066,""orientation_y"":0.0066,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
20,46290611270665,/autodrive/roboracer_1/imu,Imu,1789417341682411972,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0556,""ax_mps2"":-0.0196,""ay_mps2"":0.0015,""az_mps2"":0.0519,""orientation_w"":0.7071,""orientation_x"":0.0072,""orientation_y"":0.0072,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
33,46290636066884,/autodrive/roboracer_1/imu,Imu,1789417341707411958,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0491,""ax_mps2"":-0.0167,""ay_mps2"":-0.0008,""az_mps2"":0.0075,""orientation_w"":0.7071,""orientation_x"":0.0076,""orientation_y"":0.0076,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
48,46290662898309,/autodrive/roboracer_1/imu,Imu,1789417341733411986,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0431,""ax_mps2"":-0.0153,""ay_mps2"":0.0009,""az_mps2"":0.0467,""orientation_w"":0.7071,""orientation_x"":0.0081,""orientation_y"":0.0081,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
63,46290686545409,/autodrive/roboracer_1/imu,Imu,1789417341758411958,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.038,""ax_mps2"":-0.0147,""ay_mps2"":-0.0002,""az_mps2"":0.0282,""orientation_w"":0.7071,""orientation_x"":0.0084,""orientation_y"":0.0084,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
79,46290712046793,/autodrive/roboracer_1/imu,Imu,1789417341782411981,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0338,""ax_mps2"":-0.0125,""ay_mps2"":-0.0002,""az_mps2"":0.0336,""orientation_w"":0.7071,""orientation_x"":0.0087,""orientation_y"":0.0087,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
97,46290737518142,/autodrive/roboracer_1/imu,Imu,1789417341807411987,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0298,""ax_mps2"":-0.0109,""ay_mps2"":0.0008,""az_mps2"":0.0175,""orientation_w"":0.7071,""orientation_x"":0.009,""orientation_y"":0.009,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
115,46290762413387,/autodrive/roboracer_1/imu,Imu,1789417341833411980,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0261,""ax_mps2"":-0.0096,""ay_mps2"":-0.0016,""az_mps2"":0.0324,""orientation_w"":0.7071,""orientation_x"":0.0092,""orientation_y"":0.0092,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
133,46290786772956,/autodrive/roboracer_1/imu,Imu,1789417341857411958,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0232,""ax_mps2"":-0.009,""ay_mps2"":-0.0002,""az_mps2"":0.0247,""orientation_w"":0.707,""orientation_x"":0.0095,""orientation_y"":0.0095,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
151,46290811402051,/autodrive/roboracer_1/imu,Imu,1789417341883411992,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0203,""ax_mps2"":-0.0082,""ay_mps2"":0.0014,""az_mps2"":0.026,""orientation_w"":0.707,""orientation_x"":0.0097,""orientation_y"":0.0097,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
169,46290836234248,/autodrive/roboracer_1/imu,Imu,1789417341908411958,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0179,""ax_mps2"":-0.0076,""ay_mps2"":0.0007,""az_mps2"":0.0323,""orientation_w"":0.707,""orientation_x"":0.0098,""orientation_y"":0.0098,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
187,46290861195487,/autodrive/roboracer_1/imu,Imu,1789417341932411987,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0159,""ax_mps2"":-0.0054,""ay_mps2"":0.0005,""az_mps2"":-0.0011,""orientation_w"":0.707,""orientation_x"":0.01,""orientation_y"":0.01,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
205,46290886413039,/autodrive/roboracer_1/imu,Imu,1789417341957411993,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.014,""ax_mps2"":-0.0063,""ay_mps2"":0.0006,""az_mps2"":0.0285,""orientation_w"":0.707,""orientation_x"":0.0101,""orientation_y"":0.0101,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
223,46290911458527,/autodrive/roboracer_1/imu,Imu,1789417341982411999,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0124,""ax_mps2"":-0.0036,""ay_mps2"":0.0008,""az_mps2"":-0.0068,""orientation_w"":0.707,""orientation_x"":0.0102,""orientation_y"":0.0102,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
241,46290936714280,/autodrive/roboracer_1/imu,Imu,1789417342008411958,,"{""angular_velocity_x_radps"":-0.0001,""angular_velocity_y_radps"":0.0108,""ax_mps2"":-0.0048,""ay_mps2"":0.0004,""az_mps2"":0.0386,""orientation_w"":0.707,""orientation_x"":0.0103,""orientation_y"":0.0103,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
259,46290960991053,/autodrive/roboracer_1/imu,Imu,1789417342033411998,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0096,""ax_mps2"":-0.0043,""ay_mps2"":0.0002,""az_mps2"":0.0451,""orientation_w"":0.707,""orientation_x"":0.0104,""orientation_y"":0.0104,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
277,46290986882371,/autodrive/roboracer_1/imu,Imu,1789417342057411958,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0086,""ax_mps2"":-0.0032,""ay_mps2"":0.0003,""az_mps2"":0.0124,""orientation_w"":0.707,""orientation_x"":0.0105,""orientation_y"":0.0105,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
295,46291011951753,/autodrive/roboracer_1/imu,Imu,1789417342083412009,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0075,""ax_mps2"":-0.0037,""ay_mps2"":0.0023,""az_mps2"":0.0115,""orientation_w"":0.707,""orientation_x"":0.0106,""orientation_y"":0.0106,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
314,46291038525404,/autodrive/roboracer_1/imu,Imu,1789417342107411999,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0066,""ax_mps2"":-0.0024,""ay_mps2"":-0.0003,""az_mps2"":0.0201,""orientation_w"":0.707,""orientation_x"":0.0106,""orientation_y"":0.0106,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
331,46291060644010,/autodrive/roboracer_1/imu,Imu,1789417342133411958,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0058,""ax_mps2"":-0.0022,""ay_mps2"":-0.0018,""az_mps2"":-0.0002,""orientation_w"":0.707,""orientation_x"":0.0107,""orientation_y"":0.0107,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
349,46291086210838,/autodrive/roboracer_1/imu,Imu,1789417342157412010,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0051,""ax_mps2"":-0.0017,""ay_mps2"":0.001,""az_mps2"":-0.0164,""orientation_w"":0.707,""orientation_x"":0.0107,""orientation_y"":0.0107,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
367,46291111029249,/autodrive/roboracer_1/imu,Imu,1789417342182411958,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0046,""ax_mps2"":-0.0022,""ay_mps2"":-0.0004,""az_mps2"":0.0077,""orientation_w"":0.707,""orientation_x"":0.0108,""orientation_y"":0.0108,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
385,46291136340957,/autodrive/roboracer_1/imu,Imu,1789417342207412022,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.004,""ax_mps2"":-0.0009,""ay_mps2"":0.0,""az_mps2"":-0.0038,""orientation_w"":0.707,""orientation_x"":0.0108,""orientation_y"":0.0108,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
403,46291161226735,/autodrive/roboracer_1/imu,Imu,1789417342232411999,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0035,""ax_mps2"":-0.0002,""ay_mps2"":-0.0006,""az_mps2"":-0.0098,""orientation_w"":0.707,""orientation_x"":0.0108,""orientation_y"":0.0108,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
421,46291186348997,/autodrive/roboracer_1/imu,Imu,1789417342257411958,,"{""angular_velocity_x_radps"":0.0073,""angular_velocity_y_radps"":-0.0707,""ax_mps2"":2.5691,""ay_mps2"":0.2118,""az_mps2"":0.094,""orientation_w"":0.7071,""orientation_x"":0.0103,""orientation_y"":0.0103,""orientation_z"":-0.707,""yaw_rate_radps"":0.0234}"
