event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
6,46627494278425,/odom,Odometry,1789417678562497303,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
7,46627494611852,/ekf_odom,Odometry,1789417678562497303,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
21,46627516197171,/odom,Odometry,1789417678587497301,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-1.3140710911407895e-05,""yaw_rate_radps"":0.0}"
23,46627516855358,/ekf_odom,Odometry,1789417678587497301,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-1.3140710911407897e-05,""yaw_rate_radps"":0.0}"
36,46627542430545,/odom,Odometry,1789417678612497307,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-2.7541886610249474e-05,""yaw_rate_radps"":0.0}"
37,46627542655678,/ekf_odom,Odometry,1789417678612497307,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-2.7541886610249484e-05,""yaw_rate_radps"":0.0}"
51,46627567818821,/odom,Odometry,1789417678638497297,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-4.450380326037618e-05,""yaw_rate_radps"":0.0}"
52,46627568161675,/ekf_odom,Odometry,1789417678638497297,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-4.450380326037619e-05,""yaw_rate_radps"":0.0}"
66,46627591889581,/odom,Odometry,1789417678662497297,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-5.890588226398208e-05,""yaw_rate_radps"":0.0}"
69,46627592856939,/ekf_odom,Odometry,1789417678662497297,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-5.890588226398208e-05,""yaw_rate_radps"":0.0}"
72,46627597564406,/amcl_pose,PoseWithCovarianceStamped,1789417678662497297,,"{""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.5708552326771608}"
82,46627617118708,/odom,Odometry,1789417678687497310,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-7.4748648264622e-05,""yaw_rate_radps"":0.0}"
83,46627617366563,/ekf_odom,Odometry,1789417678687497310,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-7.474864826462202e-05,""yaw_rate_radps"":0.0}"
84,46627617566589,/current_map_pose,PoseWithCovarianceStamped,1789417678687497310,,"{""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.5708710754431612}"
89,46627622068481,/amcl_pose,PoseWithCovarianceStamped,1789417678687497310,,"{""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.5708710754431612}"
100,46627641965526,/odom,Odometry,1789417678712497297,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-8.90515764486732e-05,""yaw_rate_radps"":0.0}"
102,46627642874675,/ekf_odom,Odometry,1789417678712497297,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-8.905157644867322e-05,""yaw_rate_radps"":0.0}"
103,46627643088286,/current_map_pose,PoseWithCovarianceStamped,1789417678712497297,,"{""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.5708853783713452}"
107,46627646921571,/amcl_pose,PoseWithCovarianceStamped,1789417678712497297,,"{""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.5708853783713452}"
118,46627667919596,/odom,Odometry,1789417678737497322,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-0.00010121438826482536,""yaw_rate_radps"":0.0}"
119,46627668232894,/ekf_odom,Odometry,1789417678737497322,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-0.00010121438826482538,""yaw_rate_radps"":0.0}"
122,46627669133998,/current_map_pose,PoseWithCovarianceStamped,1789417678737497322,,"{""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.5708975411831614}"
125,46627671861334,/amcl_pose,PoseWithCovarianceStamped,1789417678737497322,,"{""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.5708975411831614}"
136,46627692563483,/odom,Odometry,1789417678762497297,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-0.00011401766764951304,""yaw_rate_radps"":0.0}"
137,46627692937726,/ekf_odom,Odometry,1789417678762497297,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-0.00011401766764951304,""yaw_rate_radps"":0.0}"
138,46627693241888,/current_map_pose,PoseWithCovarianceStamped,1789417678762497297,,"{""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.570910344462546}"
143,46627696131168,/amcl_pose,PoseWithCovarianceStamped,1789417678762497297,,"{""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.570910344462546}"
154,46627716355248,/odom,Odometry,1789417678787497297,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.000158848118172017,""yaw_rate_radps"":0.0}"
