event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
4,48457733589192,/autodrive/roboracer_1/left_encoder,JointState,1789419508801439920,,"{""position"":[0.0],""velocity"":[]}"
5,48457733787454,/autodrive/roboracer_1/right_encoder,JointState,1789419508801439920,,"{""position"":[0.0],""velocity"":[]}"
16,48457755159296,/autodrive/roboracer_1/left_encoder,JointState,1789419508826439931,,"{""position"":[0.0],""velocity"":[]}"
17,48457755328293,/autodrive/roboracer_1/right_encoder,JointState,1789419508826439931,,"{""position"":[0.0],""velocity"":[]}"
27,48457780692741,/autodrive/roboracer_1/left_encoder,JointState,1789419508851439937,,"{""position"":[0.0],""velocity"":[]}"
28,48457780884992,/autodrive/roboracer_1/right_encoder,JointState,1789419508851439937,,"{""position"":[0.0],""velocity"":[]}"
38,48457805295608,/autodrive/roboracer_1/left_encoder,JointState,1789419508877439945,,"{""position"":[0.0],""velocity"":[]}"
39,48457805500663,/autodrive/roboracer_1/right_encoder,JointState,1789419508877439945,,"{""position"":[0.0],""velocity"":[]}"
49,48457830708997,/autodrive/roboracer_1/left_encoder,JointState,1789419508901439920,,"{""position"":[0.0],""velocity"":[]}"
50,48457830902661,/autodrive/roboracer_1/right_encoder,JointState,1789419508901439920,,"{""position"":[0.0],""velocity"":[]}"
60,48457856403645,/autodrive/roboracer_1/left_encoder,JointState,1789419508925439920,,"{""position"":[0.0],""velocity"":[]}"
61,48457856642703,/autodrive/roboracer_1/right_encoder,JointState,1789419508925439920,,"{""position"":[0.0],""velocity"":[]}"
71,48457879710850,/autodrive/roboracer_1/left_encoder,JointState,1789419508951439946,,"{""position"":[0.0],""velocity"":[]}"
72,48457879863867,/autodrive/roboracer_1/right_encoder,JointState,1789419508951439946,,"{""position"":[0.0],""velocity"":[]}"
82,48457904901571,/autodrive/roboracer_1/left_encoder,JointState,1789419508975439935,,"{""position"":[0.0],""velocity"":[]}"
83,48457905140630,/autodrive/roboracer_1/right_encoder,JointState,1789419508975439935,,"{""position"":[0.0],""velocity"":[]}"
93,48457931120172,/autodrive/roboracer_1/left_encoder,JointState,1789419509000439941,,"{""position"":[0.0],""velocity"":[]}"
94,48457931365312,/autodrive/roboracer_1/right_encoder,JointState,1789419509000439941,,"{""position"":[0.0],""velocity"":[]}"
104,48457955646506,/autodrive/roboracer_1/left_encoder,JointState,1789419509026439920,,"{""position"":[0.0],""velocity"":[]}"
105,48457955808059,/autodrive/roboracer_1/right_encoder,JointState,1789419509026439920,,"{""position"":[0.0],""velocity"":[]}"
114,48457979850575,/autodrive/roboracer_1/left_encoder,JointState,1789419509051439940,,"{""position"":[0.0],""velocity"":[]}"
115,48457980085706,/autodrive/roboracer_1/right_encoder,JointState,1789419509051439940,,"{""position"":[0.0],""velocity"":[]}"
126,48458005379010,/autodrive/roboracer_1/left_encoder,JointState,1789419509075439920,,"{""position"":[0.0],""velocity"":[]}"
127,48458005566713,/autodrive/roboracer_1/right_encoder,JointState,1789419509075439920,,"{""position"":[0.0],""velocity"":[]}"
137,48458030628041,/autodrive/roboracer_1/left_encoder,JointState,1789419509101439952,,"{""position"":[0.0],""velocity"":[]}"
138,48458030840540,/autodrive/roboracer_1/right_encoder,JointState,1789419509101439952,,"{""position"":[0.0],""velocity"":[]}"
148,48458055030242,/autodrive/roboracer_1/left_encoder,JointState,1789419509125439920,,"{""position"":[0.0],""velocity"":[]}"
149,48458055274310,/autodrive/roboracer_1/right_encoder,JointState,1789419509125439920,,"{""position"":[0.0],""velocity"":[]}"
186,48458080141925,/autodrive/roboracer_1/left_encoder,JointState,1789419509150439920,,"{""position"":[0.0],""velocity"":[]}"
187,48458080421019,/autodrive/roboracer_1/right_encoder,JointState,1789419509150439920,,"{""position"":[0.0],""velocity"":[]}"
215,48458105669709,/autodrive/roboracer_1/left_encoder,JointState,1789419509176439920,,"{""position"":[0.0],""velocity"":[]}"
216,48458105861068,/autodrive/roboracer_1/right_encoder,JointState,1789419509176439920,,"{""position"":[0.0],""velocity"":[]}"
233,48458129756017,/autodrive/roboracer_1/left_encoder,JointState,1789419509201439976,,"{""position"":[0.0],""velocity"":[]}"
234,48458129929092,/autodrive/roboracer_1/right_encoder,JointState,1789419509201439976,,"{""position"":[0.0],""velocity"":[]}"
251,48458155106688,/autodrive/roboracer_1/left_encoder,JointState,1789419509225439965,,"{""position"":[0.0],""velocity"":[]}"
252,48458155278912,/autodrive/roboracer_1/right_encoder,JointState,1789419509225439965,,"{""position"":[0.0],""velocity"":[]}"
269,48458180487917,/autodrive/roboracer_1/left_encoder,JointState,1789419509251439920,,"{""position"":[0.0],""velocity"":[]}"
270,48458180658678,/autodrive/roboracer_1/right_encoder,JointState,1789419509251439920,,"{""position"":[0.0],""velocity"":[]}"
287,48458205149906,/autodrive/roboracer_1/left_encoder,JointState,1789419509276439964,,"{""position"":[0.0],""velocity"":[]}"
288,48458205325335,/autodrive/roboracer_1/right_encoder,JointState,1789419509276439964,,"{""position"":[0.0],""velocity"":[]}"
305,48458230437399,/autodrive/roboracer_1/left_encoder,JointState,1789419509301439920,,"{""position"":[0.0],""velocity"":[]}"
306,48458230627957,/autodrive/roboracer_1/right_encoder,JointState,1789419509301439920,,"{""position"":[0.0],""velocity"":[]}"
323,48458255473420,/autodrive/roboracer_1/left_encoder,JointState,1789419509324439920,,"{""position"":[0.0],""velocity"":[]}"
324,48458255641505,/autodrive/roboracer_1/right_encoder,JointState,1789419509324439920,,"{""position"":[0.0],""velocity"":[]}"
341,48458280597315,/autodrive/roboracer_1/left_encoder,JointState,1789419509351439952,,"{""position"":[0.0],""velocity"":[]}"
342,48458280764219,/autodrive/roboracer_1/right_encoder,JointState,1789419509351439952,,"{""position"":[0.0],""velocity"":[]}"
359,48458305353551,/autodrive/roboracer_1/left_encoder,JointState,1789419509376439920,,"{""position"":[0.0164],""velocity"":[]}"
360,48458305599312,/autodrive/roboracer_1/right_encoder,JointState,1789419509376439920,,"{""position"":[0.0164],""velocity"":[]}"
377,48458330848954,/autodrive/roboracer_1/left_encoder,JointState,1789419509401439964,,"{""position"":[0.0622],""velocity"":[]}"
378,48458331080579,/autodrive/roboracer_1/right_encoder,JointState,1789419509401439964,,"{""position"":[0.0654],""velocity"":[]}"
395,48458354681486,/autodrive/roboracer_1/left_encoder,JointState,1789419509426439920,,"{""position"":[0.1374],""velocity"":[]}"
396,48458354864710,/autodrive/roboracer_1/right_encoder,JointState,1789419509426439920,,"{""position"":[0.1473],""velocity"":[]}"
413,48458379797617,/autodrive/roboracer_1/left_encoder,JointState,1789419509451439976,,"{""position"":[0.2454],""velocity"":[]}"
414,48458379996140,/autodrive/roboracer_1/right_encoder,JointState,1789419509451439976,,"{""position"":[0.2585],""velocity"":[]}"
430,48458404648380,/autodrive/roboracer_1/left_encoder,JointState,1789419509475439965,,"{""position"":[0.3796],""velocity"":[]}"
431,48458404850299,/autodrive/roboracer_1/right_encoder,JointState,1789419509475439965,,"{""position"":[0.396],""velocity"":[]}"
449,48458429887202,/autodrive/roboracer_1/left_encoder,JointState,1789419509500439920,,"{""position"":[0.5498],""velocity"":[]}"
450,48458430050548,/autodrive/roboracer_1/right_encoder,JointState,1789419509500439920,,"{""position"":[0.5727],""velocity"":[]}"
467,48458455429222,/autodrive/roboracer_1/left_encoder,JointState,1789419509525439977,,"{""position"":[0.7527],""velocity"":[]}"
468,48458455596697,/autodrive/roboracer_1/right_encoder,JointState,1789419509525439977,,"{""position"":[0.7821],""velocity"":[]}"
485,48458480937199,/autodrive/roboracer_1/left_encoder,JointState,1789419509551439920,,"{""position"":[0.9981],""velocity"":[]}"
486,48458481143256,/autodrive/roboracer_1/right_encoder,JointState,1789419509551439920,,"{""position"":[1.0341],""velocity"":[]}"
503,48458505372462,/autodrive/roboracer_1/left_encoder,JointState,1789419509576439976,,"{""position"":[1.2632],""velocity"":[]}"
504,48458505546529,/autodrive/roboracer_1/right_encoder,JointState,1789419509576439976,,"{""position"":[1.3057],""velocity"":[]}"
521,48458530844822,/autodrive/roboracer_1/left_encoder,JointState,1789419509601439952,,"{""position"":[1.561],""velocity"":[]}"
522,48458531036392,/autodrive/roboracer_1/right_encoder,JointState,1789419509601439952,,"{""position"":[1.6133],""velocity"":[]}"
539,48458554846221,/autodrive/roboracer_1/left_encoder,JointState,1789419509626439990,,"{""position"":[1.8915],""velocity"":[]}"
540,48458555059952,/autodrive/roboracer_1/right_encoder,JointState,1789419509626439990,,"{""position"":[1.9504],""velocity"":[]}"
557,48458580011634,/autodrive/roboracer_1/left_encoder,JointState,1789419509651439920,,"{""position"":[2.2515],""velocity"":[]}"
558,48458580238180,/autodrive/roboracer_1/right_encoder,JointState,1789419509651439920,,"{""position"":[2.3202],""velocity"":[]}"
575,48458605470239,/autodrive/roboracer_1/left_encoder,JointState,1789419509676439920,,"{""position"":[2.6442],""velocity"":[]}"
576,48458605682978,/autodrive/roboracer_1/right_encoder,JointState,1789419509676439920,,"{""position"":[2.7227],""velocity"":[]}"
593,48458630438713,/autodrive/roboracer_1/left_encoder,JointState,1789419509701439920,,"{""position"":[3.0696],""velocity"":[]}"
594,48458630643367,/autodrive/roboracer_1/right_encoder,JointState,1789419509701439920,,"{""position"":[3.158],""velocity"":[]}"
611,48458655564532,/autodrive/roboracer_1/left_encoder,JointState,1789419509726440010,,"{""position"":[3.5245],""velocity"":[]}"
612,48458655748868,/autodrive/roboracer_1/right_encoder,JointState,1789419509726440010,,"{""position"":[3.6226],""velocity"":[]}"
629,48458679948759,/autodrive/roboracer_1/left_encoder,JointState,1789419509751439990,,"{""position"":[4.0121],""velocity"":[]}"
630,48458680122315,/autodrive/roboracer_1/right_encoder,JointState,1789419509751439990,,"{""position"":[4.1233],""velocity"":[]}"
647,48458704718520,/autodrive/roboracer_1/left_encoder,JointState,1789419509775439920,,"{""position"":[4.5128],""velocity"":[]}"
648,48458704889421,/autodrive/roboracer_1/right_encoder,JointState,1789419509775439920,,"{""position"":[4.6306],""velocity"":[]}"
