event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
0,5375672208156,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
1,5375672816680,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
9,5375697016828,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
10,5375697169615,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
18,5375721311233,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
19,5375721476073,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
27,5375746245681,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
28,5375746409129,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
36,5375772050897,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
37,5375772192503,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
45,5375796897580,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
51,5375798269379,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
54,5375821845785,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
60,5375823254343,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
63,5375846086509,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
69,5375847592380,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
72,5375871125714,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
78,5375872680377,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
81,5375897014236,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
82,5375897160321,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
90,5375921008667,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
96,5375922364316,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
99,5375945969505,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
105,5375947309324,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
108,5375971927508,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
109,5375972080265,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
117,5375995900239,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
123,5375997506819,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
126,5376021052126,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
131,5376022191939,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
135,5376045882849,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
136,5376046060483,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
144,5376070964965,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
150,5376072341493,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
153,5376096111613,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
159,5376097746646,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
162,5376120950602,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
163,5376121138224,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
171,5376148840957,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
172,5376148973326,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
180,5376171987815,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
186,5376173418605,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
189,5376197087424,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
195,5376198418106,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
198,5376220959455,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
199,5376221118674,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
207,5376246032354,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
213,5376247413731,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
216,5376270918120,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
217,5376271071338,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
225,5376296858480,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
230,5376297921278,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
234,5376322078806,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
240,5376323425748,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
243,5376345965765,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
249,5376347970233,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
252,5376371819402,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
253,5376371962631,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
261,5376396946592,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
262,5376397088369,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
270,5376421032035,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
271,5376421177819,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
279,5376446233966,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
285,5376448180405,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
288,5376471879050,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
289,5376472019104,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
297,5376496918226,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
298,5376497068328,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
306,5376520982198,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
307,5376521132510,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
315,5376545940741,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
316,5376546105271,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
324,5376571994053,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
325,5376572136401,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
333,5376596915387,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
334,5376597067743,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
342,5376622071262,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
343,5376622215323,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
351,5376645982035,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
352,5376646158146,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
360,5376672035508,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
361,5376672198354,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
