event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
5,5388151028498,/autodrive/roboracer_1/imu,Imu,1789294133083063364,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0,""ax_mps2"":0.0,""ay_mps2"":0.0,""az_mps2"":-9.5276,""orientation_w"":0.7071,""orientation_x"":0.0,""orientation_y"":0.0,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
11,5388173453198,/autodrive/roboracer_1/imu,Imu,1789294133107305311,,"{""angular_velocity_x_radps"":-0.0029,""angular_velocity_y_radps"":1.3929,""ax_mps2"":16.049,""ay_mps2"":0.0324,""az_mps2"":35.0268,""orientation_w"":0.7071,""orientation_x"":0.0017,""orientation_y"":0.0017,""orientation_z"":-0.7071,""yaw_rate_radps"":-0.0001}"
20,5388198269905,/autodrive/roboracer_1/imu,Imu,1789294133132445727,,"{""angular_velocity_x_radps"":-0.0007,""angular_velocity_y_radps"":0.2007,""ax_mps2"":-1.5905,""ay_mps2"":-0.0078,""az_mps2"":8.6346,""orientation_w"":0.7071,""orientation_x"":0.0088,""orientation_y"":0.0088,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
30,5388223541597,/autodrive/roboracer_1/imu,Imu,1789294133157461809,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0348,""ax_mps2"":-0.1389,""ay_mps2"":0.0001,""az_mps2"":0.8693,""orientation_w"":0.707,""orientation_x"":0.0095,""orientation_y"":0.0096,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
39,5388249535998,/autodrive/roboracer_1/imu,Imu,1789294133182697513,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0191,""ax_mps2"":-0.0245,""ay_mps2"":-0.0012,""az_mps2"":0.335,""orientation_w"":0.707,""orientation_x"":0.0098,""orientation_y"":0.0098,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
47,5388274360650,/autodrive/roboracer_1/imu,Imu,1789294133207669893,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0161,""ax_mps2"":-0.0124,""ay_mps2"":-0.0006,""az_mps2"":0.2215,""orientation_w"":0.707,""orientation_x"":0.0099,""orientation_y"":0.0099,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
56,5388299219647,/autodrive/roboracer_1/imu,Imu,1789294133232663793,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0141,""ax_mps2"":-0.0106,""ay_mps2"":0.0004,""az_mps2"":0.2181,""orientation_w"":0.707,""orientation_x"":0.01,""orientation_y"":0.0101,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
66,5388323400479,/autodrive/roboracer_1/imu,Imu,1789294133257593583,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0126,""ax_mps2"":-0.0087,""ay_mps2"":0.0007,""az_mps2"":0.1742,""orientation_w"":0.707,""orientation_x"":0.0102,""orientation_y"":0.0102,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
74,5388348330038,/autodrive/roboracer_1/imu,Imu,1789294133282545344,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0111,""ax_mps2"":-0.0071,""ay_mps2"":0.0007,""az_mps2"":0.1424,""orientation_w"":0.707,""orientation_x"":0.0103,""orientation_y"":0.0103,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
83,5388373274676,/autodrive/roboracer_1/imu,Imu,1789294133307529967,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0099,""ax_mps2"":-0.0075,""ay_mps2"":-0.0011,""az_mps2"":0.1306,""orientation_w"":0.707,""orientation_x"":0.0104,""orientation_y"":0.0104,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
92,5388398268616,/autodrive/roboracer_1/imu,Imu,1789294133332449177,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0087,""ax_mps2"":-0.0071,""ay_mps2"":0.0011,""az_mps2"":0.1572,""orientation_w"":0.707,""orientation_x"":0.0104,""orientation_y"":0.0105,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
101,5388423296290,/autodrive/roboracer_1/imu,Imu,1789294133357376452,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0078,""ax_mps2"":-0.0056,""ay_mps2"":0.0005,""az_mps2"":0.0997,""orientation_w"":0.707,""orientation_x"":0.0105,""orientation_y"":0.0105,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
111,5388449214367,/autodrive/roboracer_1/imu,Imu,1789294133383236110,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0068,""ax_mps2"":-0.0049,""ay_mps2"":0.0012,""az_mps2"":0.096,""orientation_w"":0.707,""orientation_x"":0.0106,""orientation_y"":0.0106,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
120,5388474444722,/autodrive/roboracer_1/imu,Imu,1789294133407894248,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0061,""ax_mps2"":-0.0027,""ay_mps2"":0.001,""az_mps2"":0.0589,""orientation_w"":0.707,""orientation_x"":0.0106,""orientation_y"":0.0107,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
129,5388498775275,/autodrive/roboracer_1/imu,Imu,1789294133432404559,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0054,""ax_mps2"":-0.0039,""ay_mps2"":0.0,""az_mps2"":0.0644,""orientation_w"":0.707,""orientation_x"":0.0107,""orientation_y"":0.0107,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
137,5388524251212,/autodrive/roboracer_1/imu,Imu,1789294133457697101,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0048,""ax_mps2"":-0.0049,""ay_mps2"":0.0008,""az_mps2"":0.0968,""orientation_w"":0.707,""orientation_x"":0.0107,""orientation_y"":0.0107,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
147,5388548556407,/autodrive/roboracer_1/imu,Imu,1789294133482415514,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0042,""ax_mps2"":-0.0057,""ay_mps2"":-0.0001,""az_mps2"":0.0964,""orientation_w"":0.707,""orientation_x"":0.0108,""orientation_y"":0.0108,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
155,5388573148482,/autodrive/roboracer_1/imu,Imu,1789294133507510564,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0038,""ax_mps2"":0.0004,""ay_mps2"":0.0009,""az_mps2"":0.0063,""orientation_w"":0.707,""orientation_x"":0.0108,""orientation_y"":0.0108,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
165,5388599417109,/autodrive/roboracer_1/imu,Imu,1789294133533244135,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0033,""ax_mps2"":-0.0025,""ay_mps2"":-0.0005,""az_mps2"":0.039,""orientation_w"":0.707,""orientation_x"":0.0108,""orientation_y"":0.0108,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
173,5388624963788,/autodrive/roboracer_1/imu,Imu,1789294133557388568,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0029,""ax_mps2"":-0.0042,""ay_mps2"":0.0003,""az_mps2"":0.0735,""orientation_w"":0.707,""orientation_x"":0.0109,""orientation_y"":0.0109,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
183,5388649422242,/autodrive/roboracer_1/imu,Imu,1789294133582877659,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0026,""ax_mps2"":0.0002,""ay_mps2"":-0.002,""az_mps2"":-0.005,""orientation_w"":0.707,""orientation_x"":0.0109,""orientation_y"":0.0109,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
192,5388673620847,/autodrive/roboracer_1/imu,Imu,1789294133607381749,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0023,""ax_mps2"":-0.0025,""ay_mps2"":-0.0002,""az_mps2"":0.0431,""orientation_w"":0.707,""orientation_x"":0.0109,""orientation_y"":0.0109,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
200,5388698339309,/autodrive/roboracer_1/imu,Imu,1789294133632459767,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.002,""ax_mps2"":-0.0026,""ay_mps2"":0.0008,""az_mps2"":0.0326,""orientation_w"":0.707,""orientation_x"":0.0109,""orientation_y"":0.0109,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
210,5388723382131,/autodrive/roboracer_1/imu,Imu,1789294133657639026,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0018,""ax_mps2"":0.0001,""ay_mps2"":-0.0018,""az_mps2"":0.009,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
219,5388748378306,/autodrive/roboracer_1/imu,Imu,1789294133682440274,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0016,""ax_mps2"":0.0001,""ay_mps2"":-0.0006,""az_mps2"":-0.0011,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
228,5388774316451,/autodrive/roboracer_1/imu,Imu,1789294133708138769,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0014,""ax_mps2"":-0.0015,""ay_mps2"":0.0007,""az_mps2"":0.005,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
237,5388799479059,/autodrive/roboracer_1/imu,Imu,1789294133733174267,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0012,""ax_mps2"":-0.0013,""ay_mps2"":0.0019,""az_mps2"":0.0019,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
245,5388824244259,/autodrive/roboracer_1/imu,Imu,1789294133757723201,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.001,""ax_mps2"":-0.0027,""ay_mps2"":-0.0008,""az_mps2"":0.0204,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
255,5388849221799,/autodrive/roboracer_1/imu,Imu,1789294133783122834,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.001,""ax_mps2"":-0.0007,""ay_mps2"":-0.0018,""az_mps2"":0.001,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
263,5388874218805,/autodrive/roboracer_1/imu,Imu,1789294133808009873,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0009,""ax_mps2"":0.0,""ay_mps2"":0.0013,""az_mps2"":0.01,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
272,5388899080156,/autodrive/roboracer_1/imu,Imu,1789294133833087421,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0008,""ax_mps2"":0.0,""ay_mps2"":-0.0021,""az_mps2"":0.0091,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
281,5388924305631,/autodrive/roboracer_1/imu,Imu,1789294133858255639,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0007,""ax_mps2"":-0.0008,""ay_mps2"":0.0008,""az_mps2"":0.0178,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
291,5388949393849,/autodrive/roboracer_1/imu,Imu,1789294133883224973,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0006,""ax_mps2"":-0.001,""ay_mps2"":-0.0012,""az_mps2"":-0.0116,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
300,5388974398319,/autodrive/roboracer_1/imu,Imu,1789294133908206720,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0006,""ax_mps2"":0.0004,""ay_mps2"":-0.0023,""az_mps2"":-0.0004,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
308,5388998995333,/autodrive/roboracer_1/imu,Imu,1789294133933082017,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0005,""ax_mps2"":-0.0006,""ay_mps2"":0.0029,""az_mps2"":-0.0009,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
317,5389024256947,/autodrive/roboracer_1/imu,Imu,1789294133958047264,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0005,""ax_mps2"":0.0006,""ay_mps2"":0.0004,""az_mps2"":-0.0081,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
326,5389048264182,/autodrive/roboracer_1/imu,Imu,1789294133982368469,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0004,""ax_mps2"":0.0006,""ay_mps2"":-0.001,""az_mps2"":0.0106,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
336,5389073460152,/autodrive/roboracer_1/imu,Imu,1789294134007461285,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0004,""ax_mps2"":-0.0007,""ay_mps2"":-0.0009,""az_mps2"":0.0159,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
347,5389099892737,/autodrive/roboracer_1/imu,Imu,1789294134033227287,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0004,""ax_mps2"":0.0012,""ay_mps2"":-0.0001,""az_mps2"":-0.0003,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
353,5389124091082,/autodrive/roboracer_1/imu,Imu,1789294134058169691,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0003,""ax_mps2"":-0.0004,""ay_mps2"":-0.0002,""az_mps2"":0.0121,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
363,5389149307610,/autodrive/roboracer_1/imu,Imu,1789294134083044627,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0003,""ax_mps2"":-0.0034,""ay_mps2"":0.0012,""az_mps2"":0.0258,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
372,5389173367565,/autodrive/roboracer_1/imu,Imu,1789294134107329915,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0003,""ax_mps2"":0.0018,""ay_mps2"":-0.0004,""az_mps2"":-0.0143,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
380,5389199043457,/autodrive/roboracer_1/imu,Imu,1789294134133085758,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0002,""ax_mps2"":-0.0006,""ay_mps2"":0.0006,""az_mps2"":0.0096,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
390,5389223995148,/autodrive/roboracer_1/imu,Imu,1789294134158146434,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0002,""ax_mps2"":0.001,""ay_mps2"":0.0,""az_mps2"":-0.0081,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
399,5389253382097,/autodrive/roboracer_1/imu,Imu,1789294134183016331,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0002,""ax_mps2"":-0.0023,""ay_mps2"":0.0024,""az_mps2"":0.0284,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
408,5389274202992,/autodrive/roboracer_1/imu,Imu,1789294134207658750,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0001,""ax_mps2"":-0.0005,""ay_mps2"":-0.0002,""az_mps2"":0.001,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
417,5389298469565,/autodrive/roboracer_1/imu,Imu,1789294134232381100,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0001,""ax_mps2"":0.0,""ay_mps2"":-0.001,""az_mps2"":0.0,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
426,5389324206482,/autodrive/roboracer_1/imu,Imu,1789294134257814216,,"{""angular_velocity_x_radps"":-0.0001,""angular_velocity_y_radps"":0.0002,""ax_mps2"":-0.0007,""ay_mps2"":0.0002,""az_mps2"":0.0106,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
435,5389348063415,/autodrive/roboracer_1/imu,Imu,1789294134282607058,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0001,""ax_mps2"":0.0,""ay_mps2"":-0.0002,""az_mps2"":0.009,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
444,5389374259876,/autodrive/roboracer_1/imu,Imu,1789294134308205174,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0001,""ax_mps2"":-0.002,""ay_mps2"":-0.0004,""az_mps2"":0.035,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
455,5389398555794,/autodrive/roboracer_1/imu,Imu,1789294134332379995,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0002,""ax_mps2"":-0.0011,""ay_mps2"":0.0,""az_mps2"":0.0201,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
461,5389423201199,/autodrive/roboracer_1/imu,Imu,1789294134357532032,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0002,""ax_mps2"":0.0002,""ay_mps2"":-0.0004,""az_mps2"":0.0111,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
