event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
6,5388151334012,/odom,Odometry,1789294133083063364,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
14,5388173971171,/odom,Odometry,1789294133107305311,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.38905864286422726,""x_m"":0.004715765081522906,""y_m"":-1.3628639851780262e-08,""yaw_rate_radps"":-0.0001}"
24,5388199285765,/odom,Odometry,1789294133132445727,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.052406328006953,""x_m"":0.010265095391535393,""y_m"":-4.5947300456626134e-07,""yaw_rate_radps"":0.0}"
33,5388224038902,/odom,Odometry,1789294133157461809,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
42,5388250059382,/odom,Odometry,1789294133182697513,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
51,5388275779378,/odom,Odometry,1789294133207669893,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
60,5388300166948,/odom,Odometry,1789294133232663793,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
69,5388323885370,/odom,Odometry,1789294133257593583,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
78,5388349361126,/odom,Odometry,1789294133282545344,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
86,5388373823758,/odom,Odometry,1789294133307529967,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
95,5388398829100,/odom,Odometry,1789294133332449177,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
104,5388423865500,/odom,Odometry,1789294133357376452,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
114,5388449721571,/odom,Odometry,1789294133383236110,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
123,5388475035974,/odom,Odometry,1789294133407894248,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
132,5388499542698,/odom,Odometry,1789294133432404559,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
140,5388524822305,/odom,Odometry,1789294133457697101,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
150,5388549140706,/odom,Odometry,1789294133482415514,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
158,5388573884616,/odom,Odometry,1789294133507510564,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
168,5388600082570,/odom,Odometry,1789294133533244135,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
176,5388625633758,/odom,Odometry,1789294133557388568,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
186,5388649963700,/odom,Odometry,1789294133582877659,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
195,5388674251352,/odom,Odometry,1789294133607381749,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
204,5388699364436,/odom,Odometry,1789294133632459767,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
213,5388723927667,/odom,Odometry,1789294133657639026,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
222,5388748955892,/odom,Odometry,1789294133682440274,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.010920595560806292,""y_m"":-4.779408459940193e-07,""yaw_rate_radps"":0.0}"
