event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
0,5400654212943,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1,5400654370289,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
2,5400655489834,/autodrive/roboracer_1/bridge_packet_timing,std_msgs/String,,0.106000006,"{""applied_command_sequence"":3,""applied_steering_norm"":0.0,""applied_throttle_norm"":0.0,""bridge_arrival_monotonic_ns"":5400653827448,""commanded_steering_norm"":0.0,""commanded_throttle_norm"":0.0,""connection_generation"":2,""packet_sequence"":1,""request_monotonic_ns"":5400651406386,""request_sequence"":4,""schema_version"":2,""sent_reset"":""False"",""sent_steering_norm"":0.0,""sent_throttle_norm"":0.0,""simulation_frame"":359,""simulation_physics_step"":107,""simulation_render_frame"":359,""simulation_time_s"":0.106000006,""simulator_angular_velocity_x"":0.0,""simulator_angular_velocity_y"":0.0,""simulator_angular_velocity_z"":0.0,""simulator_encoder_angles_left"":0.0,""simulator_encoder_angles_right"":0.0,""simulator_feedback_steering_norm"":0.0,""simulator_feedback_throttle_norm"":0.0,""simulator_linear_acceleration_x"":0.0,""simulator_linear_acceleration_y"":0.0,""simulator_linear_acceleration_z"":-9.5302,""simulator_linear_velocity_x"":0.0,""simulator_linear_velocity_y"":0.0,""simulator_linear_velocity_z"":-1.0248,""simulator_orientation_euler_x"":0.0,""simulator_orientation_euler_y"":0.0,""simulator_orientation_euler_z"":4.7124,""simulator_orientation_quaternion_w"":0.7071,""simulator_orientation_quaternion_x"":0.0,""simulator_orientation_quaternion_y"":0.0,""simulator_orientation_quaternion_z"":-0.7071,""simulator_position_x"":0.8035,""simulator_position_y"":3.1605,""simulator_position_z"":0.1056,""telemetry_sequence"":5}"
3,5400656160685,/autodrive/roboracer_1/imu,Imu,1789294145588726239,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0,""ax_mps2"":0.0,""ay_mps2"":0.0,""az_mps2"":-9.5302,""orientation_w"":0.7071,""orientation_x"":0.0,""orientation_y"":0.0,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
4,5400656356523,/autodrive/roboracer_1/left_encoder,JointState,1789294145588726239,,"{""position"":[0.0],""velocity"":[]}"
5,5400656486708,/autodrive/roboracer_1/right_encoder,JointState,1789294145588726239,,"{""position"":[0.0],""velocity"":[]}"
6,5400657036822,/odom,Odometry,1789294145588726239,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
7,5400657269369,/odom/diagnostics,Float64MultiArray,,,"{""data"":[4.0,1789294145.5887263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]}"
8,5400658058282,/autodrive/roboracer_1/lidar,LaserScan,1789294145588726239,,"{""angle_increment_rad"":0.004363323096185923,""angle_min_rad"":-2.3561899662017822,""finite_range_count"":0,""range_count"":1081}"
9,5400678856775,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
10,5400679434521,/autodrive/roboracer_1/bridge_packet_timing,std_msgs/String,,0.131000012,"{""applied_command_sequence"":4,""applied_steering_norm"":0.0,""applied_throttle_norm"":0.0,""bridge_arrival_monotonic_ns"":5400678539639,""commanded_steering_norm"":0.0,""commanded_throttle_norm"":0.0,""connection_generation"":2,""packet_sequence"":2,""request_monotonic_ns"":5400676397331,""request_sequence"":5,""schema_version"":2,""sent_reset"":""False"",""sent_steering_norm"":0.0,""sent_throttle_norm"":0.0,""simulation_frame"":487,""simulation_physics_step"":132,""simulation_render_frame"":487,""simulation_time_s"":0.131000012,""simulator_angular_velocity_x"":-0.0029,""simulator_angular_velocity_y"":1.3864,""simulator_angular_velocity_z"":-0.0001,""simulator_encoder_angles_left"":0.0,""simulator_encoder_angles_right"":0.0,""simulator_feedback_steering_norm"":0.0,""simulator_feedback_throttle_norm"":0.0,""simulator_linear_acceleration_x"":16.0921,""simulator_linear_acceleration_y"":0.0333,""simulator_linear_acceleration_z"":35.1845,""simulator_linear_velocity_x"":0.0907,""simulator_linear_velocity_y"":0.0002,""simulator_linear_velocity_z"":-0.9791,""simulator_orientation_euler_x"":0.0006,""simulator_orientation_euler_y"":0.0047,""simulator_orientation_euler_z"":4.7124,""simulator_orientation_quaternion_w"":0.7071,""simulator_orientation_quaternion_x"":0.0017,""simulator_orientation_quaternion_y"":0.0017,""simulator_orientation_quaternion_z"":-0.7071,""simulator_position_x"":0.8054,""simulator_position_y"":3.1606,""simulator_position_z"":0.079,""telemetry_sequence"":6}"
11,5400679765874,/autodrive/roboracer_1/imu,Imu,1789294145613718687,,"{""angular_velocity_x_radps"":-0.0029,""angular_velocity_y_radps"":1.3864,""ax_mps2"":16.0921,""ay_mps2"":0.0333,""az_mps2"":35.1845,""orientation_w"":0.7071,""orientation_x"":0.0017,""orientation_y"":0.0017,""orientation_z"":-0.7071,""yaw_rate_radps"":-0.0001}"
