event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
4,5481153069452,/autodrive/roboracer_1/left_encoder,JointState,1789294226085110190,,"{""position"":[0.0],""velocity"":[]}"
5,5481153232398,/autodrive/roboracer_1/right_encoder,JointState,1789294226085110190,,"{""position"":[0.0],""velocity"":[]}"
13,5481176608668,/autodrive/roboracer_1/left_encoder,JointState,1789294226110116744,,"{""position"":[0.0],""velocity"":[]}"
14,5481176746537,/autodrive/roboracer_1/right_encoder,JointState,1789294226110116744,,"{""position"":[0.0],""velocity"":[]}"
21,5481202582090,/autodrive/roboracer_1/left_encoder,JointState,1789294226135662201,,"{""position"":[0.0],""velocity"":[]}"
22,5481202735478,/autodrive/roboracer_1/right_encoder,JointState,1789294226135662201,,"{""position"":[0.0],""velocity"":[]}"
31,5481227527840,/autodrive/roboracer_1/left_encoder,JointState,1789294226160632297,,"{""position"":[0.0],""velocity"":[]}"
32,5481227668584,/autodrive/roboracer_1/right_encoder,JointState,1789294226160632297,,"{""position"":[0.0],""velocity"":[]}"
39,5481252453051,/autodrive/roboracer_1/left_encoder,JointState,1789294226185571375,,"{""position"":[0.0],""velocity"":[]}"
40,5481252607281,/autodrive/roboracer_1/right_encoder,JointState,1789294226185571375,,"{""position"":[0.0],""velocity"":[]}"
48,5481277911084,/autodrive/roboracer_1/left_encoder,JointState,1789294226210514500,,"{""position"":[0.0],""velocity"":[]}"
49,5481278113334,/autodrive/roboracer_1/right_encoder,JointState,1789294226210514500,,"{""position"":[0.0],""velocity"":[]}"
57,5481301705379,/autodrive/roboracer_1/left_encoder,JointState,1789294226234765604,,"{""position"":[0.0],""velocity"":[]}"
58,5481301898993,/autodrive/roboracer_1/right_encoder,JointState,1789294226234765604,,"{""position"":[0.0],""velocity"":[]}"
67,5481326746408,/autodrive/roboracer_1/left_encoder,JointState,1789294226260106757,,"{""position"":[0.0],""velocity"":[]}"
68,5481326912250,/autodrive/roboracer_1/right_encoder,JointState,1789294226260106757,,"{""position"":[0.0],""velocity"":[]}"
75,5481352615043,/autodrive/roboracer_1/left_encoder,JointState,1789294226285654228,,"{""position"":[0.0],""velocity"":[]}"
76,5481352742914,/autodrive/roboracer_1/right_encoder,JointState,1789294226285654228,,"{""position"":[0.0],""velocity"":[]}"
85,5481377554982,/autodrive/roboracer_1/left_encoder,JointState,1789294226310498808,,"{""position"":[0.0],""velocity"":[]}"
86,5481377701678,/autodrive/roboracer_1/right_encoder,JointState,1789294226310498808,,"{""position"":[0.0],""velocity"":[]}"
92,5481401523645,/autodrive/roboracer_1/left_encoder,JointState,1789294226334966740,,"{""position"":[0.0],""velocity"":[]}"
93,5481401667055,/autodrive/roboracer_1/right_encoder,JointState,1789294226334966740,,"{""position"":[0.0],""velocity"":[]}"
103,5481426772716,/autodrive/roboracer_1/left_encoder,JointState,1789294226360106965,,"{""position"":[0.0],""velocity"":[]}"
104,5481426926535,/autodrive/roboracer_1/right_encoder,JointState,1789294226360106965,,"{""position"":[0.0],""velocity"":[]}"
111,5481451958537,/autodrive/roboracer_1/left_encoder,JointState,1789294226384818324,,"{""position"":[0.0],""velocity"":[]}"
112,5481452177759,/autodrive/roboracer_1/right_encoder,JointState,1789294226384818324,,"{""position"":[0.0],""velocity"":[]}"
120,5481476663614,/autodrive/roboracer_1/left_encoder,JointState,1789294226409677962,,"{""position"":[0.0],""velocity"":[]}"
121,5481476802155,/autodrive/roboracer_1/right_encoder,JointState,1789294226409677962,,"{""position"":[0.0],""velocity"":[]}"
130,5481503106289,/autodrive/roboracer_1/left_encoder,JointState,1789294226435626778,,"{""position"":[0.0],""velocity"":[]}"
131,5481503325892,/autodrive/roboracer_1/right_encoder,JointState,1789294226435626778,,"{""position"":[0.0],""velocity"":[]}"
138,5481527222789,/autodrive/roboracer_1/left_encoder,JointState,1789294226459899673,,"{""position"":[0.0],""velocity"":[]}"
139,5481527424368,/autodrive/roboracer_1/right_encoder,JointState,1789294226459899673,,"{""position"":[0.0],""velocity"":[]}"
148,5481551589852,/autodrive/roboracer_1/left_encoder,JointState,1789294226485283737,,"{""position"":[0.0],""velocity"":[]}"
149,5481551736627,/autodrive/roboracer_1/right_encoder,JointState,1789294226485283737,,"{""position"":[0.0],""velocity"":[]}"
156,5481577987802,/autodrive/roboracer_1/left_encoder,JointState,1789294226510626985,,"{""position"":[0.0],""velocity"":[]}"
157,5481578195101,/autodrive/roboracer_1/right_encoder,JointState,1789294226510626985,,"{""position"":[0.0],""velocity"":[]}"
164,5481602377376,/autodrive/roboracer_1/left_encoder,JointState,1789294226535661562,,"{""position"":[0.0],""velocity"":[]}"
165,5481602529883,/autodrive/roboracer_1/right_encoder,JointState,1789294226535661562,,"{""position"":[0.0],""velocity"":[]}"
175,5481627898478,/autodrive/roboracer_1/left_encoder,JointState,1789294226560025989,,"{""position"":[0.0],""velocity"":[]}"
176,5481628113071,/autodrive/roboracer_1/right_encoder,JointState,1789294226560025989,,"{""position"":[0.0],""velocity"":[]}"
184,5481652728620,/autodrive/roboracer_1/left_encoder,JointState,1789294226585563451,,"{""position"":[0.0],""velocity"":[]}"
185,5481652850740,/autodrive/roboracer_1/right_encoder,JointState,1789294226585563451,,"{""position"":[0.0],""velocity"":[]}"
193,5481676886018,/autodrive/roboracer_1/left_encoder,JointState,1789294226610495706,,"{""position"":[0.0],""velocity"":[]}"
194,5481677089180,/autodrive/roboracer_1/right_encoder,JointState,1789294226610495706,,"{""position"":[0.0],""velocity"":[]}"
201,5481702486509,/autodrive/roboracer_1/left_encoder,JointState,1789294226635667731,,"{""position"":[0.0],""velocity"":[]}"
202,5481702630360,/autodrive/roboracer_1/right_encoder,JointState,1789294226635667731,,"{""position"":[0.0],""velocity"":[]}"
210,5481727464710,/autodrive/roboracer_1/left_encoder,JointState,1789294226660637246,,"{""position"":[0.0],""velocity"":[]}"
211,5481727615443,/autodrive/roboracer_1/right_encoder,JointState,1789294226660637246,,"{""position"":[0.0],""velocity"":[]}"
220,5481753408046,/autodrive/roboracer_1/left_encoder,JointState,1789294226685555604,,"{""position"":[0.0],""velocity"":[]}"
221,5481753624082,/autodrive/roboracer_1/right_encoder,JointState,1789294226685555604,,"{""position"":[0.0],""velocity"":[]}"
229,5481776815934,/autodrive/roboracer_1/left_encoder,JointState,1789294226709989111,,"{""position"":[0.0],""velocity"":[]}"
230,5481776974011,/autodrive/roboracer_1/right_encoder,JointState,1789294226709989111,,"{""position"":[0.0],""velocity"":[]}"
237,5481801828079,/autodrive/roboracer_1/left_encoder,JointState,1789294226735031803,,"{""position"":[0.0],""velocity"":[]}"
238,5481801987939,/autodrive/roboracer_1/right_encoder,JointState,1789294226735031803,,"{""position"":[0.0],""velocity"":[]}"
247,5481827939981,/autodrive/roboracer_1/left_encoder,JointState,1789294226760675305,,"{""position"":[0.0],""velocity"":[]}"
248,5481828120210,/autodrive/roboracer_1/right_encoder,JointState,1789294226760675305,,"{""position"":[0.0],""velocity"":[]}"
255,5481852856977,/autodrive/roboracer_1/left_encoder,JointState,1789294226784746401,,"{""position"":[0.0],""velocity"":[]}"
256,5481852984968,/autodrive/roboracer_1/right_encoder,JointState,1789294226784746401,,"{""position"":[0.0],""velocity"":[]}"
265,5481877182902,/autodrive/roboracer_1/left_encoder,JointState,1789294226809897376,,"{""position"":[0.0],""velocity"":[]}"
266,5481877338955,/autodrive/roboracer_1/right_encoder,JointState,1789294226809897376,,"{""position"":[0.0],""velocity"":[]}"
274,5481901872039,/autodrive/roboracer_1/left_encoder,JointState,1789294226835371981,,"{""position"":[0.0],""velocity"":[]}"
275,5481902024857,/autodrive/roboracer_1/right_encoder,JointState,1789294226835371981,,"{""position"":[0.0],""velocity"":[]}"
283,5481927082908,/autodrive/roboracer_1/left_encoder,JointState,1789294226859713034,,"{""position"":[0.0],""velocity"":[]}"
284,5481927286100,/autodrive/roboracer_1/right_encoder,JointState,1789294226859713034,,"{""position"":[0.0],""velocity"":[]}"
292,5481951817040,/autodrive/roboracer_1/left_encoder,JointState,1789294226884691154,,"{""position"":[0.0],""velocity"":[]}"
293,5481951960319,/autodrive/roboracer_1/right_encoder,JointState,1789294226884691154,,"{""position"":[0.0],""velocity"":[]}"
301,5481976769883,/autodrive/roboracer_1/left_encoder,JointState,1789294226910130342,,"{""position"":[0.0],""velocity"":[]}"
302,5481976925105,/autodrive/roboracer_1/right_encoder,JointState,1789294226910130342,,"{""position"":[0.0],""velocity"":[]}"
309,5482001945064,/autodrive/roboracer_1/left_encoder,JointState,1789294226934885504,,"{""position"":[0.0],""velocity"":[]}"
310,5482002110065,/autodrive/roboracer_1/right_encoder,JointState,1789294226934885504,,"{""position"":[0.0],""velocity"":[]}"
318,5482027625626,/autodrive/roboracer_1/left_encoder,JointState,1789294226960616620,,"{""position"":[0.0],""velocity"":[]}"
319,5482027801797,/autodrive/roboracer_1/right_encoder,JointState,1789294226960616620,,"{""position"":[0.0],""velocity"":[]}"
328,5482053229143,/autodrive/roboracer_1/left_encoder,JointState,1789294226985579432,,"{""position"":[0.0],""velocity"":[]}"
329,5482053412327,/autodrive/roboracer_1/right_encoder,JointState,1789294226985579432,,"{""position"":[0.0],""velocity"":[]}"
337,5482076739514,/autodrive/roboracer_1/left_encoder,JointState,1789294227010011386,,"{""position"":[0.0],""velocity"":[]}"
338,5482076890849,/autodrive/roboracer_1/right_encoder,JointState,1789294227010011386,,"{""position"":[0.0],""velocity"":[]}"
345,5482101711874,/autodrive/roboracer_1/left_encoder,JointState,1789294227034864522,,"{""position"":[0.0],""velocity"":[]}"
346,5482101854191,/autodrive/roboracer_1/right_encoder,JointState,1789294227034864522,,"{""position"":[0.0],""velocity"":[]}"
354,5482127137747,/autodrive/roboracer_1/left_encoder,JointState,1789294227059884381,,"{""position"":[0.0],""velocity"":[]}"
355,5482127273111,/autodrive/roboracer_1/right_encoder,JointState,1789294227059884381,,"{""position"":[0.0],""velocity"":[]}"
363,5482152827786,/autodrive/roboracer_1/left_encoder,JointState,1789294227085501604,,"{""position"":[0.0],""velocity"":[]}"
364,5482152996042,/autodrive/roboracer_1/right_encoder,JointState,1789294227085501604,,"{""position"":[0.0],""velocity"":[]}"
373,5482176790628,/autodrive/roboracer_1/left_encoder,JointState,1789294227110061769,,"{""position"":[0.0],""velocity"":[]}"
374,5482176955167,/autodrive/roboracer_1/right_encoder,JointState,1789294227110061769,,"{""position"":[0.0],""velocity"":[]}"
380,5482201591525,/autodrive/roboracer_1/left_encoder,JointState,1789294227134717874,,"{""position"":[0.0],""velocity"":[]}"
381,5482201741988,/autodrive/roboracer_1/right_encoder,JointState,1789294227134717874,,"{""position"":[0.0],""velocity"":[]}"
390,5482226847178,/autodrive/roboracer_1/left_encoder,JointState,1789294227160393206,,"{""position"":[0.0],""velocity"":[]}"
391,5482227024371,/autodrive/roboracer_1/right_encoder,JointState,1789294227160393206,,"{""position"":[0.0],""velocity"":[]}"
399,5482251681068,/autodrive/roboracer_1/left_encoder,JointState,1789294227184968770,,"{""position"":[0.0],""velocity"":[]}"
400,5482251820410,/autodrive/roboracer_1/right_encoder,JointState,1789294227184968770,,"{""position"":[0.0],""velocity"":[]}"
409,5482276949635,/autodrive/roboracer_1/left_encoder,JointState,1789294227209890885,,"{""position"":[0.0],""velocity"":[]}"
410,5482277153127,/autodrive/roboracer_1/right_encoder,JointState,1789294227209890885,,"{""position"":[0.0],""velocity"":[]}"
416,5482301523535,/autodrive/roboracer_1/left_encoder,JointState,1789294227234788264,,"{""position"":[0.0],""velocity"":[]}"
417,5482301694166,/autodrive/roboracer_1/right_encoder,JointState,1789294227234788264,,"{""position"":[0.0],""velocity"":[]}"
426,5482326745715,/autodrive/roboracer_1/left_encoder,JointState,1789294227260394055,,"{""position"":[0.0],""velocity"":[]}"
427,5482326888654,/autodrive/roboracer_1/right_encoder,JointState,1789294227260394055,,"{""position"":[0.0],""velocity"":[]}"
435,5482351834274,/autodrive/roboracer_1/left_encoder,JointState,1789294227284786265,,"{""position"":[0.0],""velocity"":[]}"
436,5482351999434,/autodrive/roboracer_1/right_encoder,JointState,1789294227284786265,,"{""position"":[0.0],""velocity"":[]}"
444,5482376781647,/autodrive/roboracer_1/left_encoder,JointState,1789294227309942801,,"{""position"":[0.0],""velocity"":[]}"
445,5482376942419,/autodrive/roboracer_1/right_encoder,JointState,1789294227309942801,,"{""position"":[0.0],""velocity"":[]}"
454,5482401960906,/autodrive/roboracer_1/left_encoder,JointState,1789294227334980975,,"{""position"":[0.0],""velocity"":[]}"
455,5482402154009,/autodrive/roboracer_1/right_encoder,JointState,1789294227334980975,,"{""position"":[0.0],""velocity"":[]}"
462,5482426870067,/autodrive/roboracer_1/left_encoder,JointState,1789294227359693737,,"{""position"":[0.0],""velocity"":[]}"
463,5482427080502,/autodrive/roboracer_1/right_encoder,JointState,1789294227359693737,,"{""position"":[0.0],""velocity"":[]}"
472,5482452058603,/autodrive/roboracer_1/left_encoder,JointState,1789294227384926486,,"{""position"":[0.0],""velocity"":[]}"
473,5482452240916,/autodrive/roboracer_1/right_encoder,JointState,1789294227384926486,,"{""position"":[0.0],""velocity"":[]}"
481,5482476968295,/autodrive/roboracer_1/left_encoder,JointState,1789294227409764053,,"{""position"":[0.0],""velocity"":[]}"
482,5482477146671,/autodrive/roboracer_1/right_encoder,JointState,1789294227409764053,,"{""position"":[0.0],""velocity"":[]}"
489,5482501904287,/autodrive/roboracer_1/left_encoder,JointState,1789294227434861728,,"{""position"":[0.0],""velocity"":[]}"
490,5482502093603,/autodrive/roboracer_1/right_encoder,JointState,1789294227434861728,,"{""position"":[0.0],""velocity"":[]}"
499,5482527026208,/autodrive/roboracer_1/left_encoder,JointState,1789294227459762624,,"{""position"":[0.0],""velocity"":[]}"
500,5482527218109,/autodrive/roboracer_1/right_encoder,JointState,1789294227459762624,,"{""position"":[0.0],""velocity"":[]}"
507,5482551933486,/autodrive/roboracer_1/left_encoder,JointState,1789294227485050227,,"{""position"":[0.0],""velocity"":[]}"
508,5482552126769,/autodrive/roboracer_1/right_encoder,JointState,1789294227485050227,,"{""position"":[0.0],""velocity"":[]}"
517,5482577279629,/autodrive/roboracer_1/left_encoder,JointState,1789294227510134797,,"{""position"":[0.0],""velocity"":[]}"
518,5482577449318,/autodrive/roboracer_1/right_encoder,JointState,1789294227510134797,,"{""position"":[0.0],""velocity"":[]}"
