simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,applied_command_sequence_k1,commanded_throttle_norm_k1,commanded_steering_norm_k1,applied_throttle_norm_k1,applied_steering_rad_k1,simulator_feedback_steering_rad_k1,wheel_speed_mps_k1,encoder_left_rad_k1,encoder_right_rad_k1,reset_epoch,segment_id,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps
0.14,0.166000009,141.0,167.0,26.0,0.02600000899999999,0.8021,3.1594,-1.5707963267948966,0.0743,0.0002,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8021,3.1589,-1.5707963267948966,0.0082,0.0,0.0
0.166000009,0.191000015,167.0,192.0,25.0,0.02500000599999999,0.8021,3.1589,-1.5707963267948966,0.0082,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8021,3.1588,-1.57079825773766,0.0032,0.0,0.0
0.191000015,0.215,192.0,216.0,24.0,0.023999985,0.8021,3.1588,-1.57079825773766,0.0032,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8021,3.1588,-1.5707963267948966,0.0026,0.0,0.0
0.215,0.24000001,216.0,241.0,25.0,0.025000010000000017,0.8021,3.1588,-1.5707963267948966,0.0026,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8021,3.1588,-1.5707963267948966,0.0023,0.0,0.0
0.24000001,0.265000015,241.0,266.0,25.0,0.025000004999999964,0.8021,3.1588,-1.5707963267948966,0.0023,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8021,3.1587,-1.5707963267948966,0.002,0.0,0.0
0.265000015,0.291,266.0,292.0,26.0,0.025999985000000003,0.8021,3.1587,-1.5707963267948966,0.002,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8021,3.1587,-1.5707963267948966,0.0018,0.0,0.0
0.291,0.316,292.0,317.0,25.0,0.025000000000000022,0.8021,3.1587,-1.5707963267948966,0.0018,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8021,3.1587,-1.5707963267948966,0.0016,0.0,0.0
0.316,0.34,317.0,341.0,24.0,0.02400000000000002,0.8021,3.1587,-1.5707963267948966,0.0016,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8021,3.1587,-1.5707963267948966,0.0014,0.0,0.0
0.34,0.365,341.0,366.0,25.0,0.024999999999999967,0.8021,3.1587,-1.5707963267948966,0.0014,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8021,3.1587,-1.5707963267948966,0.0012,0.0,0.0
0.365,0.390000015,366.0,391.0,25.0,0.025000014999999987,0.8021,3.1587,-1.5707963267948966,0.0012,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8021,3.1587,-1.5707984379023836,0.0011,0.0,0.0
