run_id,event_index,request_sequence,request_monotonic_ns,packet_sequence,associated_packet_sequence,response_received,bridge_arrival_monotonic_ns,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,sent_throttle_norm,sent_steering_norm,sent_reset,commanded_throttle_norm,commanded_steering_norm,applied_command_sequence,applied_throttle_norm,applied_steering_norm,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_encoder_angles_left,simulator_encoder_angles_right,simulator_feedback_steering_norm,simulator_feedback_throttle_norm,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_orientation_quaternion_w,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_position_x,simulator_position_y,simulator_position_z
open_plane_static_repeat_5_retry_20260913,2,6,5417842992909,1,1,True,5417845474856,7,0.14,141,325,0.0,0.0,False,0.0,0.0,5,0.0,0.0,-0.0022,0.9164,0.0,0.0,0.0,0.0,0.0,-8.2356,-0.0068,46.0332,0.0743,0.0002,-0.4623,0.0019,0.0181,4.7124,0.7071,0.0064,0.0064,-0.7071,0.8021,3.1594,0.0743
open_plane_static_repeat_5_retry_20260913,11,7,5417868265183,2,2,True,5417871375501,8,0.166000009,167,398,0.0,0.0,False,0.0,0.0,6,0.0,0.0,-0.0001,0.0834,0.0,0.0,0.0,0.0,0.0,-0.5539,-0.0043,2.9691,0.0082,0.0,-0.086,0.0035,0.0263,4.7124,0.707,0.0093,0.0093,-0.707,0.8021,3.1589,0.0706
open_plane_static_repeat_5_retry_20260913,20,8,5417892889509,3,3,True,5417896283259,9,0.191000015,192,466,0.0,0.0,False,0.0,0.0,7,0.0,0.0,0.0002,0.0244,0.0,0.0,0.0,0.0,0.0,-0.0578,-0.0005,0.4808,0.0032,0.0,-0.0567,0.0034,0.0273,4.7124,0.707,0.0096,0.0097,-0.707,0.8021,3.1588,0.0691
open_plane_static_repeat_5_retry_20260913,29,9,5417917452729,4,4,True,5417920336882,10,0.215,216,529,0.0,0.0,False,0.0,0.0,8,0.0,0.0,0.0003,0.0177,0.0,0.0,0.0,0.0,0.0,-0.0168,-0.0007,0.2562,0.0026,0.0,-0.0488,0.003,0.0278,4.7124,0.707,0.0098,0.0098,-0.707,0.8021,3.1588,0.0679
open_plane_static_repeat_5_retry_20260913,38,10,5417942371618,5,5,True,5417945564111,11,0.24000001,241,597,0.0,0.0,False,0.0,0.0,9,0.0,0.0,0.0002,0.0153,0.0,0.0,0.0,0.0,0.0,-0.0119,-0.0002,0.2283,0.0023,0.0,-0.0427,0.0027,0.0282,4.7124,0.707,0.01,0.01,-0.707,0.8021,3.1588,0.0669
open_plane_static_repeat_5_retry_20260913,47,11,5417967532463,6,6,True,5417970378694,12,0.265000015,266,662,0.0,0.0,False,0.0,0.0,10,0.0,0.0,0.0002,0.0135,0.0,0.0,0.0,0.0,0.0,-0.0104,0.001,0.2002,0.002,0.0,-0.0375,0.0024,0.0286,4.7124,0.707,0.0101,0.0101,-0.707,0.8021,3.1587,0.0659
open_plane_static_repeat_5_retry_20260913,56,12,5417993137843,7,7,True,5417998335905,13,0.291,292,731,0.0,0.0,False,0.0,0.0,11,0.0,0.0,0.0001,0.0119,0.0,0.0,0.0,0.0,0.0,-0.009,0.0001,0.1719,0.0018,0.0,-0.0328,0.0021,0.0289,4.7124,0.707,0.0102,0.0102,-0.707,0.8021,3.1587,0.0651
open_plane_static_repeat_5_retry_20260913,65,13,5418017903033,8,8,True,5418021753252,14,0.316,317,777,0.0,0.0,False,0.0,0.0,12,0.0,0.0,0.0001,0.0106,0.0,0.0,0.0,0.0,0.0,-0.0083,-0.0004,0.1466,0.0016,0.0,-0.0287,0.0019,0.0292,4.7124,0.707,0.0103,0.0103,-0.707,0.8021,3.1587,0.0643
open_plane_static_repeat_5_retry_20260913,73,14,5418042719921,9,9,True,5418045303307,15,0.34,341,824,0.0,0.0,False,0.0,0.0,13,0.0,0.0,0.0002,0.0094,0.0,0.0,0.0,0.0,0.0,-0.007,0.0001,0.1424,0.0014,0.0,-0.0253,0.0017,0.0294,4.7124,0.707,0.0104,0.0104,-0.707,0.8021,3.1587,0.0637
open_plane_static_repeat_5_retry_20260913,82,15,5418067422653,10,10,True,5418070802007,16,0.365,366,865,0.0,0.0,False,0.0,0.0,14,0.0,0.0,0.0001,0.0083,0.0,0.0,0.0,0.0,0.0,-0.0065,0.0,0.1264,0.0012,0.0,-0.0222,0.0015,0.0296,4.7124,0.707,0.0105,0.0105,-0.707,0.8021,3.1587,0.0632
