run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
open_plane_static_repeat_5_retry_20260913,1,6,7,0.14,141,325,0.8021,3.1594,0.0743,0.0064,0.0064,-0.7071,0.7071,0.0019,0.0181,4.7124,0.0743,0.0002,-0.4623,-0.0022,0.9164,0.0,-8.2356,-0.0068,46.0332,0.0,0.0
open_plane_static_repeat_5_retry_20260913,2,7,8,0.166000009,167,398,0.8021,3.1589,0.0706,0.0093,0.0093,-0.707,0.707,0.0035,0.0263,4.7124,0.0082,0.0,-0.086,-0.0001,0.0834,0.0,-0.5539,-0.0043,2.9691,0.0,0.0
open_plane_static_repeat_5_retry_20260913,3,8,9,0.191000015,192,466,0.8021,3.1588,0.0691,0.0096,0.0097,-0.707,0.707,0.0034,0.0273,4.7124,0.0032,0.0,-0.0567,0.0002,0.0244,0.0,-0.0578,-0.0005,0.4808,0.0,0.0
open_plane_static_repeat_5_retry_20260913,4,9,10,0.215,216,529,0.8021,3.1588,0.0679,0.0098,0.0098,-0.707,0.707,0.003,0.0278,4.7124,0.0026,0.0,-0.0488,0.0003,0.0177,0.0,-0.0168,-0.0007,0.2562,0.0,0.0
open_plane_static_repeat_5_retry_20260913,5,10,11,0.24000001,241,597,0.8021,3.1588,0.0669,0.01,0.01,-0.707,0.707,0.0027,0.0282,4.7124,0.0023,0.0,-0.0427,0.0002,0.0153,0.0,-0.0119,-0.0002,0.2283,0.0,0.0
open_plane_static_repeat_5_retry_20260913,6,11,12,0.265000015,266,662,0.8021,3.1587,0.0659,0.0101,0.0101,-0.707,0.707,0.0024,0.0286,4.7124,0.002,0.0,-0.0375,0.0002,0.0135,0.0,-0.0104,0.001,0.2002,0.0,0.0
open_plane_static_repeat_5_retry_20260913,7,12,13,0.291,292,731,0.8021,3.1587,0.0651,0.0102,0.0102,-0.707,0.707,0.0021,0.0289,4.7124,0.0018,0.0,-0.0328,0.0001,0.0119,0.0,-0.009,0.0001,0.1719,0.0,0.0
open_plane_static_repeat_5_retry_20260913,8,13,14,0.316,317,777,0.8021,3.1587,0.0643,0.0103,0.0103,-0.707,0.707,0.0019,0.0292,4.7124,0.0016,0.0,-0.0287,0.0001,0.0106,0.0,-0.0083,-0.0004,0.1466,0.0,0.0
open_plane_static_repeat_5_retry_20260913,9,14,15,0.34,341,824,0.8021,3.1587,0.0637,0.0104,0.0104,-0.707,0.707,0.0017,0.0294,4.7124,0.0014,0.0,-0.0253,0.0002,0.0094,0.0,-0.007,0.0001,0.1424,0.0,0.0
open_plane_static_repeat_5_retry_20260913,10,15,16,0.365,366,865,0.8021,3.1587,0.0632,0.0105,0.0105,-0.707,0.707,0.0015,0.0296,4.7124,0.0012,0.0,-0.0222,0.0001,0.0083,0.0,-0.0065,0.0,0.1264,0.0,0.0
open_plane_static_repeat_5_retry_20260913,11,16,17,0.390000015,391,920,0.8021,3.1587,0.0627,0.0105,0.0106,-0.707,0.707,0.0014,0.0298,4.7124,0.0011,0.0,-0.0195,0.0001,0.0074,0.0,-0.0059,0.0001,0.099,0.0,0.0
open_plane_static_repeat_5_retry_20260913,12,17,18,0.415000021,416,981,0.8021,3.1587,0.0623,0.0106,0.0106,-0.707,0.707,0.0012,0.03,4.7124,0.001,0.0,-0.0171,0.0001,0.0065,0.0,-0.0047,0.0011,0.0887,0.0,0.0
open_plane_static_repeat_5_retry_20260913,13,18,19,0.441,442,1035,0.8021,3.1587,0.0619,0.0107,0.0107,-0.707,0.707,0.0011,0.0302,4.7124,0.0008,0.0,-0.0149,0.0001,0.0058,0.0,-0.0041,0.0004,0.0828,0.0,0.0
open_plane_static_repeat_5_retry_20260913,14,19,20,0.465000033,466,1094,0.8021,3.1587,0.0615,0.0107,0.0107,-0.707,0.707,0.001,0.0303,4.7124,0.0008,0.0,-0.0132,0.0001,0.0051,0.0,-0.0034,0.0006,0.0651,0.0,0.0
open_plane_static_repeat_5_retry_20260913,15,20,21,0.491000026,492,1156,0.8021,3.1586,0.0612,0.0108,0.0108,-0.707,0.707,0.0009,0.0304,4.7124,0.0007,0.0,-0.0115,0.0,0.0046,0.0,-0.0029,-0.0011,0.0543,0.0,0.0
open_plane_static_repeat_5_retry_20260913,16,21,22,0.515000045,516,1212,0.8021,3.1586,0.061,0.0108,0.0108,-0.707,0.707,0.0008,0.0305,4.7124,0.0006,0.0,-0.0101,0.0001,0.004,0.0,-0.0033,-0.0002,0.0635,0.0,0.0
open_plane_static_repeat_5_retry_20260913,17,22,23,0.54,541,1274,0.8021,3.1586,0.0608,0.0108,0.0108,-0.707,0.707,0.0007,0.0306,4.7124,0.0005,0.0,-0.0089,0.0001,0.0036,0.0,-0.0033,-0.0011,0.0625,0.0,0.0
open_plane_static_repeat_5_retry_20260913,18,23,24,0.566000044,567,1337,0.8021,3.1586,0.0606,0.0109,0.0109,-0.707,0.707,0.0006,0.0307,4.7124,0.0005,0.0,-0.0078,0.0,0.0032,0.0,-0.0032,0.0012,0.0548,0.0,0.0
open_plane_static_repeat_5_retry_20260913,19,24,25,0.591,592,1399,0.8021,3.1586,0.0604,0.0109,0.0109,-0.707,0.707,0.0005,0.0308,4.7124,0.0004,0.0,-0.0068,0.0,0.0028,0.0,-0.002,0.0003,0.0364,0.0,0.0
open_plane_static_repeat_5_retry_20260913,20,25,26,0.615,616,1456,0.8022,3.1586,0.0603,0.0109,0.0109,-0.707,0.707,0.0005,0.0308,4.7124,0.0004,0.0,-0.0061,0.0,0.0025,0.0,-0.0024,-0.0002,0.0229,0.0,0.0
open_plane_static_repeat_5_retry_20260913,21,26,27,0.640000045,641,1522,0.8022,3.1586,0.0601,0.0109,0.0109,-0.707,0.707,0.0004,0.0309,4.7124,0.0003,0.0,-0.0053,0.0,0.0022,0.0,-0.0005,0.0009,0.0141,0.0,0.0
open_plane_static_repeat_5_retry_20260913,22,27,28,0.665,666,1589,0.8022,3.1586,0.06,0.0109,0.0109,-0.707,0.707,0.0004,0.031,4.7124,0.0003,0.0,-0.0047,0.0,0.0019,0.0,-0.0006,-0.0006,0.0104,0.0,0.0
open_plane_static_repeat_5_retry_20260913,23,28,29,0.691000044,692,1657,0.8022,3.1586,0.0599,0.011,0.011,-0.707,0.707,0.0004,0.031,4.7124,0.0002,0.0,-0.0041,0.0,0.0017,0.0,-0.0019,0.0013,0.0273,0.0,0.0
open_plane_static_repeat_5_retry_20260913,24,29,30,0.716,717,1724,0.8022,3.1586,0.0598,0.011,0.011,-0.707,0.707,0.0003,0.031,4.7124,0.0002,0.0,-0.0035,0.0,0.0015,0.0,-0.0011,-0.0002,0.0299,0.0,0.0
open_plane_static_repeat_5_retry_20260913,25,30,31,0.74,741,1786,0.8022,3.1586,0.0597,0.011,0.011,-0.707,0.707,0.0003,0.0311,4.7124,0.0002,0.0,-0.0031,0.0001,0.0013,0.0,-0.0009,-0.001,0.0108,0.0,0.0
open_plane_static_repeat_5_retry_20260913,26,31,32,0.766000032,767,1854,0.8022,3.1586,0.0597,0.011,0.011,-0.707,0.707,0.0002,0.0311,4.7124,0.0002,0.0,-0.0028,0.0,0.0012,0.0,-0.0009,-0.0002,0.0085,0.0,0.0
open_plane_static_repeat_5_retry_20260913,27,32,33,0.79,791,1918,0.8022,3.1586,0.0596,0.011,0.011,-0.707,0.707,0.0002,0.0311,4.7124,0.0002,0.0,-0.0025,0.0,0.0011,0.0,-0.0003,0.0005,0.015,0.0,0.0
open_plane_static_repeat_5_retry_20260913,28,33,34,0.816000044,817,1990,0.8022,3.1586,0.0596,0.011,0.011,-0.707,0.707,0.0002,0.0312,4.7124,0.0001,0.0,-0.0021,0.0,0.0009,0.0,-0.001,0.0006,0.0301,0.0,0.0
open_plane_static_repeat_5_retry_20260913,29,34,35,0.841,842,2046,0.8022,3.1586,0.0595,0.011,0.011,-0.707,0.707,0.0002,0.0312,4.7124,0.0001,0.0,-0.0019,0.0,0.0008,0.0,-0.0004,-0.0004,0.0105,0.0,0.0
open_plane_static_repeat_5_retry_20260913,30,35,36,0.866000056,867,2120,0.8022,3.1586,0.0595,0.011,0.011,-0.707,0.707,0.0002,0.0312,4.7124,0.0001,0.0,-0.0016,0.0,0.0007,0.0,-0.001,-0.0005,0.0078,0.0,0.0
open_plane_static_repeat_5_retry_20260913,31,36,37,0.890000045,891,2187,0.8022,3.1586,0.0594,0.011,0.011,-0.707,0.707,0.0001,0.0312,4.7124,0.0001,0.0,-0.0014,0.0,0.0007,0.0,-0.0005,0.0003,0.0021,0.0,0.0
open_plane_static_repeat_5_retry_20260913,32,37,38,0.915,916,2252,0.8022,3.1586,0.0594,0.011,0.011,-0.707,0.707,0.0001,0.0312,4.7124,0.0001,0.0,-0.0013,0.0,0.0006,0.0,-0.0003,0.0003,0.0041,0.0,0.0
open_plane_static_repeat_5_retry_20260913,33,38,39,0.941000044,942,2318,0.8022,3.1586,0.0594,0.011,0.011,-0.707,0.707,0.0001,0.0312,4.7124,0.0001,0.0,-0.0012,0.0,0.0005,0.0,-0.0007,-0.0007,0.01,0.0,0.0
open_plane_static_repeat_5_retry_20260913,34,39,40,0.966,967,2378,0.8022,3.1586,0.0594,0.0111,0.0111,-0.707,0.707,0.0001,0.0313,4.7124,0.0001,0.0,-0.001,0.0,0.0005,0.0,0.0003,-0.0005,-0.0124,0.0,0.0
open_plane_static_repeat_5_retry_20260913,35,40,41,0.991000056,992,2448,0.8022,3.1586,0.0593,0.0111,0.0111,-0.707,0.707,0.0001,0.0313,4.7124,0.0001,0.0,-0.0009,0.0,0.0004,0.0,-0.0006,-0.0005,-0.0035,0.0,0.0
open_plane_static_repeat_5_retry_20260913,36,41,42,1.0150001,1016,2503,0.8022,3.1586,0.0593,0.0111,0.0111,-0.707,0.707,0.0001,0.0313,4.7124,0.0,0.0,-0.0008,0.0,0.0004,0.0,-0.0005,0.0016,0.0084,0.0,0.0
open_plane_static_repeat_5_retry_20260913,37,42,43,1.04000008,1041,2554,0.8022,3.1586,0.0593,0.0111,0.0111,-0.707,0.707,0.0001,0.0313,4.7124,0.0,0.0,-0.0007,0.0,0.0003,0.0,-0.0009,0.0003,0.0152,0.0,0.0
open_plane_static_repeat_5_retry_20260913,38,43,44,1.065,1066,2611,0.8022,3.1586,0.0593,0.0111,0.0111,-0.707,0.707,0.0001,0.0313,4.7124,0.0,0.0,-0.0006,0.0,0.0003,0.0,-0.0019,-0.0008,0.0207,0.0,0.0
open_plane_static_repeat_5_retry_20260913,39,44,45,1.09100008,1092,2684,0.8022,3.1586,0.0593,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7124,0.0,0.0,-0.0005,0.0,0.0003,0.0,-0.0005,-0.0005,0.0069,0.0,0.0
open_plane_static_repeat_5_retry_20260913,40,45,46,1.116,1117,2745,0.8022,3.1586,0.0593,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7124,0.0,0.0,-0.0005,0.0,0.0002,0.0,-0.0002,0.0001,-0.0006,0.0,0.0
open_plane_static_repeat_5_retry_20260913,41,46,47,1.141,1142,2800,0.8022,3.1586,0.0593,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7124,0.0,0.0,-0.0003,0.0,0.0002,0.0,-0.0002,0.0001,0.0004,0.0,0.0
