event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
0,49630928085644,/amcl_particle_count,Int32,,,"{""value"":2500}"
1,49640971805887,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
2,49640971967781,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
3,49640974230584,/autodrive/roboracer_1/bridge_packet_timing,std_msgs/String,,0.0800000057,"{""applied_command_sequence"":3,""applied_steering_norm"":0.0,""applied_throttle_norm"":0.0,""bridge_arrival_monotonic_ns"":49640971398631,""commanded_steering_norm"":0.0,""commanded_throttle_norm"":0.0,""connection_generation"":2,""packet_sequence"":1,""request_monotonic_ns"":49640943222804,""request_sequence"":4,""schema_version"":2,""sent_reset"":""False"",""sent_steering_norm"":0.0,""sent_throttle_norm"":0.0,""simulation_frame"":172,""simulation_physics_step"":81,""simulation_render_frame"":172,""simulation_time_s"":0.0800000057,""simulator_angular_velocity_x"":0.0,""simulator_angular_velocity_y"":0.1108,""simulator_angular_velocity_z"":0.0,""simulator_encoder_angles_left"":0.0,""simulator_encoder_angles_right"":0.0,""simulator_feedback_steering_norm"":0.0,""simulator_feedback_throttle_norm"":0.0,""simulator_linear_acceleration_x"":-0.0364,""simulator_linear_acceleration_y"":-0.0001,""simulator_linear_acceleration_z"":0.1123,""simulator_linear_velocity_x"":0.0078,""simulator_linear_velocity_y"":0.0,""simulator_linear_velocity_z"":-0.0206,""simulator_orientation_euler_x"":0.0,""simulator_orientation_euler_y"":0.0091,""simulator_orientation_euler_z"":4.7124,""simulator_orientation_quaternion_w"":0.7071,""simulator_orientation_quaternion_x"":0.0032,""simulator_orientation_quaternion_y"":0.0032,""simulator_orientation_quaternion_z"":-0.7071,""simulator_position_x"":0.8,""simulator_position_y"":3.1595,""simulator_position_z"":0.0597,""telemetry_sequence"":4}"
4,49640975071454,/autodrive/roboracer_1/imu,Imu,1789420692044982130,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.1108,""ax_mps2"":-0.0364,""ay_mps2"":-0.0001,""az_mps2"":0.1123,""orientation_w"":0.7071,""orientation_x"":0.0032,""orientation_y"":0.0032,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
5,49640975325342,/autodrive/roboracer_1/left_encoder,JointState,1789420692044982130,,"{""position"":[0.0],""velocity"":[]}"
6,49640975472759,/autodrive/roboracer_1/right_encoder,JointState,1789420692044982130,,"{""position"":[0.0],""velocity"":[]}"
7,49640975844608,/odom,Odometry,1789420692044982130,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
8,49640976552779,/ekf_odom,Odometry,1789420692044982130,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
9,49640976780286,/cmd/speed,AckermannDriveStamped,1789420692076648097,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
10,49640977105197,/odom/diagnostics,Float64MultiArray,,,"{""data"":[4.0,1789420692.0449822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0364,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]}"
