event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
5,49937439416995,/autodrive/roboracer_1/left_encoder,JointState,1789420988509164289,,"{""position"":[0.0],""velocity"":[]}"
6,49937439579520,/autodrive/roboracer_1/right_encoder,JointState,1789420988509164289,,"{""position"":[0.0],""velocity"":[]}"
14,49937462103424,/autodrive/roboracer_1/left_encoder,JointState,1789420988534164297,,"{""position"":[0.0],""velocity"":[]}"
15,49937462258525,/autodrive/roboracer_1/right_encoder,JointState,1789420988534164297,,"{""position"":[0.0],""velocity"":[]}"
27,49937486934443,/autodrive/roboracer_1/left_encoder,JointState,1789420988560164305,,"{""position"":[0.0],""velocity"":[]}"
28,49937487107097,/autodrive/roboracer_1/right_encoder,JointState,1789420988560164305,,"{""position"":[0.0],""velocity"":[]}"
38,49937512809684,/autodrive/roboracer_1/left_encoder,JointState,1789420988584164309,,"{""position"":[0.0],""velocity"":[]}"
39,49937513049865,/autodrive/roboracer_1/right_encoder,JointState,1789420988584164309,,"{""position"":[0.0],""velocity"":[]}"
48,49937537114864,/autodrive/roboracer_1/left_encoder,JointState,1789420988610164289,,"{""position"":[0.0],""velocity"":[]}"
49,49937537276919,/autodrive/roboracer_1/right_encoder,JointState,1789420988610164289,,"{""position"":[0.0],""velocity"":[]}"
58,49937561475559,/autodrive/roboracer_1/left_encoder,JointState,1789420988634164289,,"{""position"":[0.0],""velocity"":[]}"
59,49937561640850,/autodrive/roboracer_1/right_encoder,JointState,1789420988634164289,,"{""position"":[0.0],""velocity"":[]}"
71,49937587367812,/autodrive/roboracer_1/left_encoder,JointState,1789420988659164289,,"{""position"":[0.0],""velocity"":[]}"
72,49937587546347,/autodrive/roboracer_1/right_encoder,JointState,1789420988659164289,,"{""position"":[0.0],""velocity"":[]}"
82,49937612546083,/autodrive/roboracer_1/left_encoder,JointState,1789420988684164289,,"{""position"":[0.0],""velocity"":[]}"
83,49937612673933,/autodrive/roboracer_1/right_encoder,JointState,1789420988684164289,,"{""position"":[0.0],""velocity"":[]}"
93,49937637401778,/autodrive/roboracer_1/left_encoder,JointState,1789420988709164309,,"{""position"":[0.0],""velocity"":[]}"
94,49937637569323,/autodrive/roboracer_1/right_encoder,JointState,1789420988709164309,,"{""position"":[0.0],""velocity"":[]}"
104,49937661882759,/autodrive/roboracer_1/left_encoder,JointState,1789420988734164315,,"{""position"":[0.0],""velocity"":[]}"
105,49937662016430,/autodrive/roboracer_1/right_encoder,JointState,1789420988734164315,,"{""position"":[0.0],""velocity"":[]}"
115,49937687119420,/autodrive/roboracer_1/left_encoder,JointState,1789420988759164321,,"{""position"":[0.0],""velocity"":[]}"
116,49937687276345,/autodrive/roboracer_1/right_encoder,JointState,1789420988759164321,,"{""position"":[0.0],""velocity"":[]}"
