run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
112_pr10_constant_turn_bias_repeat_20260914,1,6,6,0.185,186,620,0.8001,3.159,0.0594,0.0064,0.0064,-0.7071,0.7071,0.0,0.0182,4.7124,0.0048,0.0,-0.0119,0.0,0.0661,0.0,-0.0227,-0.002,0.0628,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,2,7,7,0.210000008,211,731,0.8001,3.1589,0.0594,0.007,0.007,-0.7071,0.7071,0.0001,0.0197,4.7124,0.0042,0.0,-0.0105,0.0001,0.0584,0.0,-0.0204,0.0005,0.0522,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,3,8,8,0.236000016,237,828,0.8001,3.1588,0.0593,0.0075,0.0075,-0.7071,0.7071,0.0,0.0211,4.7124,0.0037,0.0,-0.0092,0.0,0.0513,0.0,-0.0179,-0.0017,0.0243,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,4,9,9,0.26000002,261,907,0.8001,3.1588,0.0593,0.0079,0.0079,-0.7071,0.7071,0.0,0.0223,4.7124,0.0033,0.0,-0.0081,0.0001,0.0456,0.0,-0.0169,-0.0017,0.0449,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,5,10,10,0.286,287,1000,0.8001,3.1587,0.0593,0.0083,0.0083,-0.7071,0.7071,0.0,0.0234,4.7124,0.0029,0.0,-0.007,0.0,0.04,0.0,-0.0136,-0.0003,0.0284,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,6,11,11,0.31,311,1067,0.8001,3.1587,0.0593,0.0086,0.0086,-0.707,0.7071,0.0,0.0243,4.7124,0.0026,0.0,-0.0062,0.0,0.0354,0.0,-0.0123,-0.0013,0.0153,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,7,12,12,0.335,336,1154,0.8001,3.1586,0.0593,0.0089,0.0089,-0.707,0.7071,0.0,0.0251,4.7124,0.0023,0.0,-0.0054,0.0,0.0313,0.0,-0.0116,0.002,0.0566,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,8,13,13,0.36,361,1238,0.8001,3.1586,0.0593,0.0091,0.0091,-0.707,0.7071,0.0,0.0259,4.7124,0.002,0.0,-0.0048,0.0,0.0276,0.0,-0.0118,0.0,0.0462,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,9,14,14,0.38500002,386,1326,0.8001,3.1585,0.0592,0.0094,0.0094,-0.707,0.7071,0.0,0.0265,4.7124,0.0018,0.0,-0.0042,0.0,0.0244,0.0,-0.0088,0.0006,0.0231,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,10,15,15,0.410000026,411,1406,0.8001,3.1585,0.0592,0.0096,0.0096,-0.707,0.707,0.0,0.0271,4.7124,0.0016,0.0,-0.0037,0.0,0.0215,0.0,-0.0083,0.0012,0.0267,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,11,16,16,0.435000032,436,1501,0.8001,3.1585,0.0592,0.0098,0.0098,-0.707,0.707,0.0,0.0276,4.7124,0.0014,0.0,-0.0033,0.0,0.019,0.0,-0.0045,-0.0012,-0.0349,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,12,17,17,0.46,461,1571,0.8001,3.1584,0.0592,0.0099,0.0099,-0.707,0.707,0.0,0.028,4.7124,0.0012,0.0,-0.0028,0.0,0.0167,0.0,-0.0076,-0.0035,0.0326,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,13,18,18,0.485,486,1658,0.8001,3.1584,0.0592,0.01,0.01,-0.707,0.707,0.0,0.0284,4.7124,0.0011,0.0,-0.0025,0.0,0.0148,0.0,-0.0053,0.001,0.0127,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,14,19,19,0.51000005,511,1742,0.8001,3.1584,0.0592,0.0102,0.0102,-0.707,0.707,0.0,0.0288,4.7124,0.001,0.0,-0.0022,0.0,0.013,0.0,-0.0042,-0.0002,0.0057,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,15,20,20,0.535,536,1832,0.8002,3.1584,0.0592,0.0103,0.0103,-0.707,0.707,0.0,0.0291,4.7124,0.0008,0.0,-0.002,0.0,0.0115,0.0,-0.0037,0.0014,-0.0074,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,16,21,21,0.56,561,1921,0.8002,3.1584,0.0592,0.0104,0.0104,-0.707,0.707,0.0,0.0293,4.7124,0.0007,0.0,-0.0018,0.0,0.0101,0.0,-0.0032,-0.0009,0.0107,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,17,22,22,0.585000038,586,2010,0.8002,3.1584,0.0592,0.0105,0.0105,-0.707,0.707,0.0,0.0296,4.7124,0.0007,0.0,-0.0015,0.0,0.0089,0.0,-0.0033,-0.0008,0.0063,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,18,23,23,0.61,611,2084,0.8002,3.1583,0.0592,0.0105,0.0105,-0.707,0.707,0.0,0.0298,4.7124,0.0006,0.0,-0.0013,0.0001,0.0079,0.0,-0.0032,-0.0014,-0.0034,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,19,24,24,0.63500005,636,2169,0.8002,3.1583,0.0592,0.0106,0.0106,-0.707,0.707,0.0,0.03,4.7124,0.0005,0.0,-0.0012,0.0,0.0069,0.0,-0.0021,-0.0004,-0.005,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,20,25,25,0.66,661,2255,0.8002,3.1583,0.0592,0.0107,0.0107,-0.707,0.707,0.0,0.0301,4.7124,0.0005,0.0,-0.001,0.0,0.0061,0.0,-0.0025,0.0002,0.013,0.0,0.0
112_pr10_constant_turn_bias_repeat_20260914,21,26,26,0.685000062,686,2339,0.8002,3.1583,0.0592,0.0107,0.0107,-0.707,0.707,0.0,0.0303,4.7124,0.0004,0.0,-0.0009,0.0,0.0054,0.0,-0.0025,-0.0007,0.0134,0.0,0.0
