run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
117_pr13_odom_slip_012_deployed_20260915,1,5,5,28.7910023,28792,123056,0.8126,3.1586,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0001,-0.0001,0.0,0.0,0.0001,-0.0001,-0.008,0.0,0.0
117_pr13_odom_slip_012_deployed_20260915,2,6,6,28.8170013,28818,123155,0.8126,3.1586,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0001,-0.0001,0.0,0.0,0.0002,-0.0004,-0.0148,0.0,0.0
117_pr13_odom_slip_012_deployed_20260915,3,7,7,28.842001,28843,123238,0.8126,3.1586,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0005,-0.0008,0.0093,0.0,0.0
117_pr13_odom_slip_012_deployed_20260915,4,8,8,28.8660011,28867,123311,0.8126,3.1586,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0001,-0.0001,0.0,0.0,-0.0011,0.0001,0.0157,0.0,0.0
117_pr13_odom_slip_012_deployed_20260915,5,9,9,28.8920021,28893,123407,0.8126,3.1586,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0001,-0.0001,0.0,0.0,-0.0003,0.0011,0.004,0.0,0.0
117_pr13_odom_slip_012_deployed_20260915,6,10,10,28.9160023,28917,123470,0.8126,3.1586,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7124,0.0,0.0,0.0001,-0.0001,0.0001,0.0,0.0007,0.0,-0.0059,0.0,0.0
117_pr13_odom_slip_012_deployed_20260915,7,11,11,28.9420013,28943,123546,0.8126,3.1586,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0006,-0.0003,0.0027,0.0,0.0
117_pr13_odom_slip_012_deployed_20260915,8,12,12,28.967001,28968,123620,0.8126,3.1586,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,-0.0003,-0.0163,0.0,0.0
117_pr13_odom_slip_012_deployed_20260915,9,13,13,28.992,28993,123699,0.8126,3.1586,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,-0.0009,-0.0062,0.0,0.0
117_pr13_odom_slip_012_deployed_20260915,10,14,14,29.0170021,29018,123784,0.8126,3.1586,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.001,0.0119,0.0,0.0
