run_id,event_index,request_sequence,request_monotonic_ns,packet_sequence,associated_packet_sequence,response_received,bridge_arrival_monotonic_ns,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,sent_throttle_norm,sent_steering_norm,sent_reset,commanded_throttle_norm,commanded_steering_norm,applied_command_sequence,applied_throttle_norm,applied_steering_norm,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_encoder_angles_left,simulator_encoder_angles_right,simulator_feedback_steering_norm,simulator_feedback_throttle_norm,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_orientation_quaternion_w,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_position_x,simulator_position_y,simulator_position_z
117_pr13_odom_slip_012_deployed_20260915,2,5,53861193751685,1,1,True,53861223453493,5,28.7910023,28792,123056,0.0,0.0,False,0.0,0.0,4,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0001,-0.008,0.0,0.0,0.0001,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8126,3.1586,0.0592
117_pr13_odom_slip_012_deployed_20260915,13,6,53861219338947,2,2,True,53861248779444,6,28.8170013,28818,123155,0.0,0.0,False,0.0,0.0,5,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,-0.0004,-0.0148,0.0,0.0,0.0001,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8126,3.1586,0.0592
117_pr13_odom_slip_012_deployed_20260915,24,7,53861244403145,3,3,True,53861272084174,7,28.842001,28843,123238,0.0,0.0,False,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005,-0.0008,0.0093,0.0,0.0,0.0001,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8126,3.1586,0.0592
117_pr13_odom_slip_012_deployed_20260915,35,8,53861268529540,4,4,True,53861298733293,8,28.8660011,28867,123311,0.0,0.0,False,0.0,0.0,7,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011,0.0001,0.0157,0.0,0.0,0.0001,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8126,3.1586,0.0592
117_pr13_odom_slip_012_deployed_20260915,46,9,53861294326026,5,5,True,53861322696010,9,28.8920021,28893,123407,0.0,0.0,False,0.0,0.0,8,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0011,0.004,0.0,0.0,0.0001,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8126,3.1586,0.0592
117_pr13_odom_slip_012_deployed_20260915,57,10,53861318722809,6,6,True,53861348446579,10,28.9160023,28917,123470,0.0,0.0,False,0.0,0.0,9,0.0,0.0,-0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,-0.0059,0.0,0.0,0.0001,0.0,0.0313,4.7124,0.707,0.0111,0.0111,-0.707,0.8126,3.1586,0.0592
117_pr13_odom_slip_012_deployed_20260915,68,11,53861344445786,7,7,True,53861372627597,11,28.9420013,28943,123546,0.0,0.0,False,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,-0.0003,0.0027,0.0,0.0,0.0001,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8126,3.1586,0.0592
117_pr13_odom_slip_012_deployed_20260915,79,12,53861369065770,8,8,True,53861399733094,12,28.967001,28968,123620,0.0,0.0,False,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,-0.0003,-0.0163,0.0,0.0,0.0,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8126,3.1586,0.0592
117_pr13_odom_slip_012_deployed_20260915,90,13,53861394140017,9,9,True,53861422963654,13,28.992,28993,123699,0.0,0.0,False,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,-0.0009,-0.0062,0.0,0.0,0.0,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8126,3.1586,0.0592
117_pr13_odom_slip_012_deployed_20260915,101,14,53861419159702,10,10,True,53861448294053,14,29.0170021,29018,123784,0.0,0.0,False,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.001,0.0119,0.0,0.0,0.0,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8126,3.1586,0.0592
