run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
119_pr14_turn_recovery_reanchor_20260915,1,5,5,92.497,92498,322988,0.8336,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7124,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0002,-0.0057,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,2,6,6,92.522,92523,323049,0.8336,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7124,0.0,0.0,0.0,0.0,0.0001,0.0,-0.0001,0.0001,0.0074,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,3,7,7,92.5470047,92548,323109,0.8337,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0,0.0,0.0001,0.0,-0.0003,0.0005,0.0009,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,4,8,8,92.57201,92573,323174,0.8337,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7124,0.0,0.0,0.0,0.0,0.0001,0.0,0.0007,0.0003,-0.0038,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,5,9,9,92.59701,92598,323240,0.8337,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7124,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,-0.0006,-0.0055,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,6,10,10,92.622,92623,323310,0.8337,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7124,0.0,0.0,0.0,0.0,0.0001,0.0,0.0002,-0.0001,-0.0058,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,7,11,11,92.647,92648,323379,0.8337,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7124,0.0,0.0,0.0,0.0,0.0001,0.0,0.0005,-0.0001,-0.0086,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,8,12,12,92.6720047,92673,323450,0.8337,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7124,0.0,0.0,0.0,0.0,0.0001,0.0,0.0004,0.0001,-0.0143,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,9,13,13,92.69701,92698,323516,0.8337,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7124,0.0,0.0,0.0,0.0,0.0001,0.0,-0.0011,0.0006,0.0129,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,10,14,14,92.72201,92723,323579,0.8337,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0,0.0,0.0001,0.0,-0.001,0.0002,0.0044,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,11,15,15,92.747,92748,323651,0.8337,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0005,-0.0004,-0.0084,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,12,16,16,92.772,92773,323716,0.8337,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008,0.0004,0.0073,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,13,17,17,92.7960052,92797,323784,0.8337,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0001,0.0,0.0,0.0,0.0003,-0.0001,-0.0028,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,14,18,18,92.82201,92823,323862,0.8337,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0001,-0.0006,0.0126,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,15,19,19,92.84701,92848,323937,0.8337,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0001,0.0,0.0,0.0,0.0006,-0.0002,-0.0097,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,16,20,20,92.872,92873,324014,0.8337,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0003,0.0013,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,17,21,21,92.897,92898,324084,0.8337,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,-0.0023,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,18,22,22,92.9220047,92923,324146,0.8337,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0003,-0.0003,0.0078,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,19,23,23,92.94701,92948,324212,0.8338,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,-0.0052,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,20,24,24,92.97201,92973,324282,0.8338,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0009,-0.0051,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,21,25,25,92.997,92998,324346,0.8338,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7124,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0005,-0.0006,0.0015,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,22,26,26,93.022,93023,324405,0.8338,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7124,0.0,0.0,0.0,0.0,0.0001,0.0,0.0003,0.0003,0.0004,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,23,27,27,93.0470047,93048,324459,0.8338,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7124,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0004,-0.0005,-0.005,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,24,28,28,93.07201,93073,324517,0.8338,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7124,0.0,0.0,0.0001,0.0,0.0001,0.0,-0.0008,-0.0002,-0.0011,0.0,0.0
119_pr14_turn_recovery_reanchor_20260915,25,29,29,93.09701,93098,324565,0.8338,3.1595,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7124,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0002,0.0002,-0.001,0.0,0.0
