event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
69,56508143993730,/autodrive/roboracer_1/left_encoder,JointState,1789427559213074671,,"{""position"":[0.0],""velocity"":[]}"
70,56508144213293,/autodrive/roboracer_1/right_encoder,JointState,1789427559213074671,,"{""position"":[0.0],""velocity"":[]}"
80,56508168635919,/autodrive/roboracer_1/left_encoder,JointState,1789427559238064671,,"{""position"":[0.0],""velocity"":[]}"
81,56508168797132,/autodrive/roboracer_1/right_encoder,JointState,1789427559238064671,,"{""position"":[0.0],""velocity"":[]}"
91,56508193708668,/autodrive/roboracer_1/left_encoder,JointState,1789427559263064671,,"{""position"":[0.0],""velocity"":[]}"
92,56508193880952,/autodrive/roboracer_1/right_encoder,JointState,1789427559263064671,,"{""position"":[0.0],""velocity"":[]}"
102,56508218659467,/autodrive/roboracer_1/left_encoder,JointState,1789427559289068471,,"{""position"":[0.0],""velocity"":[]}"
103,56508218838805,/autodrive/roboracer_1/right_encoder,JointState,1789427559289068471,,"{""position"":[0.0],""velocity"":[]}"
113,56508243849998,/autodrive/roboracer_1/left_encoder,JointState,1789427559314070071,,"{""position"":[0.0],""velocity"":[]}"
114,56508244076634,/autodrive/roboracer_1/right_encoder,JointState,1789427559314070071,,"{""position"":[0.0],""velocity"":[]}"
124,56508269460428,/autodrive/roboracer_1/left_encoder,JointState,1789427559338074671,,"{""position"":[0.0],""velocity"":[]}"
125,56508269661316,/autodrive/roboracer_1/right_encoder,JointState,1789427559338074671,,"{""position"":[0.0],""velocity"":[]}"
135,56508292875708,/autodrive/roboracer_1/left_encoder,JointState,1789427559364064671,,"{""position"":[0.0],""velocity"":[]}"
136,56508293052060,/autodrive/roboracer_1/right_encoder,JointState,1789427559364064671,,"{""position"":[0.0],""velocity"":[]}"
146,56508318252790,/autodrive/roboracer_1/left_encoder,JointState,1789427559388064671,,"{""position"":[0.0],""velocity"":[]}"
147,56508318459198,/autodrive/roboracer_1/right_encoder,JointState,1789427559388064671,,"{""position"":[0.0],""velocity"":[]}"
157,56508341140768,/autodrive/roboracer_1/left_encoder,JointState,1789427559413069071,,"{""position"":[0.0],""velocity"":[]}"
158,56508341293826,/autodrive/roboracer_1/right_encoder,JointState,1789427559413069071,,"{""position"":[0.0],""velocity"":[]}"
168,56508368697841,/autodrive/roboracer_1/left_encoder,JointState,1789427559438070571,,"{""position"":[0.0],""velocity"":[]}"
169,56508368885624,/autodrive/roboracer_1/right_encoder,JointState,1789427559438070571,,"{""position"":[0.0],""velocity"":[]}"
179,56508391306073,/autodrive/roboracer_1/left_encoder,JointState,1789427559464074671,,"{""position"":[0.0],""velocity"":[]}"
180,56508391488005,/autodrive/roboracer_1/right_encoder,JointState,1789427559464074671,,"{""position"":[0.0],""velocity"":[]}"
190,56508416426331,/autodrive/roboracer_1/left_encoder,JointState,1789427559488064671,,"{""position"":[0.0],""velocity"":[]}"
191,56508416586673,/autodrive/roboracer_1/right_encoder,JointState,1789427559488064671,,"{""position"":[0.0],""velocity"":[]}"
201,56508443621753,/autodrive/roboracer_1/left_encoder,JointState,1789427559513064671,,"{""position"":[0.0],""velocity"":[]}"
202,56508443773108,/autodrive/roboracer_1/right_encoder,JointState,1789427559513064671,,"{""position"":[0.0],""velocity"":[]}"
212,56508468489046,/autodrive/roboracer_1/left_encoder,JointState,1789427559538069071,,"{""position"":[0.0],""velocity"":[]}"
213,56508468675096,/autodrive/roboracer_1/right_encoder,JointState,1789427559538069071,,"{""position"":[0.0],""velocity"":[]}"
223,56508493416331,/autodrive/roboracer_1/left_encoder,JointState,1789427559563070571,,"{""position"":[0.0],""velocity"":[]}"
224,56508493579558,/autodrive/roboracer_1/right_encoder,JointState,1789427559563070571,,"{""position"":[0.0],""velocity"":[]}"
234,56508516189734,/autodrive/roboracer_1/left_encoder,JointState,1789427559588074671,,"{""position"":[0.0],""velocity"":[]}"
235,56508516350877,/autodrive/roboracer_1/right_encoder,JointState,1789427559588074671,,"{""position"":[0.0],""velocity"":[]}"
245,56508543714205,/autodrive/roboracer_1/left_encoder,JointState,1789427559613064671,,"{""position"":[0.0],""velocity"":[]}"
246,56508543906557,/autodrive/roboracer_1/right_encoder,JointState,1789427559613064671,,"{""position"":[0.0],""velocity"":[]}"
256,56508568637833,/autodrive/roboracer_1/left_encoder,JointState,1789427559638064671,,"{""position"":[0.0],""velocity"":[]}"
257,56508568844061,/autodrive/roboracer_1/right_encoder,JointState,1789427559638064671,,"{""position"":[0.0],""velocity"":[]}"
267,56508591370940,/autodrive/roboracer_1/left_encoder,JointState,1789427559663069071,,"{""position"":[0.0],""velocity"":[]}"
268,56508591530651,/autodrive/roboracer_1/right_encoder,JointState,1789427559663069071,,"{""position"":[0.0],""velocity"":[]}"
278,56508618533180,/autodrive/roboracer_1/left_encoder,JointState,1789427559688070571,,"{""position"":[0.0],""velocity"":[]}"
279,56508618690476,/autodrive/roboracer_1/right_encoder,JointState,1789427559688070571,,"{""position"":[0.0],""velocity"":[]}"
289,56508643771941,/autodrive/roboracer_1/left_encoder,JointState,1789427559713074671,,"{""position"":[0.0],""velocity"":[]}"
290,56508643947020,/autodrive/roboracer_1/right_encoder,JointState,1789427559713074671,,"{""position"":[0.0],""velocity"":[]}"
300,56508669304425,/autodrive/roboracer_1/left_encoder,JointState,1789427559738064671,,"{""position"":[0.0],""velocity"":[]}"
301,56508669452553,/autodrive/roboracer_1/right_encoder,JointState,1789427559738064671,,"{""position"":[0.0],""velocity"":[]}"
311,56508693506115,/autodrive/roboracer_1/left_encoder,JointState,1789427559764064671,,"{""position"":[0.0],""velocity"":[]}"
312,56508693668320,/autodrive/roboracer_1/right_encoder,JointState,1789427559764064671,,"{""position"":[0.0],""velocity"":[]}"
322,56508718067632,/autodrive/roboracer_1/left_encoder,JointState,1789427559788069071,,"{""position"":[0.0],""velocity"":[]}"
323,56508718223184,/autodrive/roboracer_1/right_encoder,JointState,1789427559788069071,,"{""position"":[0.0],""velocity"":[]}"
334,56508743768552,/autodrive/roboracer_1/left_encoder,JointState,1789427559813070571,,"{""position"":[0.0],""velocity"":[]}"
335,56508743979339,/autodrive/roboracer_1/right_encoder,JointState,1789427559813070571,,"{""position"":[0.0],""velocity"":[]}"
345,56508768248375,/autodrive/roboracer_1/left_encoder,JointState,1789427559838074671,,"{""position"":[0.0],""velocity"":[]}"
346,56508768412655,/autodrive/roboracer_1/right_encoder,JointState,1789427559838074671,,"{""position"":[0.0],""velocity"":[]}"
356,56508793379905,/autodrive/roboracer_1/left_encoder,JointState,1789427559863064671,,"{""position"":[0.0],""velocity"":[]}"
357,56508793553011,/autodrive/roboracer_1/right_encoder,JointState,1789427559863064671,,"{""position"":[0.0],""velocity"":[]}"
367,56508818653592,/autodrive/roboracer_1/left_encoder,JointState,1789427559888064671,,"{""position"":[0.0],""velocity"":[]}"
368,56508818888383,/autodrive/roboracer_1/right_encoder,JointState,1789427559888064671,,"{""position"":[0.0],""velocity"":[]}"
378,56508843757970,/autodrive/roboracer_1/left_encoder,JointState,1789427559914068471,,"{""position"":[0.0],""velocity"":[]}"
379,56508843952827,/autodrive/roboracer_1/right_encoder,JointState,1789427559914068471,,"{""position"":[0.0],""velocity"":[]}"
389,56508869037838,/autodrive/roboracer_1/left_encoder,JointState,1789427559938070571,,"{""position"":[0.0],""velocity"":[]}"
390,56508869191838,/autodrive/roboracer_1/right_encoder,JointState,1789427559938070571,,"{""position"":[0.0],""velocity"":[]}"
400,56508891604112,/autodrive/roboracer_1/left_encoder,JointState,1789427559964074671,,"{""position"":[0.0],""velocity"":[]}"
401,56508891811492,/autodrive/roboracer_1/right_encoder,JointState,1789427559964074671,,"{""position"":[0.0],""velocity"":[]}"
411,56508918436030,/autodrive/roboracer_1/left_encoder,JointState,1789427559988064671,,"{""position"":[0.0],""velocity"":[]}"
412,56508918577356,/autodrive/roboracer_1/right_encoder,JointState,1789427559988064671,,"{""position"":[0.0],""velocity"":[]}"
422,56508943300046,/autodrive/roboracer_1/left_encoder,JointState,1789427560013064671,,"{""position"":[0.0],""velocity"":[]}"
423,56508943471769,/autodrive/roboracer_1/right_encoder,JointState,1789427560013064671,,"{""position"":[0.0],""velocity"":[]}"
433,56508966367883,/autodrive/roboracer_1/left_encoder,JointState,1789427560038069071,,"{""position"":[0.0],""velocity"":[]}"
434,56508966553783,/autodrive/roboracer_1/right_encoder,JointState,1789427560038069071,,"{""position"":[0.0],""velocity"":[]}"
444,56508993280583,/autodrive/roboracer_1/left_encoder,JointState,1789427560063070571,,"{""position"":[0.0],""velocity"":[]}"
445,56508993443750,/autodrive/roboracer_1/right_encoder,JointState,1789427560063070571,,"{""position"":[0.0],""velocity"":[]}"
455,56509018434945,/autodrive/roboracer_1/left_encoder,JointState,1789427560088074671,,"{""position"":[0.0],""velocity"":[]}"
456,56509018603933,/autodrive/roboracer_1/right_encoder,JointState,1789427560088074671,,"{""position"":[0.0],""velocity"":[]}"
466,56509041286285,/autodrive/roboracer_1/left_encoder,JointState,1789427560113064671,,"{""position"":[0.0],""velocity"":[]}"
467,56509041468097,/autodrive/roboracer_1/right_encoder,JointState,1789427560113064671,,"{""position"":[0.0],""velocity"":[]}"
477,56509068500192,/autodrive/roboracer_1/left_encoder,JointState,1789427560138064671,,"{""position"":[0.0],""velocity"":[]}"
478,56509068633983,/autodrive/roboracer_1/right_encoder,JointState,1789427560138064671,,"{""position"":[0.0],""velocity"":[]}"
488,56509093570796,/autodrive/roboracer_1/left_encoder,JointState,1789427560161070171,,"{""position"":[0.0],""velocity"":[]}"
489,56509093722241,/autodrive/roboracer_1/right_encoder,JointState,1789427560161070171,,"{""position"":[0.0],""velocity"":[]}"
499,56509118784640,/autodrive/roboracer_1/left_encoder,JointState,1789427560188070571,,"{""position"":[0.0],""velocity"":[]}"
500,56509118924634,/autodrive/roboracer_1/right_encoder,JointState,1789427560188070571,,"{""position"":[0.0],""velocity"":[]}"
510,56509143943862,/autodrive/roboracer_1/left_encoder,JointState,1789427560214074671,,"{""position"":[0.0],""velocity"":[]}"
511,56509144147285,/autodrive/roboracer_1/right_encoder,JointState,1789427560214074671,,"{""position"":[0.0],""velocity"":[]}"
521,56509166253733,/autodrive/roboracer_1/left_encoder,JointState,1789427560238064671,,"{""position"":[0.0],""velocity"":[]}"
522,56509166425476,/autodrive/roboracer_1/right_encoder,JointState,1789427560238064671,,"{""position"":[0.0],""velocity"":[]}"
532,56509193719223,/autodrive/roboracer_1/left_encoder,JointState,1789427560263064671,,"{""position"":[0.0],""velocity"":[]}"
533,56509193861020,/autodrive/roboracer_1/right_encoder,JointState,1789427560263064671,,"{""position"":[0.0],""velocity"":[]}"
543,56509216647437,/autodrive/roboracer_1/left_encoder,JointState,1789427560288069071,,"{""position"":[0.0],""velocity"":[]}"
544,56509216845430,/autodrive/roboracer_1/right_encoder,JointState,1789427560288069071,,"{""position"":[0.0],""velocity"":[]}"
554,56509243673390,/autodrive/roboracer_1/left_encoder,JointState,1789427560313070571,,"{""position"":[0.0],""velocity"":[]}"
555,56509243823974,/autodrive/roboracer_1/right_encoder,JointState,1789427560313070571,,"{""position"":[0.0],""velocity"":[]}"
565,56509268195403,/autodrive/roboracer_1/left_encoder,JointState,1789427560339074671,,"{""position"":[0.0],""velocity"":[]}"
566,56509268331058,/autodrive/roboracer_1/right_encoder,JointState,1789427560339074671,,"{""position"":[0.0],""velocity"":[]}"
576,56509293078575,/autodrive/roboracer_1/left_encoder,JointState,1789427560364064671,,"{""position"":[0.0],""velocity"":[]}"
577,56509293214150,/autodrive/roboracer_1/right_encoder,JointState,1789427560364064671,,"{""position"":[0.0],""velocity"":[]}"
587,56509318123802,/autodrive/roboracer_1/left_encoder,JointState,1789427560388064671,,"{""position"":[0.0],""velocity"":[]}"
588,56509318282851,/autodrive/roboracer_1/right_encoder,JointState,1789427560388064671,,"{""position"":[0.0],""velocity"":[]}"
598,56509343754460,/autodrive/roboracer_1/left_encoder,JointState,1789427560413069071,,"{""position"":[0.0],""velocity"":[]}"
599,56509343952593,/autodrive/roboracer_1/right_encoder,JointState,1789427560413069071,,"{""position"":[0.0],""velocity"":[]}"
609,56509368122884,/autodrive/roboracer_1/left_encoder,JointState,1789427560438070571,,"{""position"":[0.0],""velocity"":[]}"
610,56509368321658,/autodrive/roboracer_1/right_encoder,JointState,1789427560438070571,,"{""position"":[0.0],""velocity"":[]}"
620,56509392792765,/autodrive/roboracer_1/left_encoder,JointState,1789427560463074671,,"{""position"":[0.0],""velocity"":[]}"
621,56509392953667,/autodrive/roboracer_1/right_encoder,JointState,1789427560463074671,,"{""position"":[0.0],""velocity"":[]}"
631,56509416054787,/autodrive/roboracer_1/left_encoder,JointState,1789427560488064671,,"{""position"":[0.0],""velocity"":[]}"
632,56509416214067,/autodrive/roboracer_1/right_encoder,JointState,1789427560488064671,,"{""position"":[0.0],""velocity"":[]}"
642,56509443650302,/autodrive/roboracer_1/left_encoder,JointState,1789427560513064671,,"{""position"":[0.0],""velocity"":[]}"
643,56509443825241,/autodrive/roboracer_1/right_encoder,JointState,1789427560513064671,,"{""position"":[0.0],""velocity"":[]}"
653,56509466265928,/autodrive/roboracer_1/left_encoder,JointState,1789427560538069071,,"{""position"":[0.0],""velocity"":[]}"
654,56509466438372,/autodrive/roboracer_1/right_encoder,JointState,1789427560538069071,,"{""position"":[0.0],""velocity"":[]}"
664,56509493279047,/autodrive/roboracer_1/left_encoder,JointState,1789427560563070571,,"{""position"":[0.0],""velocity"":[]}"
665,56509493466229,/autodrive/roboracer_1/right_encoder,JointState,1789427560563070571,,"{""position"":[0.0],""velocity"":[]}"
675,56509518431566,/autodrive/roboracer_1/left_encoder,JointState,1789427560588074671,,"{""position"":[0.0],""velocity"":[]}"
676,56509518582760,/autodrive/roboracer_1/right_encoder,JointState,1789427560588074671,,"{""position"":[0.0],""velocity"":[]}"
686,56509544143928,/autodrive/roboracer_1/left_encoder,JointState,1789427560613064671,,"{""position"":[0.0],""velocity"":[]}"
687,56509544338163,/autodrive/roboracer_1/right_encoder,JointState,1789427560613064671,,"{""position"":[0.0],""velocity"":[]}"
697,56509566365513,/autodrive/roboracer_1/left_encoder,JointState,1789427560638064671,,"{""position"":[0.0],""velocity"":[]}"
698,56509566526455,/autodrive/roboracer_1/right_encoder,JointState,1789427560638064671,,"{""position"":[0.0],""velocity"":[]}"
710,56509590761158,/autodrive/roboracer_1/left_encoder,JointState,1789427560663069071,,"{""position"":[0.0],""velocity"":[]}"
711,56509590942489,/autodrive/roboracer_1/right_encoder,JointState,1789427560663069071,,"{""position"":[0.0],""velocity"":[]}"
763,56509618269809,/autodrive/roboracer_1/left_encoder,JointState,1789427560688070571,,"{""position"":[0.0],""velocity"":[]}"
764,56509618427285,/autodrive/roboracer_1/right_encoder,JointState,1789427560688070571,,"{""position"":[0.0],""velocity"":[]}"
791,56509643176936,/autodrive/roboracer_1/left_encoder,JointState,1789427560713074671,,"{""position"":[0.0],""velocity"":[]}"
792,56509643398573,/autodrive/roboracer_1/right_encoder,JointState,1789427560713074671,,"{""position"":[0.0],""velocity"":[]}"
808,56509668403334,/autodrive/roboracer_1/left_encoder,JointState,1789427560738064671,,"{""position"":[0.0],""velocity"":[]}"
809,56509668560840,/autodrive/roboracer_1/right_encoder,JointState,1789427560738064671,,"{""position"":[0.0],""velocity"":[]}"
827,56509693302806,/autodrive/roboracer_1/left_encoder,JointState,1789427560763064671,,"{""position"":[0.0],""velocity"":[]}"
828,56509693448951,/autodrive/roboracer_1/right_encoder,JointState,1789427560763064671,,"{""position"":[0.0],""velocity"":[]}"
845,56509717537829,/autodrive/roboracer_1/left_encoder,JointState,1789427560789068471,,"{""position"":[0.0],""velocity"":[]}"
846,56509717689765,/autodrive/roboracer_1/right_encoder,JointState,1789427560789068471,,"{""position"":[0.0],""velocity"":[]}"
863,56509743330342,/autodrive/roboracer_1/left_encoder,JointState,1789427560813070571,,"{""position"":[0.0],""velocity"":[]}"
864,56509743483300,/autodrive/roboracer_1/right_encoder,JointState,1789427560813070571,,"{""position"":[0.0],""velocity"":[]}"
881,56509767882702,/autodrive/roboracer_1/left_encoder,JointState,1789427560838074671,,"{""position"":[0.0164],""velocity"":[]}"
882,56509768102465,/autodrive/roboracer_1/right_encoder,JointState,1789427560838074671,,"{""position"":[0.0164],""velocity"":[]}"
899,56509791042612,/autodrive/roboracer_1/left_encoder,JointState,1789427560863064671,,"{""position"":[0.0622],""velocity"":[]}"
900,56509791190500,/autodrive/roboracer_1/right_encoder,JointState,1789427560863064671,,"{""position"":[0.0654],""velocity"":[]}"
916,56509817909596,/autodrive/roboracer_1/left_encoder,JointState,1789427560887064671,,"{""position"":[0.1342],""velocity"":[]}"
917,56509818075929,/autodrive/roboracer_1/right_encoder,JointState,1789427560887064671,,"{""position"":[0.144],""velocity"":[]}"
935,56509842936338,/autodrive/roboracer_1/left_encoder,JointState,1789427560913069071,,"{""position"":[0.2454],""velocity"":[]}"
936,56509843095457,/autodrive/roboracer_1/right_encoder,JointState,1789427560913069071,,"{""position"":[0.2585],""velocity"":[]}"
953,56509866112118,/autodrive/roboracer_1/left_encoder,JointState,1789427560938070571,,"{""position"":[0.3665],""velocity"":[]}"
954,56509866252853,/autodrive/roboracer_1/right_encoder,JointState,1789427560938070571,,"{""position"":[0.3862],""velocity"":[]}"
971,56509893054464,/autodrive/roboracer_1/left_encoder,JointState,1789427560963074671,,"{""position"":[0.5269],""velocity"":[]}"
972,56509893201020,/autodrive/roboracer_1/right_encoder,JointState,1789427560963074671,,"{""position"":[0.5531],""velocity"":[]}"
989,56509916108695,/autodrive/roboracer_1/left_encoder,JointState,1789427560988064671,,"{""position"":[0.7298],""velocity"":[]}"
