event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
423,7820912317505,/autodrive/roboracer_1/imu,Imu,1789296565839565225,,"{""angular_velocity_x_radps"":-0.0019,""angular_velocity_y_radps"":0.5325,""ax_mps2"":-4.6357,""ay_mps2"":-0.0091,""az_mps2"":25.5868,""orientation_w"":0.7071,""orientation_x"":0.0076,""orientation_y"":0.0077,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
431,7820932471168,/autodrive/roboracer_1/imu,Imu,1789296565863892588,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.066,""ax_mps2"":-0.4023,""ay_mps2"":-0.0028,""az_mps2"":2.1708,""orientation_w"":0.707,""orientation_x"":0.0093,""orientation_y"":0.0094,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
441,7820957990473,/autodrive/roboracer_1/imu,Imu,1789296565889342131,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0228,""ax_mps2"":-0.0451,""ay_mps2"":-0.0012,""az_mps2"":0.4005,""orientation_w"":0.707,""orientation_x"":0.0097,""orientation_y"":0.0097,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
450,7820982278582,/autodrive/roboracer_1/imu,Imu,1789296565913604763,,"{""angular_velocity_x_radps"":0.0003,""angular_velocity_y_radps"":0.0172,""ax_mps2"":-0.0151,""ay_mps2"":-0.0002,""az_mps2"":0.2612,""orientation_w"":0.707,""orientation_x"":0.0098,""orientation_y"":0.0099,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
459,7821007732354,/autodrive/roboracer_1/imu,Imu,1789296565938598820,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.015,""ax_mps2"":-0.0117,""ay_mps2"":0.0,""az_mps2"":0.2222,""orientation_w"":0.707,""orientation_x"":0.01,""orientation_y"":0.01,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
468,7821032720029,/autodrive/roboracer_1/imu,Imu,1789296565964190210,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0133,""ax_mps2"":-0.0101,""ay_mps2"":0.0,""az_mps2"":0.1966,""orientation_w"":0.707,""orientation_x"":0.0101,""orientation_y"":0.0101,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
477,7821057984003,/autodrive/roboracer_1/imu,Imu,1789296565989354617,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0118,""ax_mps2"":-0.009,""ay_mps2"":-0.0005,""az_mps2"":0.1718,""orientation_w"":0.707,""orientation_x"":0.0102,""orientation_y"":0.0102,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
486,7821085604079,/autodrive/roboracer_1/imu,Imu,1789296566014464823,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0104,""ax_mps2"":-0.0074,""ay_mps2"":-0.0001,""az_mps2"":0.1406,""orientation_w"":0.707,""orientation_x"":0.0103,""orientation_y"":0.0103,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
494,7821106859685,/autodrive/roboracer_1/imu,Imu,1789296566038969019,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0092,""ax_mps2"":-0.0062,""ay_mps2"":0.0,""az_mps2"":0.1283,""orientation_w"":0.707,""orientation_x"":0.0104,""orientation_y"":0.0104,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
506,7821132927632,/autodrive/roboracer_1/imu,Imu,1789296566063792304,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0082,""ax_mps2"":-0.0056,""ay_mps2"":-0.0005,""az_mps2"":0.1052,""orientation_w"":0.707,""orientation_x"":0.0105,""orientation_y"":0.0105,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
513,7821157989076,/autodrive/roboracer_1/imu,Imu,1789296566088945851,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0072,""ax_mps2"":-0.0049,""ay_mps2"":0.0,""az_mps2"":0.0983,""orientation_w"":0.707,""orientation_x"":0.0105,""orientation_y"":0.0106,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
522,7821182900147,/autodrive/roboracer_1/imu,Imu,1789296566113650815,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0064,""ax_mps2"":-0.0047,""ay_mps2"":0.0003,""az_mps2"":0.0858,""orientation_w"":0.707,""orientation_x"":0.0106,""orientation_y"":0.0106,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
531,7821208136700,/autodrive/roboracer_1/imu,Imu,1789296566138988798,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0057,""ax_mps2"":-0.0051,""ay_mps2"":0.0005,""az_mps2"":0.0826,""orientation_w"":0.707,""orientation_x"":0.0107,""orientation_y"":0.0107,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
