event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
416,7862172251273,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
417,7862172463762,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
425,7862198641054,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
426,7862198868462,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
434,7862225308007,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
435,7862225526618,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
443,7862245662047,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
444,7862245858186,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
452,7862270982157,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
453,7862271379655,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
461,7862295652736,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
462,7862295904409,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
470,7862325107221,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
471,7862325398679,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
479,7862352340950,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
484,7862354237317,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
488,7862374765364,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
489,7862375055379,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
497,7862400099961,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
503,7862402587479,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
506,7862420690606,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
507,7862420979490,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
515,7862449794953,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
520,7862451960306,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
524,7862475640461,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
525,7862475904638,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
533,7862499973916,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
534,7862500238774,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
542,7862524878023,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
546,7862526567220,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
551,7862549659440,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
552,7862549977809,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
560,7862571068104,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
561,7862571345545,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
569,7862599248503,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
574,7862601387927,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
578,7862624551431,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
579,7862624757689,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
587,7862652468284,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
588,7862652748241,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
596,7862670636624,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
597,7862670868941,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
605,7862700469210,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
609,7862702459253,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
614,7862724641882,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
615,7862724882274,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
623,7862745650193,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
624,7862745931502,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
632,7862776388643,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
633,7862776681544,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
641,7862799816685,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
642,7862800147948,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
650,7862824643747,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
651,7862824879521,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
659,7862849915697,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
660,7862850159475,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
668,7862875677337,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
669,7862875907129,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
677,7862896115666,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
678,7862896452229,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
686,7862924312175,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
690,7862925918076,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
695,7862949858801,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
700,7862951943522,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
704,7862975214969,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
705,7862975453387,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
713,7862999591053,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
714,7862999829141,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
722,7863025560164,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
723,7863025794074,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
731,7863049298800,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
732,7863049662804,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
740,7863075151130,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
744,7863077178253,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
749,7863099353208,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
755,7863102238404,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
758,7863124510852,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
764,7863127516365,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
767,7863146074407,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
768,7863146270806,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
776,7863170536133,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
781,7863172726823,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
785,7863202721033,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
786,7863203021338,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
794,7863224345833,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
795,7863224623025,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
803,7863249936061,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
804,7863250243329,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
812,7863274533632,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
813,7863274787780,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
821,7863300225141,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
822,7863300446948,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
830,7863325566651,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
831,7863325831649,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
839,7863345583627,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
840,7863345829600,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
848,7863374847544,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
852,7863376293393,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
858,7863401982758,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
859,7863402156114,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
866,7863424371805,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
867,7863424656110,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
875,7863445542401,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
876,7863445771282,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
884,7863474357484,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
889,7863476418600,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
893,7863499854747,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
894,7863500218732,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
902,7863520778749,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
903,7863521125521,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
914,7863551761709,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
915,7863551928734,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
920,7863570964785,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
921,7863571261353,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
929,7863602239364,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
930,7863602530852,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
938,7863620548728,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
939,7863620793318,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
947,7863645697596,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
948,7863645895438,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
956,7863670746246,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
957,7863671027124,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
965,7863700129457,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
966,7863700415385,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
974,7863726822349,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
975,7863727071938,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
983,7863749420780,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
984,7863749699664,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
992,7863775457167,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
993,7863775728197,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
1001,7863799809988,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1002,7863800109791,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
1010,7863820570803,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1011,7863820795956,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
1019,7863849698894,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1020,7863850029136,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.20000000298023224}"
