run_id,event_index,request_sequence,request_monotonic_ns,packet_sequence,associated_packet_sequence,response_received,bridge_arrival_monotonic_ns,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,sent_throttle_norm,sent_steering_norm,sent_reset,commanded_throttle_norm,commanded_steering_norm,applied_command_sequence,applied_throttle_norm,applied_steering_norm,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_encoder_angles_left,simulator_encoder_angles_right,simulator_feedback_steering_norm,simulator_feedback_throttle_norm,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_orientation_quaternion_w,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_position_x,simulator_position_y,simulator_position_z
open_plane_source_step_combined_5_20260913,404,6,7944738580068,1,1,True,7944743019096,7,0.131000012,132,139,0.0,0.0,False,0.0,0.0,5,0.0,0.0,-0.0031,1.5385,-0.0001,0.0,0.0,0.0,0.0,14.8983,0.0282,31.9156,0.1035,0.0002,-0.9468,0.0007,0.0059,4.7124,0.7071,0.0021,0.0021,-0.7071,0.8005,3.1598,0.0784
open_plane_source_step_combined_5_20260913,413,7,7944763689150,2,2,True,7944766934805,8,0.155,156,175,0.0,0.0,False,0.0,0.0,6,0.0,0.0,-0.0008,0.2057,0.0,0.0,0.0,0.0,0.0,-1.6309,-0.0085,8.7882,0.0182,0.0001,-0.1404,0.0033,0.0249,4.7124,0.7071,0.0088,0.0088,-0.7071,0.8005,3.1587,0.0716
open_plane_source_step_combined_5_20260913,422,8,7944788574342,3,3,True,7944792016786,9,0.18,181,210,0.0,0.0,False,0.0,0.0,7,0.0,0.0,0.0002,0.0352,0.0,0.0,0.0,0.0,0.0,-0.1416,0.0,0.8658,0.0042,0.0,-0.0633,0.0035,0.027,4.7124,0.707,0.0095,0.0096,-0.707,0.8005,3.1586,0.0697
open_plane_source_step_combined_5_20260913,431,9,7944813657335,4,4,True,7944817951221,10,0.206000015,207,254,0.0,0.0,False,0.0,0.0,8,0.0,0.0,0.0002,0.0191,0.0,0.0,0.0,0.0,0.0,-0.0224,0.0001,0.3019,0.0027,0.0,-0.0513,0.0031,0.0276,4.7124,0.707,0.0098,0.0098,-0.707,0.8005,3.1585,0.0684
open_plane_source_step_combined_5_20260913,440,10,7944838623519,5,5,True,7944841662946,11,0.23,231,289,0.0,0.0,False,0.0,0.0,9,0.0,0.0,0.0002,0.0161,0.0,0.0,0.0,0.0,0.0,-0.0126,0.0,0.2359,0.0024,0.0,-0.045,0.0028,0.0281,4.7124,0.707,0.0099,0.0099,-0.707,0.8005,3.1585,0.0673
open_plane_source_step_combined_5_20260913,448,11,7944863903523,6,6,True,7944868093493,12,0.256,257,329,0.0,0.0,False,0.0,0.0,10,0.0,0.0,0.0002,0.0141,0.0,0.0,0.0,0.0,0.0,-0.011,0.0004,0.2078,0.0021,0.0,-0.0393,0.0025,0.0284,4.7124,0.707,0.01,0.0101,-0.707,0.8005,3.1585,0.0662
open_plane_source_step_combined_5_20260913,458,12,7944888566246,7,7,True,7944891840945,13,0.28,281,371,0.0,0.0,False,0.0,0.0,11,0.0,0.0,0.0002,0.0126,0.0,0.0,0.0,0.0,0.0,-0.0098,-0.0002,0.1806,0.0019,0.0,-0.0347,0.0022,0.0288,4.7124,0.707,0.0102,0.0102,-0.707,0.8005,3.1585,0.0654
open_plane_source_step_combined_5_20260913,467,13,7944913528823,8,8,True,7944916494792,14,0.305,306,413,0.0,0.0,False,0.0,0.0,12,0.0,0.0,0.0001,0.0112,0.0,0.0,0.0,0.0,0.0,-0.0082,-0.0004,0.1564,0.0017,0.0,-0.0304,0.002,0.0291,4.7124,0.707,0.0103,0.0103,-0.707,0.8005,3.1585,0.0646
open_plane_source_step_combined_5_20260913,476,14,7944938316321,9,9,True,7944941822265,15,0.33,331,446,0.0,0.0,False,0.0,0.0,13,0.0,0.0,0.0001,0.0099,0.0,0.0,0.0,0.0,0.0,-0.0075,0.0003,0.1383,0.0015,0.0,-0.0267,0.0018,0.0293,4.7124,0.707,0.0104,0.0104,-0.707,0.8005,3.1584,0.064
open_plane_source_step_combined_5_20260913,485,15,7944964164824,10,10,True,7944967923684,16,0.356,357,485,0.0,0.0,False,0.0,0.0,14,0.0,0.0,0.0001,0.0087,0.0,0.0,0.0,0.0,0.0,-0.006,-0.0004,0.1219,0.0013,0.0,-0.0233,0.0016,0.0296,4.7124,0.707,0.0104,0.0105,-0.707,0.8005,3.1584,0.0634
