event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
406,7944748051130,/autodrive/roboracer_1/left_encoder,JointState,1789296689675883490,,"{""position"":[0.0],""velocity"":[]}"
407,7944748330275,/autodrive/roboracer_1/right_encoder,JointState,1789296689675883490,,"{""position"":[0.0],""velocity"":[]}"
415,7944769325701,/autodrive/roboracer_1/left_encoder,JointState,1789296689701001229,,"{""position"":[0.0],""velocity"":[]}"
416,7944769562326,/autodrive/roboracer_1/right_encoder,JointState,1789296689701001229,,"{""position"":[0.0],""velocity"":[]}"
424,7944794430085,/autodrive/roboracer_1/left_encoder,JointState,1789296689725872103,,"{""position"":[0.0],""velocity"":[]}"
425,7944794664816,/autodrive/roboracer_1/right_encoder,JointState,1789296689725872103,,"{""position"":[0.0],""velocity"":[]}"
433,7944820378496,/autodrive/roboracer_1/left_encoder,JointState,1789296689750954957,,"{""position"":[0.0],""velocity"":[]}"
434,7944820612857,/autodrive/roboracer_1/right_encoder,JointState,1789296689750954957,,"{""position"":[0.0],""velocity"":[]}"
442,7944844443114,/autodrive/roboracer_1/left_encoder,JointState,1789296689775922092,,"{""position"":[0.0],""velocity"":[]}"
443,7944844722179,/autodrive/roboracer_1/right_encoder,JointState,1789296689775922092,,"{""position"":[0.0],""velocity"":[]}"
450,7944870109856,/autodrive/roboracer_1/left_encoder,JointState,1789296689801209490,,"{""position"":[0.0],""velocity"":[]}"
451,7944870292800,/autodrive/roboracer_1/right_encoder,JointState,1789296689801209490,,"{""position"":[0.0],""velocity"":[]}"
460,7944894618819,/autodrive/roboracer_1/left_encoder,JointState,1789296689825831056,,"{""position"":[0.0],""velocity"":[]}"
461,7944894848151,/autodrive/roboracer_1/right_encoder,JointState,1789296689825831056,,"{""position"":[0.0],""velocity"":[]}"
469,7944919155806,/autodrive/roboracer_1/left_encoder,JointState,1789296689850838848,,"{""position"":[0.0],""velocity"":[]}"
470,7944919545559,/autodrive/roboracer_1/right_encoder,JointState,1789296689850838848,,"{""position"":[0.0],""velocity"":[]}"
478,7944944256854,/autodrive/roboracer_1/left_encoder,JointState,1789296689875625734,,"{""position"":[0.0],""velocity"":[]}"
479,7944944514067,/autodrive/roboracer_1/right_encoder,JointState,1789296689875625734,,"{""position"":[0.0],""velocity"":[]}"
487,7944969985221,/autodrive/roboracer_1/left_encoder,JointState,1789296689901451435,,"{""position"":[0.0],""velocity"":[]}"
488,7944970210184,/autodrive/roboracer_1/right_encoder,JointState,1789296689901451435,,"{""position"":[0.0],""velocity"":[]}"
496,7944995108169,/autodrive/roboracer_1/left_encoder,JointState,1789296689926170674,,"{""position"":[0.0],""velocity"":[]}"
497,7944995308546,/autodrive/roboracer_1/right_encoder,JointState,1789296689926170674,,"{""position"":[0.0],""velocity"":[]}"
505,7945020497168,/autodrive/roboracer_1/left_encoder,JointState,1789296689951211298,,"{""position"":[0.0],""velocity"":[]}"
506,7945020747720,/autodrive/roboracer_1/right_encoder,JointState,1789296689951211298,,"{""position"":[0.0],""velocity"":[]}"
513,7945045192884,/autodrive/roboracer_1/left_encoder,JointState,1789296689976029904,,"{""position"":[0.0],""velocity"":[]}"
514,7945045410793,/autodrive/roboracer_1/right_encoder,JointState,1789296689976029904,,"{""position"":[0.0],""velocity"":[]}"
523,7945069534884,/autodrive/roboracer_1/left_encoder,JointState,1789296690000693479,,"{""position"":[0.0],""velocity"":[]}"
524,7945069753675,/autodrive/roboracer_1/right_encoder,JointState,1789296690000693479,,"{""position"":[0.0],""velocity"":[]}"
532,7945094668883,/autodrive/roboracer_1/left_encoder,JointState,1789296690025967181,,"{""position"":[0.0],""velocity"":[]}"
533,7945094952917,/autodrive/roboracer_1/right_encoder,JointState,1789296690025967181,,"{""position"":[0.0],""velocity"":[]}"
540,7945118947363,/autodrive/roboracer_1/left_encoder,JointState,1789296690050619605,,"{""position"":[0.0],""velocity"":[]}"
541,7945119268547,/autodrive/roboracer_1/right_encoder,JointState,1789296690050619605,,"{""position"":[0.0],""velocity"":[]}"
550,7945145470535,/autodrive/roboracer_1/left_encoder,JointState,1789296690076224350,,"{""position"":[0.0],""velocity"":[]}"
551,7945145670251,/autodrive/roboracer_1/right_encoder,JointState,1789296690076224350,,"{""position"":[0.0],""velocity"":[]}"
