run_id,event_index,request_sequence,request_monotonic_ns,packet_sequence,associated_packet_sequence,response_received,bridge_arrival_monotonic_ns,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,sent_throttle_norm,sent_steering_norm,sent_reset,commanded_throttle_norm,commanded_steering_norm,applied_command_sequence,applied_throttle_norm,applied_steering_norm,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_encoder_angles_left,simulator_encoder_angles_right,simulator_feedback_steering_norm,simulator_feedback_throttle_norm,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_orientation_quaternion_w,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_position_x,simulator_position_y,simulator_position_z
open_plane_straight_replay_clean_3_bridgefirst_20260913,105,5,6170682943826,1,1,True,6170684903608,6,0.121000007,122,428,0.0,0.0,False,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.4912,0.0,0.0,-1.1675,0.0,0.0,4.7124,0.7071,0.0,0.0,-0.7071,0.805,3.1607,0.0894
open_plane_straight_replay_clean_3_bridgefirst_20260913,113,6,6170707320274,2,2,True,6170709900355,7,0.146000013,147,562,0.0,0.0,False,0.0,0.0,5,0.0,0.0,-0.0019,0.5194,0.0,0.0,0.0,0.0,0.0,-4.5108,-0.0108,25.0878,0.0435,0.0002,-0.2841,0.0026,0.0218,4.7124,0.7071,0.0077,0.0077,-0.7071,0.8053,3.1596,0.0729
open_plane_straight_replay_clean_3_bridgefirst_20260913,123,7,6170732964531,3,3,True,6170734904797,8,0.171,172,683,0.0,0.0,False,0.0,0.0,6,0.0,0.0,0.0,0.0606,0.0,0.0,0.0,0.0,0.0,-0.3559,-0.0017,1.9454,0.0063,0.0,-0.0755,0.0035,0.0266,4.7124,0.707,0.0094,0.0094,-0.707,0.8053,3.1593,0.0703
open_plane_straight_replay_clean_3_bridgefirst_20260913,132,8,6170757965366,4,4,True,6170761557113,9,0.19600001,197,810,0.0,0.0,False,0.0,0.0,7,0.0,0.0,0.0003,0.0223,0.0,0.0,0.0,0.0,0.0,-0.0406,-0.0006,0.3724,0.003,0.0,-0.0547,0.0033,0.0274,4.7124,0.707,0.0097,0.0097,-0.707,0.8053,3.1593,0.0688
open_plane_straight_replay_clean_3_bridgefirst_20260913,141,9,6170782474003,5,5,True,6170785118095,10,0.221000016,222,944,0.0,0.0,False,0.0,0.0,8,0.0,0.0,0.0003,0.0171,0.0,0.0,0.0,0.0,0.0,-0.0155,-0.0008,0.2485,0.0025,0.0,-0.0473,0.003,0.0279,4.7124,0.707,0.0098,0.0099,-0.707,0.8053,3.1592,0.0677
open_plane_straight_replay_clean_3_bridgefirst_20260913,150,10,6170807241267,6,6,True,6170809752539,11,0.246,247,1048,0.0,0.0,False,0.0,0.0,9,0.0,0.0,0.0002,0.0149,0.0,0.0,0.0,0.0,0.0,-0.0121,0.0008,0.2102,0.0022,0.0,-0.0414,0.0027,0.0283,4.7124,0.707,0.01,0.01,-0.707,0.8053,3.1592,0.0666
open_plane_straight_replay_clean_3_bridgefirst_20260913,158,11,6170832847513,7,7,True,6170836683250,12,0.271000028,272,1173,0.0,0.0,False,0.0,0.0,10,0.0,0.0,0.0002,0.0132,0.0,0.0,0.0,0.0,0.0,-0.0099,0.0,0.1945,0.0019,0.0,-0.0364,0.0024,0.0286,4.7124,0.707,0.0101,0.0101,-0.707,0.8054,3.1592,0.0657
open_plane_straight_replay_clean_3_bridgefirst_20260913,167,12,6170858104029,8,8,True,6170862081613,13,0.297000021,298,1280,0.0,0.0,False,0.0,0.0,11,0.0,0.0,0.0002,0.0117,0.0,0.0,0.0,0.0,0.0,-0.0094,0.0018,0.1738,0.0017,0.0,-0.0318,0.0021,0.029,4.7124,0.707,0.0102,0.0102,-0.707,0.8054,3.1592,0.0649
open_plane_straight_replay_clean_3_bridgefirst_20260913,176,13,6170882531724,9,9,True,6170884813904,14,0.321,322,1387,0.0,0.0,False,0.0,0.0,12,0.0,0.0,0.0002,0.0104,0.0,0.0,0.0,0.0,0.0,-0.0074,-0.0019,0.154,0.0015,0.0,-0.028,0.0019,0.0292,4.7124,0.707,0.0103,0.0103,-0.707,0.8054,3.1592,0.0642
open_plane_straight_replay_clean_3_bridgefirst_20260913,185,14,6170907887768,10,10,True,6170909912102,15,0.346000016,347,1507,0.0,0.0,False,0.0,0.0,13,0.0,0.0,0.0001,0.0091,0.0,0.0,0.0,0.0,0.0,-0.0071,0.0023,0.1208,0.0014,0.0,-0.0246,0.0017,0.0295,4.7124,0.707,0.0104,0.0104,-0.707,0.8054,3.1592,0.0636
open_plane_straight_replay_clean_3_bridgefirst_20260913,195,15,6170933060626,11,11,True,6170936607900,16,0.372,373,1624,0.0,0.0,False,0.0,0.0,14,0.0,0.0,0.0001,0.0081,0.0,0.0,0.0,0.0,0.0,-0.0057,-0.0002,0.1034,0.0012,0.0,-0.0215,0.0015,0.0297,4.7124,0.707,0.0105,0.0105,-0.707,0.8054,3.1592,0.063
open_plane_straight_replay_clean_3_bridgefirst_20260913,203,16,6170957287753,12,12,True,6170961377258,17,0.396000028,397,1723,0.0,0.0,False,0.0,0.0,15,0.0,0.0,0.0001,0.0073,0.0,0.0,0.0,0.0,0.0,-0.0035,0.0026,0.0915,0.0011,0.0,-0.019,0.0013,0.0299,4.7124,0.707,0.0106,0.0106,-0.707,0.8054,3.1591,0.0626
open_plane_straight_replay_clean_3_bridgefirst_20260913,212,17,6170983033632,13,13,True,6170984734386,18,0.421000034,422,1833,0.0,0.0,False,0.0,0.0,16,0.0,0.0,0.0001,0.0064,0.0,0.0,0.0,0.0,0.0,-0.0049,0.0004,0.0827,0.0009,0.0,-0.0166,0.0012,0.03,4.7124,0.707,0.0106,0.0106,-0.707,0.8054,3.1591,0.0622
open_plane_straight_replay_clean_3_bridgefirst_20260913,221,18,6171007454183,14,14,True,6171009882378,19,0.446,447,1947,0.0,0.0,False,0.0,0.0,17,0.0,0.0,0.0,0.0056,0.0,0.0,0.0,0.0,0.0,-0.0049,-0.0012,0.0765,0.0008,0.0,-0.0147,0.001,0.0302,4.7124,0.707,0.0107,0.0107,-0.707,0.8054,3.1591,0.0618
open_plane_straight_replay_clean_3_bridgefirst_20260913,230,19,6171032205868,15,15,True,6171034119113,20,0.468000025,469,2041,0.0,0.0,False,0.0,0.0,18,0.0,0.0,0.0,0.0051,0.0,0.0,0.0,0.0,0.0,-0.0041,-0.0005,0.0755,0.0007,0.0,-0.013,0.001,0.0303,4.7124,0.707,0.0107,0.0107,-0.707,0.8055,3.1591,0.0615
open_plane_straight_replay_clean_3_bridgefirst_20260913,239,20,6171057503722,16,16,True,6171061278464,21,0.496000022,497,2168,0.0,0.0,False,0.0,0.0,19,0.0,0.0,0.0001,0.0044,0.0,0.0,0.0,0.0,0.0,-0.0019,-0.001,0.0483,0.0006,0.0,-0.0113,0.0009,0.0304,4.7124,0.707,0.0108,0.0108,-0.707,0.8055,3.1591,0.0612
open_plane_straight_replay_clean_3_bridgefirst_20260913,249,21,6171082291696,17,17,True,6171084983287,22,0.521,522,2286,0.0,0.0,False,0.0,0.0,20,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,-0.0021,0.0008,0.0172,0.0006,0.0,-0.0099,0.0008,0.0305,4.7124,0.707,0.0108,0.0108,-0.707,0.8055,3.1591,0.0609
