event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
423,6808909132255,/autodrive/roboracer_1/left_encoder,JointState,1789295553837178799,,"{""position"":[0.0],""velocity"":[]}"
425,6808910698482,/autodrive/roboracer_1/right_encoder,JointState,1789295553837178799,,"{""position"":[0.0],""velocity"":[]}"
434,6808931550548,/autodrive/roboracer_1/left_encoder,JointState,1789295553861908631,,"{""position"":[0.0],""velocity"":[]}"
435,6808931779829,/autodrive/roboracer_1/right_encoder,JointState,1789295553861908631,,"{""position"":[0.0],""velocity"":[]}"
443,6808958368238,/autodrive/roboracer_1/left_encoder,JointState,1789295553887241187,,"{""position"":[0.0],""velocity"":[]}"
444,6808958688961,/autodrive/roboracer_1/right_encoder,JointState,1789295553887241187,,"{""position"":[0.0],""velocity"":[]}"
452,6808981926024,/autodrive/roboracer_1/left_encoder,JointState,1789295553911902620,,"{""position"":[0.0],""velocity"":[]}"
453,6808982249834,/autodrive/roboracer_1/right_encoder,JointState,1789295553911902620,,"{""position"":[0.0],""velocity"":[]}"
460,6809004889633,/autodrive/roboracer_1/left_encoder,JointState,1789295553936670654,,"{""position"":[0.0],""velocity"":[]}"
461,6809005114987,/autodrive/roboracer_1/right_encoder,JointState,1789295553936670654,,"{""position"":[0.0],""velocity"":[]}"
470,6809031028696,/autodrive/roboracer_1/left_encoder,JointState,1789295553962158271,,"{""position"":[0.0],""velocity"":[]}"
471,6809031279388,/autodrive/roboracer_1/right_encoder,JointState,1789295553962158271,,"{""position"":[0.0],""velocity"":[]}"
478,6809057051330,/autodrive/roboracer_1/left_encoder,JointState,1789295553986420152,,"{""position"":[0.0],""velocity"":[]}"
479,6809057371012,/autodrive/roboracer_1/right_encoder,JointState,1789295553986420152,,"{""position"":[0.0],""velocity"":[]}"
488,6809080390906,/autodrive/roboracer_1/left_encoder,JointState,1789295554011654553,,"{""position"":[0.0],""velocity"":[]}"
489,6809080753117,/autodrive/roboracer_1/right_encoder,JointState,1789295554011654553,,"{""position"":[0.0],""velocity"":[]}"
497,6809105133532,/autodrive/roboracer_1/left_encoder,JointState,1789295554036480075,,"{""position"":[0.0],""velocity"":[]}"
498,6809105477289,/autodrive/roboracer_1/right_encoder,JointState,1789295554036480075,,"{""position"":[0.0],""velocity"":[]}"
506,6809130847715,/autodrive/roboracer_1/left_encoder,JointState,1789295554061876701,,"{""position"":[0.0],""velocity"":[]}"
507,6809131101443,/autodrive/roboracer_1/right_encoder,JointState,1789295554061876701,,"{""position"":[0.0],""velocity"":[]}"
516,6809162485575,/autodrive/roboracer_1/left_encoder,JointState,1789295554086972261,,"{""position"":[0.0],""velocity"":[]}"
517,6809162766113,/autodrive/roboracer_1/right_encoder,JointState,1789295554086972261,,"{""position"":[0.0],""velocity"":[]}"
523,6809180132810,/autodrive/roboracer_1/left_encoder,JointState,1789295554111518257,,"{""position"":[0.0],""velocity"":[]}"
524,6809180451490,/autodrive/roboracer_1/right_encoder,JointState,1789295554111518257,,"{""position"":[0.0],""velocity"":[]}"
533,6809205484262,/autodrive/roboracer_1/left_encoder,JointState,1789295554137129096,,"{""position"":[0.0],""velocity"":[]}"
534,6809205723402,/autodrive/roboracer_1/right_encoder,JointState,1789295554137129096,,"{""position"":[0.0],""velocity"":[]}"
542,6809230225765,/autodrive/roboracer_1/left_encoder,JointState,1789295554161518057,,"{""position"":[0.0],""velocity"":[]}"
543,6809230519528,/autodrive/roboracer_1/right_encoder,JointState,1789295554161518057,,"{""position"":[0.0],""velocity"":[]}"
551,6809254855318,/autodrive/roboracer_1/left_encoder,JointState,1789295554186773447,,"{""position"":[0.0],""velocity"":[]}"
552,6809255171864,/autodrive/roboracer_1/right_encoder,JointState,1789295554186773447,,"{""position"":[0.0],""velocity"":[]}"
558,6809280275879,/autodrive/roboracer_1/left_encoder,JointState,1789295554212202545,,"{""position"":[0.0],""velocity"":[]}"
559,6809280518185,/autodrive/roboracer_1/right_encoder,JointState,1789295554212202545,,"{""position"":[0.0],""velocity"":[]}"
568,6809306482550,/autodrive/roboracer_1/left_encoder,JointState,1789295554236916787,,"{""position"":[0.0],""velocity"":[]}"
569,6809306747288,/autodrive/roboracer_1/right_encoder,JointState,1789295554236916787,,"{""position"":[0.0],""velocity"":[]}"
577,6809331385307,/autodrive/roboracer_1/left_encoder,JointState,1789295554261658521,,"{""position"":[1.129],""velocity"":[]}"
578,6809331661266,/autodrive/roboracer_1/right_encoder,JointState,1789295554261658521,,"{""position"":[1.129],""velocity"":[]}"
587,6809358351998,/autodrive/roboracer_1/left_encoder,JointState,1789295554287106293,,"{""position"":[2.4282],""velocity"":[]}"
588,6809358647995,/autodrive/roboracer_1/right_encoder,JointState,1789295554287106293,,"{""position"":[2.4282],""velocity"":[]}"
594,6809379661584,/autodrive/roboracer_1/left_encoder,JointState,1789295554311615730,,"{""position"":[3.6292],""velocity"":[]}"
595,6809380026019,/autodrive/roboracer_1/right_encoder,JointState,1789295554311615730,,"{""position"":[3.6292],""velocity"":[]}"
605,6809405754510,/autodrive/roboracer_1/left_encoder,JointState,1789295554336896399,,"{""position"":[4.9316],""velocity"":[]}"
606,6809405961930,/autodrive/roboracer_1/right_encoder,JointState,1789295554336896399,,"{""position"":[4.9316],""velocity"":[]}"
614,6809430920803,/autodrive/roboracer_1/left_encoder,JointState,1789295554361744092,,"{""position"":[6.1817],""velocity"":[]}"
615,6809431235064,/autodrive/roboracer_1/right_encoder,JointState,1789295554361744092,,"{""position"":[6.1817],""velocity"":[]}"
623,6809458227253,/autodrive/roboracer_1/left_encoder,JointState,1789295554386320836,,"{""position"":[7.3827],""velocity"":[]}"
624,6809458565740,/autodrive/roboracer_1/right_encoder,JointState,1789295554386320836,,"{""position"":[7.3827],""velocity"":[]}"
632,6809483343612,/autodrive/roboracer_1/left_encoder,JointState,1789295554411598097,,"{""position"":[8.6328],""velocity"":[]}"
