event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
0,6800509246249,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
1,6800529387818,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
2,6800549518526,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
3,6800569449128,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
4,6800589276175,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
5,6800609249106,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
6,6800629422445,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
7,6800649244021,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
8,6800669299077,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
9,6800688999035,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
10,6800709020348,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
11,6800729398522,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
12,6800749245827,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
13,6800769412743,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
14,6800789149079,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
15,6800809325694,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
16,6800829410406,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
17,6800849437679,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
18,6800869332303,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
19,6800888899211,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
20,6800909453797,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
21,6800929698139,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
22,6800949304581,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
23,6800969647518,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
24,6800989148612,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
25,6801009299518,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
26,6801029965484,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
27,6801049302559,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
28,6801069343608,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
29,6801089087168,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
30,6801109321662,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
31,6801129285205,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
32,6801149354378,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
33,6801169555449,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
34,6801189114511,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
35,6801209118802,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
36,6801229451089,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
37,6801249562962,/cmd/speed,AckermannDriveStamped,,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
