run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
open_plane_steering_replay_fixed_2_20260913,1,4,5,0.0830000043,84,53,0.8001,3.16,0.1261,0.0,0.0,-0.7071,0.7071,0.0,0.0,4.7124,0.0,0.0,-0.805,0.0,0.0,0.0,0.0,0.0,-9.5901,0.0,0.0
open_plane_steering_replay_fixed_2_20260913,2,5,6,0.108,109,90,0.8002,3.16,0.1029,0.0,0.0,-0.7071,0.7071,0.0,0.0,4.7124,0.0,0.0,-1.0439,0.0,0.0,0.0,0.0,0.0,-9.5249,0.0,0.0
open_plane_steering_replay_fixed_2_20260913,3,6,7,0.133,134,121,0.8003,3.1596,0.0771,0.0034,0.0034,-0.7071,0.7071,0.0011,0.0096,4.7124,0.1333,0.0003,-0.8914,-0.0034,1.891,-0.0001,12.368,0.0202,25.4751,0.0,0.0
open_plane_steering_replay_fixed_2_20260913,4,7,8,0.158,159,150,0.8003,3.1586,0.0713,0.009,0.009,-0.707,0.7071,0.0034,0.0254,4.7124,0.0142,0.0001,-0.1187,-0.0005,0.157,0.0,-1.2003,-0.007,6.4232,0.0,0.0
open_plane_steering_replay_fixed_2_20260913,5,8,9,0.182000011,183,177,0.8003,3.1585,0.0696,0.0096,0.0096,-0.707,0.707,0.0034,0.0271,4.7124,0.0039,0.0,-0.0618,0.0002,0.0323,0.0,-0.1181,-0.0007,0.7538,0.0,0.0
open_plane_steering_replay_fixed_2_20260913,6,9,10,0.208,209,208,0.8003,3.1585,0.0683,0.0098,0.0098,-0.707,0.707,0.0031,0.0277,4.7124,0.0027,0.0,-0.0507,0.0002,0.0188,0.0,-0.0206,0.0006,0.2886,0.0,0.0
open_plane_steering_replay_fixed_2_20260913,7,10,11,0.232000008,233,237,0.8003,3.1585,0.0672,0.0099,0.0099,-0.707,0.707,0.0028,0.0281,4.7124,0.0023,0.0,-0.0445,0.0002,0.0159,0.0,-0.0126,-0.0007,0.2286,0.0,0.0
open_plane_steering_replay_fixed_2_20260913,8,11,12,0.257,258,263,0.8003,3.1585,0.0662,0.01,0.0101,-0.707,0.707,0.0025,0.0285,4.7124,0.0021,0.0,-0.0391,0.0002,0.0141,0.0,-0.0103,-0.0002,0.2024,0.0,0.0
open_plane_steering_replay_fixed_2_20260913,9,12,13,0.282,283,301,0.8003,3.1584,0.0653,0.0102,0.0102,-0.707,0.707,0.0022,0.0288,4.7124,0.0018,0.0,-0.0343,0.0002,0.0124,0.0,-0.0098,-0.0003,0.1796,0.0,0.0
open_plane_steering_replay_fixed_2_20260913,10,13,14,0.308000028,309,335,0.8003,3.1584,0.0646,0.0103,0.0103,-0.707,0.707,0.002,0.0291,4.7124,0.0016,0.0,-0.0299,0.0001,0.011,0.0,-0.0083,0.0006,0.1634,0.0,0.0
open_plane_steering_replay_fixed_2_20260913,11,14,15,0.333,334,370,0.8003,3.1584,0.0639,0.0104,0.0104,-0.707,0.707,0.0018,0.0294,4.7124,0.0014,0.0,-0.0263,0.0001,0.0097,0.0,-0.0072,0.0001,0.1386,0.0,0.0
open_plane_steering_replay_fixed_2_20260913,12,15,16,0.357000023,358,401,0.8003,3.1584,0.0633,0.0104,0.0105,-0.707,0.707,0.0016,0.0296,4.7124,0.0013,0.0,-0.0232,0.0001,0.0087,0.0,-0.0062,-0.0003,0.1167,0.0,0.0
open_plane_steering_replay_fixed_2_20260913,13,16,17,0.383000016,384,444,0.8003,3.1584,0.0628,0.0105,0.0105,-0.707,0.707,0.0014,0.0298,4.7124,0.0011,0.0,-0.0202,0.0001,0.0076,0.0,-0.0057,-0.0001,0.1056,0.0,0.0
open_plane_steering_replay_fixed_2_20260913,14,17,18,0.407,408,482,0.8003,3.1584,0.0624,0.0106,0.0106,-0.707,0.707,0.0013,0.03,4.7124,0.001,0.0,-0.0179,0.0001,0.0068,0.0,-0.0049,-0.0004,0.0996,0.0,0.0
open_plane_steering_replay_fixed_2_20260913,15,18,19,0.432,433,525,0.8003,3.1584,0.062,0.0106,0.0107,-0.707,0.707,0.0011,0.0301,4.7124,0.0009,0.0,-0.0157,0.0001,0.006,0.0,-0.0055,-0.0003,0.092,0.0,0.0
open_plane_steering_replay_fixed_2_20260913,16,19,20,0.458000034,459,568,0.8003,3.1584,0.0616,0.0107,0.0107,-0.707,0.707,0.001,0.0303,4.7124,0.0008,0.0,-0.0137,0.0001,0.0053,0.0,-0.0037,-0.0012,0.0744,0.0,0.0
open_plane_steering_replay_fixed_2_20260913,17,20,21,0.483,484,603,0.8003,3.1584,0.0613,0.0107,0.0107,-0.707,0.707,0.0009,0.0304,4.7124,0.0007,0.0,-0.012,0.0001,0.0047,0.0,-0.0032,0.0003,0.0617,0.0,0.0
open_plane_steering_replay_fixed_2_20260913,18,21,22,0.507,508,628,0.8003,3.1569,0.0608,0.0102,0.0102,-0.707,0.707,0.0008,0.0288,4.7124,0.123,0.0,-0.0077,0.0001,-0.0998,0.0,5.3627,-0.0001,0.1932,1.129,1.129
open_plane_steering_replay_fixed_2_20260913,19,22,23,0.533000052,534,663,0.8003,3.1518,0.0601,0.0092,0.0092,-0.707,0.707,0.0007,0.0261,4.7124,0.262,0.0,-0.0032,0.0001,-0.0971,0.0,5.3313,-0.0006,0.1932,2.4282,2.4282
open_plane_steering_replay_fixed_2_20260913,20,23,24,0.557000041,558,688,0.8003,3.1439,0.0596,0.0085,0.0085,-0.7071,0.7071,0.0006,0.0239,4.7124,0.3895,0.0,0.0004,0.0001,-0.0868,0.0,5.2939,0.0005,0.1728,3.6292,3.6292
open_plane_steering_replay_fixed_2_20260913,21,24,25,0.583,584,722,0.8003,3.1319,0.059,0.0077,0.0077,-0.7071,0.7071,0.0006,0.0218,4.7124,0.5266,0.0,0.0037,0.0,-0.0764,0.0,5.2541,-0.0001,0.1535,4.9316,4.9316
open_plane_steering_replay_fixed_2_20260913,22,25,26,0.60800004,609,759,0.8003,3.117,0.0585,0.0071,0.0071,-0.7071,0.7071,0.0005,0.02,4.7124,0.6575,0.0,0.0063,0.0001,-0.0674,0.0,5.2174,0.0005,0.1403,6.1817,6.1817
open_plane_steering_replay_fixed_2_20260913,23,26,27,0.632,633,794,0.8003,3.0996,0.0582,0.0065,0.0066,-0.7071,0.7071,0.0005,0.0185,4.7124,0.7822,0.0,0.0084,0.0,-0.0599,0.0,5.1804,0.0003,0.1237,7.3827,7.3827
open_plane_steering_replay_fixed_2_20260913,24,27,28,0.657,658,832,0.8003,3.0784,0.0578,0.006,0.0061,-0.7071,0.7071,0.0004,0.0171,4.7124,0.9113,0.0,0.0103,0.0001,-0.0529,0.0,5.1492,-0.0009,0.125,8.6328,8.6328
open_plane_steering_replay_fixed_2_20260913,25,28,29,0.682000041,683,869,0.8003,3.0539,0.0575,0.0056,0.0056,-0.7071,0.7071,0.0004,0.0159,4.7124,1.0395,0.0,0.0118,0.0,-0.0467,0.0,5.1081,0.0003,0.1025,9.8829,9.8829
open_plane_steering_replay_fixed_2_20260913,26,29,30,0.707,708,909,0.8003,3.0263,0.0572,0.0052,0.0052,-0.7071,0.7071,0.0003,0.0148,4.7124,1.1668,0.0,0.0131,0.0,-0.0413,0.0,5.0773,0.0002,0.1059,11.133,11.133
open_plane_steering_replay_fixed_2_20260913,27,30,31,0.73300004,734,945,0.8003,2.9941,0.0569,0.0049,0.0049,-0.7071,0.7071,0.0003,0.0138,4.7124,1.2982,0.0,0.0143,0.0,-0.0362,0.0,5.0353,-0.0005,0.0852,12.4322,12.4322
