event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
424,6808910321193,/autodrive/roboracer_1/imu,Imu,1789295553837178799,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0,""ax_mps2"":0.0,""ay_mps2"":0.0,""az_mps2"":-9.5901,""orientation_w"":0.7071,""orientation_x"":0.0,""orientation_y"":0.0,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
433,6808931277444,/autodrive/roboracer_1/imu,Imu,1789295553861908631,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0,""ax_mps2"":0.0,""ay_mps2"":0.0,""az_mps2"":-9.5249,""orientation_w"":0.7071,""orientation_x"":0.0,""orientation_y"":0.0,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
442,6808957951303,/autodrive/roboracer_1/imu,Imu,1789295553887241187,,"{""angular_velocity_x_radps"":-0.0034,""angular_velocity_y_radps"":1.891,""ax_mps2"":12.368,""ay_mps2"":0.0202,""az_mps2"":25.4751,""orientation_w"":0.7071,""orientation_x"":0.0034,""orientation_y"":0.0034,""orientation_z"":-0.7071,""yaw_rate_radps"":-0.0001}"
451,6808981518728,/autodrive/roboracer_1/imu,Imu,1789295553911902620,,"{""angular_velocity_x_radps"":-0.0005,""angular_velocity_y_radps"":0.157,""ax_mps2"":-1.2003,""ay_mps2"":-0.007,""az_mps2"":6.4232,""orientation_w"":0.7071,""orientation_x"":0.009,""orientation_y"":0.009,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
459,6809004570272,/autodrive/roboracer_1/imu,Imu,1789295553936670654,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0323,""ax_mps2"":-0.1181,""ay_mps2"":-0.0007,""az_mps2"":0.7538,""orientation_w"":0.707,""orientation_x"":0.0096,""orientation_y"":0.0096,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
469,6809030702633,/autodrive/roboracer_1/imu,Imu,1789295553962158271,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0188,""ax_mps2"":-0.0206,""ay_mps2"":0.0006,""az_mps2"":0.2886,""orientation_w"":0.707,""orientation_x"":0.0098,""orientation_y"":0.0098,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
477,6809056592266,/autodrive/roboracer_1/imu,Imu,1789295553986420152,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0159,""ax_mps2"":-0.0126,""ay_mps2"":-0.0007,""az_mps2"":0.2286,""orientation_w"":0.707,""orientation_x"":0.0099,""orientation_y"":0.0099,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
487,6809079938555,/autodrive/roboracer_1/imu,Imu,1789295554011654553,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0141,""ax_mps2"":-0.0103,""ay_mps2"":-0.0002,""az_mps2"":0.2024,""orientation_w"":0.707,""orientation_x"":0.01,""orientation_y"":0.0101,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
496,6809104700246,/autodrive/roboracer_1/imu,Imu,1789295554036480075,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0124,""ax_mps2"":-0.0098,""ay_mps2"":-0.0003,""az_mps2"":0.1796,""orientation_w"":0.707,""orientation_x"":0.0102,""orientation_y"":0.0102,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
505,6809130541529,/autodrive/roboracer_1/imu,Imu,1789295554061876701,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.011,""ax_mps2"":-0.0083,""ay_mps2"":0.0006,""az_mps2"":0.1634,""orientation_w"":0.707,""orientation_x"":0.0103,""orientation_y"":0.0103,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
515,6809162081415,/autodrive/roboracer_1/imu,Imu,1789295554086972261,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0097,""ax_mps2"":-0.0072,""ay_mps2"":0.0001,""az_mps2"":0.1386,""orientation_w"":0.707,""orientation_x"":0.0104,""orientation_y"":0.0104,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
522,6809179729291,/autodrive/roboracer_1/imu,Imu,1789295554111518257,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0087,""ax_mps2"":-0.0062,""ay_mps2"":-0.0003,""az_mps2"":0.1167,""orientation_w"":0.707,""orientation_x"":0.0104,""orientation_y"":0.0105,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
532,6809205181352,/autodrive/roboracer_1/imu,Imu,1789295554137129096,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0076,""ax_mps2"":-0.0057,""ay_mps2"":-0.0001,""az_mps2"":0.1056,""orientation_w"":0.707,""orientation_x"":0.0105,""orientation_y"":0.0105,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
541,6809229860237,/autodrive/roboracer_1/imu,Imu,1789295554161518057,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0068,""ax_mps2"":-0.0049,""ay_mps2"":-0.0004,""az_mps2"":0.0996,""orientation_w"":0.707,""orientation_x"":0.0106,""orientation_y"":0.0106,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
550,6809254534905,/autodrive/roboracer_1/imu,Imu,1789295554186773447,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.006,""ax_mps2"":-0.0055,""ay_mps2"":-0.0003,""az_mps2"":0.092,""orientation_w"":0.707,""orientation_x"":0.0106,""orientation_y"":0.0107,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
561,6809282068032,/autodrive/roboracer_1/imu,Imu,1789295554212202545,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0053,""ax_mps2"":-0.0037,""ay_mps2"":-0.0012,""az_mps2"":0.0744,""orientation_w"":0.707,""orientation_x"":0.0107,""orientation_y"":0.0107,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
567,6809306124697,/autodrive/roboracer_1/imu,Imu,1789295554236916787,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0047,""ax_mps2"":-0.0032,""ay_mps2"":0.0003,""az_mps2"":0.0617,""orientation_w"":0.707,""orientation_x"":0.0107,""orientation_y"":0.0107,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
576,6809330982118,/autodrive/roboracer_1/imu,Imu,1789295554261658521,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":-0.0998,""ax_mps2"":5.3627,""ay_mps2"":-0.0001,""az_mps2"":0.1932,""orientation_w"":0.707,""orientation_x"":0.0102,""orientation_y"":0.0102,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
586,6809357960661,/autodrive/roboracer_1/imu,Imu,1789295554287106293,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":-0.0971,""ax_mps2"":5.3313,""ay_mps2"":-0.0006,""az_mps2"":0.1932,""orientation_w"":0.707,""orientation_x"":0.0092,""orientation_y"":0.0092,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
597,6809381668290,/autodrive/roboracer_1/imu,Imu,1789295554311615730,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":-0.0868,""ax_mps2"":5.2939,""ay_mps2"":0.0005,""az_mps2"":0.1728,""orientation_w"":0.7071,""orientation_x"":0.0085,""orientation_y"":0.0085,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
604,6809405488880,/autodrive/roboracer_1/imu,Imu,1789295554336896399,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0764,""ax_mps2"":5.2541,""ay_mps2"":-0.0001,""az_mps2"":0.1535,""orientation_w"":0.7071,""orientation_x"":0.0077,""orientation_y"":0.0077,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
613,6809430578980,/autodrive/roboracer_1/imu,Imu,1789295554361744092,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":-0.0674,""ax_mps2"":5.2174,""ay_mps2"":0.0005,""az_mps2"":0.1403,""orientation_w"":0.7071,""orientation_x"":0.0071,""orientation_y"":0.0071,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
