event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
424,6846920532915,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
425,6846920831136,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
433,6846944590951,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
434,6846944835331,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
442,6846975333504,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
447,6846977814001,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
451,6846993847800,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
452,6846994101297,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
460,6847018716641,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
461,6847018933188,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
469,6847045362165,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
470,6847045587078,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
478,6847072989076,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
479,6847073264595,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
487,6847097772316,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
488,6847098081258,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
496,6847120062165,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
497,6847120342393,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
505,6847144791655,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
506,6847145145741,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
514,6847172452109,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
515,6847172691759,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
523,6847194116691,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
524,6847194358616,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
532,6847218732206,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
533,6847219051426,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
541,6847244742846,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
542,6847244993698,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
550,6847269229588,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
551,6847269508914,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
559,6847294657702,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
560,6847294976041,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
568,6847319753260,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
569,6847320113277,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
577,6847344343637,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
578,6847344652598,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
586,6847369182472,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
587,6847369459694,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
595,6847394532178,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
596,6847394801054,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
604,6847419134949,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
605,6847419477373,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
613,6847444777456,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
614,6847445096486,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
622,6847470618737,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
623,6847470830005,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
631,6847494018194,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
632,6847494327005,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
640,6847521179799,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
646,6847523904305,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
649,6847544427290,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
650,6847544712306,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
658,6847569922971,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
659,6847570175666,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
667,6847595172599,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
668,6847595501728,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
676,6847619828590,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
677,6847620092887,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
685,6847644551406,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
686,6847644801056,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
694,6847671206068,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
695,6847671447782,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
703,6847693907521,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
704,6847694223716,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
712,6847719660236,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
713,6847719923812,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
721,6847744507476,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
722,6847744776833,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
730,6847771995336,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
736,6847775030556,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
739,6847794508996,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
745,6847798120951,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
748,6847819403836,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
754,6847822278685,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
757,6847845065619,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
758,6847845312644,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
766,6847872380794,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
767,6847872642706,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
775,6847894470626,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
776,6847894700008,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
784,6847919146545,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
785,6847919407856,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
793,6847945442461,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
799,6847948722382,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
802,6847968932508,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
803,6847969191506,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
811,6847994424893,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
812,6847994681576,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
820,6848019246495,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
821,6848019507416,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
829,6848044646236,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
830,6848044928947,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
838,6848069303830,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
839,6848069559571,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
847,6848094443911,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
848,6848094725491,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
856,6848119858069,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
857,6848120146121,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
865,6848144424401,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
866,6848144725117,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
874,6848171346325,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
875,6848171614219,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
883,6848194645162,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
884,6848194943394,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
892,6848219292758,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
893,6848219617469,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
901,6848245282247,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
907,6848247925441,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
910,6848273273554,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
911,6848273462259,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
919,6848295323892,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
920,6848295580615,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
931,6848321327889,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
932,6848321508659,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
937,6848344050803,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
938,6848344321462,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
946,6848372221958,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
947,6848372494170,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
955,6848394816761,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
956,6848395043537,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
964,6848419160344,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
965,6848419390226,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
973,6848444697372,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
974,6848445146096,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
982,6848469169567,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
983,6848469463029,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
991,6848494545052,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
996,6848496865147,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1000,6848519463567,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1001,6848519781074,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1009,6848544731739,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1015,6848547448371,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1018,6848573140822,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1022,6848574746503,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1027,6848593878230,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1028,6848594102442,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1036,6848619916161,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1037,6848620248025,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1045,6848645188461,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1046,6848645528581,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1054,6848672394991,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1055,6848672664458,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1063,6848693896647,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1064,6848694119737,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1072,6848719558560,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1073,6848719817097,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1081,6848744949033,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1082,6848745194285,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1090,6848772610729,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1094,6848774281102,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1099,6848794281664,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1100,6848794531855,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1108,6848819054444,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1113,6848821295721,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1117,6848844365668,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1118,6848844622041,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1126,6848872885880,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1127,6848873171437,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1135,6848894246611,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1141,6848896870287,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1144,6848919393275,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1145,6848919670356,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1153,6848945360443,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1154,6848945663142,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1162,6848968850700,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1163,6848969111080,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1171,6848994046737,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1172,6848994337234,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1180,6849019062615,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1181,6849019396593,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1189,6849044032006,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1190,6849044269563,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1198,6849071601037,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1199,6849071815351,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1207,6849093872261,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1208,6849094113135,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1216,6849119409670,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1220,6849121159884,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1225,6849144070540,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1226,6849144301114,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1234,6849173311658,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1235,6849173534538,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1243,6849194516786,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1248,6849197165079,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1252,6849219172897,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1258,6849221799519,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1261,6849244781170,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1265,6849246362696,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1270,6849270446189,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1271,6849270672515,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1279,6849294169425,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1280,6849294377396,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1288,6849318725859,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1289,6849318992270,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1297,6849344470438,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1298,6849344688578,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1306,6849371691214,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1307,6849371941726,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1315,6849394194625,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1316,6849394403608,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1324,6849418697548,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1325,6849418932690,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1333,6849444522037,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1334,6849444783269,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1342,6849470893987,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1343,6849471120673,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1351,6849493584780,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1357,6849495726610,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1360,6849519237486,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1361,6849519491965,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1369,6849543986372,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.052400000393390656}"
1370,6849544247212,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1378,6849571355978,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.052400000393390656}"
1379,6849571546757,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1387,6849594375380,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.052400000393390656}"
1388,6849594618848,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1396,6849618858826,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.052400000393390656}"
1397,6849619120137,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1405,6849644134192,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1411,6849646127342,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.052400000393390656}"
1414,6849671312749,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1420,6849673247069,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.052400000393390656}"
1423,6849693755756,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.052400000393390656}"
1424,6849693947377,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1432,6849719181876,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1438,6849721090808,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.052400000393390656}"
1441,6849744096714,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.052400000393390656}"
1442,6849744274959,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1450,6849770235665,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.052400000393390656}"
1451,6849770427636,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1459,6849793909568,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.052400000393390656}"
1460,6849794127568,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1468,6849818330436,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1474,6849820098192,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.052400000393390656}"
1477,6849843387352,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1483,6849845282758,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.052400000393390656}"
1486,6849870051611,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.052400000393390656}"
1487,6849870210690,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1495,6849893983339,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
1500,6849895302241,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.052400000393390656}"
1504,6849918263573,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.052400000393390656}"
1505,6849918475442,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
