simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,applied_command_sequence_k1,commanded_throttle_norm_k1,commanded_steering_norm_k1,applied_throttle_norm_k1,applied_steering_rad_k1,simulator_feedback_steering_rad_k1,wheel_speed_mps_k1,encoder_left_rad_k1,encoder_right_rad_k1,reset_epoch,segment_id,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps
0.123,0.149,124.0,150.0,26.0,0.025999999999999995,0.8004,3.1601,-1.5707963267948968,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8004,3.1588,-1.5707979770511817,0.0307,0.0001,0.0
0.149,0.173000008,150.0,174.0,24.0,0.024000008000000017,0.8004,3.1588,-1.5707979770511817,0.0307,0.0001,0.0,7.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8004,3.1586,-1.5707982177036672,0.0055,0.0,0.0
0.173000008,0.198000014,174.0,199.0,25.0,0.02500000599999999,0.8004,3.1586,-1.5707982177036672,0.0055,0.0,0.0,8.0,0.12,0.0,0.12,0.0,0.0,2.780315332724321,1.1781,1.1781,0.0,0.0,0.8004,3.1568,-1.5707963267948963,0.1385,0.0,0.0
0.198000014,0.224,199.0,225.0,26.0,0.025999986000000003,0.8004,3.1568,-1.5707963267948963,0.1385,0.0,0.0,9.0,0.12,0.0,0.12,0.0,0.0,2.948186202869494,2.4773,2.4773,0.0,0.0,0.8004,3.1513,-1.5707963267948963,0.2796,0.0,0.0
0.224,0.248000011,225.0,249.0,24.0,0.024000010999999988,0.8004,3.1513,-1.5707963267948963,0.2796,0.0,0.0,10.0,0.12,0.0,0.12,0.0,0.0,2.952456980123886,3.6783,3.6783,0.0,0.0,0.8004,3.143,-1.5707963267948963,0.4086,0.0,0.0
0.248000011,0.273,249.0,274.0,25.0,0.024999989000000028,0.8004,3.143,-1.5707963267948963,0.4086,0.0,0.0,11.0,0.12,0.0,0.12,0.0,0.0,2.950237298104407,4.9284,4.9284,0.0,0.0,0.8004,3.131,-1.5707963267948963,0.5418,0.0,0.0
0.273,0.299000025,274.0,300.0,26.0,0.026000024999999982,0.8004,3.131,-1.5707963267948963,0.5418,0.0,0.0,12.0,0.12,0.0,0.12,0.0,0.0,2.9481817805944437,6.2276,6.2276,0.0,0.0,0.8004,3.1151,-1.5707963267948963,0.6792,0.0,0.0
0.299000025,0.323,300.0,324.0,24.0,0.023999975000000007,0.8004,3.1151,-1.5707963267948963,0.6792,0.0,0.0,13.0,0.12,0.0,0.12,0.0,0.0,2.952461408813968,7.4286,7.4286,0.0,0.0,0.8004,3.0972,-1.570797496897421,0.805,0.0,0.0
0.323,0.34800002,324.0,349.0,25.0,0.02500002000000001,0.8004,3.0972,-1.570797496897421,0.805,0.0,0.0,14.0,0.12,0.0,0.12,0.0,0.0,2.9502336398130837,8.6787,8.6787,0.0,0.0,0.8004,3.0754,-1.5707963267948968,0.9349,0.0,0.0
0.34800002,0.373000026,349.0,374.0,25.0,0.025000005999999964,0.8004,3.0754,-1.5707963267948968,0.9349,0.0,0.0,15.0,0.12,0.0,0.12,0.0,0.0,2.949999292000174,9.9287,9.9287,0.0,0.0,0.8004,3.0503,-1.5707973368657833,1.0639,0.0,0.0
