event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
45,12158305086475,/odom,Odometry,1789300903232012393,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
54,12158325851191,/odom,Odometry,1789300903256819610,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
63,12158352179920,/odom,Odometry,1789300903282471707,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
71,12158376940550,/odom,Odometry,1789300903307035236,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.1310649230003357,""x_m"":0.0016096943325402651,""y_m"":2.423711495075578e-08,""yaw_rate_radps"":0.0}"
80,12158401265200,/odom,Odometry,1789300903332177243,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.26449076092243196,""x_m"":0.006582215799108641,""y_m"":-4.40374424685473e-07,""yaw_rate_radps"":0.0}"
89,12158425066576,/odom,Odometry,1789300903356836583,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.3946418412923813,""x_m"":0.014709199876850647,""y_m"":-2.085427573184709e-06,""yaw_rate_radps"":0.0}"
98,12158452359087,/odom,Odometry,1789300903382623723,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.320009143584655,""x_m"":0.10128493744948219,""y_m"":-1.7198625746672618e-05,""yaw_rate_radps"":0.0}"
107,12158475650194,/odom,Odometry,1789300903406949726,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.024982536703535,""x_m"":0.2514361289891571,""y_m"":-4.0045219305718876e-05,""yaw_rate_radps"":0.0}"
117,12158503554706,/odom,Odometry,1789300903432638311,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.050302605304268,""x_m"":0.4065350036916615,""y_m"":-6.092556414755413e-05,""yaw_rate_radps"":0.0}"
126,12158527893402,/odom,Odometry,1789300903457546829,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.060112488820269,""x_m"":0.5573613979479293,""y_m"":-7.898960650056246e-05,""yaw_rate_radps"":0.0}"
135,12158552682376,/odom,Odometry,1789300903482278565,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.022806129714409,""x_m"":0.706778010314644,""y_m"":-9.503175055822436e-05,""yaw_rate_radps"":0.0}"
143,12158577216650,/odom,Odometry,1789300903507614958,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.069715039271924,""x_m"":0.8599676734314101,""y_m"":-0.0001098932649345987,""yaw_rate_radps"":0.0}"
153,12158601949348,/odom,Odometry,1789300903531903460,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.060694481910197,""x_m"":1.0072818886384467,""y_m"":-0.0001230812693061552,""yaw_rate_radps"":0.0}"
161,12158626668730,/odom,Odometry,1789300903557670222,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.051755498290596,""x_m"":1.1633317260601377,""y_m"":-0.00013611491941637377,""yaw_rate_radps"":0.0}"
171,12158652412399,/odom,Odometry,1789300903582586284,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.090962449565423,""x_m"":1.3146067502369818,""y_m"":-0.00014789649903115216,""yaw_rate_radps"":0.0}"
180,12158677019911,/odom,Odometry,1789300903606772054,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.0817571560211965,""x_m"":1.461809363459666,""y_m"":-0.000158705808036754,""yaw_rate_radps"":0.0}"
189,12158701613697,/odom,Odometry,1789300903632157058,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.0468291648976535,""x_m"":1.6157523022938547,""y_m"":-0.00016937116190362882,""yaw_rate_radps"":0.0}"
197,12158726796642,/odom,Odometry,1789300903657192384,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.042892072931951,""x_m"":1.7670862513673051,""y_m"":-0.00017925795522962768,""yaw_rate_radps"":0.0}"
207,12158752489785,/odom,Odometry,1789300903682078721,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.03738539592146,""x_m"":1.9174033766838776,""y_m"":-0.00018874008588638347,""yaw_rate_radps"":0.0}"
216,12158775949158,/odom,Odometry,1789300903707236407,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.029719522885482,""x_m"":2.0691936190652624,""y_m"":-0.00019799181246059233,""yaw_rate_radps"":0.0}"
224,12158799978523,/odom,Odometry,1789300903732211481,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.049214665576904,""x_m"":2.220029680405909,""y_m"":-0.00020687313545851083,""yaw_rate_radps"":0.0}"
233,12158825015974,/odom,Odometry,1789300903756781532,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.070317313001613,""x_m"":2.3689180593182844,""y_m"":-0.00021544323644921416,""yaw_rate_radps"":0.0}"
243,12158849981018,/odom,Odometry,1789300903782130499,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.055466998512083,""x_m"":2.5226057166438665,""y_m"":-0.00022409285840643608,""yaw_rate_radps"":0.0}"
252,12158875854030,/odom,Odometry,1789300903807000645,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.058327718628938,""x_m"":2.6732417061209146,""y_m"":-0.00023238393508122885,""yaw_rate_radps"":0.0}"
261,12158901964138,/odom,Odometry,1789300903832608157,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.08741308624419,""x_m"":2.8287547043130123,""y_m"":-0.000240756822316505,""yaw_rate_radps"":0.0}"
269,12158926415767,/odom,Odometry,1789300903857426726,,"{""lateral_speed_mps"":0.0,""speed_mps"":6.077533445167301,""x_m"":2.979712082745363,""y_m"":-0.0002487093165517181,""yaw_rate_radps"":0.0}"
