event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
26,12474381145582,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
27,12474381384421,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
35,12474404969014,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
36,12474405286140,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
44,12474429723306,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
45,12474430055060,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
53,12474455886458,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
54,12474456132721,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
62,12474479753551,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
63,12474479967413,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
71,12474504778493,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
72,12474505016430,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
80,12474529947004,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
85,12474532044759,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
89,12474555888328,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
90,12474556121026,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
98,12474580771543,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
104,12474582938238,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
107,12474605547676,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
108,12474605767039,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
116,12474630652878,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
117,12474630860919,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
125,12474654574775,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
131,12474657192438,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
134,12474679741843,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
140,12474682096351,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
143,12474705928980,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
149,12474708587610,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
152,12474730763103,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
153,12474730965563,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
161,12474756034628,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
162,12474756294276,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
170,12474780807104,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
171,12474780995027,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
179,12474806030438,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
185,12474808622613,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
188,12474830154936,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
194,12474833061893,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
197,12474855842193,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
198,12474856183334,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
206,12474880833220,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
212,12474883804718,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
215,12474905677241,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
221,12474907913597,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
224,12474930775260,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
225,12474931074472,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
233,12474956210122,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
234,12474956475150,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
242,12474980850349,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
243,12474981126609,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
251,12475005592849,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
255,12475007171498,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
260,12475030834318,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
266,12475033234571,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
269,12475055904604,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
270,12475056184070,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
278,12475079755838,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
279,12475080079286,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
287,12475105756544,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
288,12475106029397,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
296,12475130793979,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
297,12475131044670,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
305,12475155743829,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
