simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,applied_command_sequence_k1,throttle_k_norm,steering_k_rad,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps
6.61300039,6.637,6614.0,6638.0,24.0,0.023999609999999727,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,4.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
6.637,6.662,6638.0,6663.0,25.0,0.025000000000000355,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,5.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
6.662,6.688,6663.0,6689.0,26.0,0.0259999999999998,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,6.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
6.688,6.71200037,6689.0,6713.0,24.0,0.024000370000000437,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,7.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
6.71200037,6.73700047,6713.0,6738.0,25.0,0.025000099999999748,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,8.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
6.73700047,6.762,6738.0,6763.0,25.0,0.02499952999999966,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,9.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
6.762,6.788,6763.0,6789.0,26.0,0.02600000000000069,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,10.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
6.788,6.813,6789.0,6814.0,25.0,0.024999999999999467,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,11.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
6.813,6.8380003,6814.0,6839.0,25.0,0.02500030000000031,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,12.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
6.8380003,6.86300039,6839.0,6864.0,25.0,0.02500008999999981,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,13.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
6.86300039,6.88700056,6864.0,6888.0,24.0,0.024000169999999876,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,14.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
6.88700056,6.912,6888.0,6913.0,25.0,0.024999440000000206,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,15.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
6.912,6.938,6913.0,6939.0,26.0,0.0259999999999998,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,16.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
6.938,6.9630003,6939.0,6964.0,25.0,0.02500030000000031,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,17.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
6.9630003,6.98800039,6964.0,6989.0,25.0,0.02500008999999981,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,18.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
6.98800039,7.01300049,6989.0,7014.0,25.0,0.025000099999999748,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,19.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
7.01300049,7.038,7014.0,7039.0,25.0,0.02499951000000067,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,20.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
7.038,7.06200027,7039.0,7063.0,24.0,0.024000270000000157,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,21.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
7.06200027,7.0880003,7063.0,7089.0,26.0,0.02600002999999962,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,22.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
7.0880003,7.11300039,7089.0,7114.0,25.0,0.02500008999999981,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0,23.0,0.0,0.0,0.8022,3.1586,-1.5707963267948968,0.0,0.0,0.0
