simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,applied_command_sequence_k1,commanded_throttle_norm_k1,commanded_steering_norm_k1,applied_throttle_norm_k1,applied_steering_rad_k1,simulator_feedback_steering_rad_k1,wheel_speed_mps_k1,encoder_left_rad_k1,encoder_right_rad_k1,reset_epoch,segment_id,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps
7.96800041,7.99300051,7969.0,7994.0,25.0,0.025000099999999748,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0
7.99300051,8.017,7994.0,8018.0,24.0,0.023999489999999568,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0
8.017,8.042001,8018.0,8043.0,25.0,0.025001000000001383,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0
8.042001,8.068001,8043.0,8069.0,26.0,0.0259999999999998,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0
8.068001,8.093,8069.0,8094.0,25.0,0.024998999999999327,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0
8.093,8.118,8094.0,8119.0,25.0,0.025000000000000355,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0
8.118,8.142,8119.0,8143.0,24.0,0.023999999999999133,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0
8.142,8.168,8143.0,8169.0,26.0,0.0259999999999998,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0
8.168,8.192,8169.0,8193.0,24.0,0.02400000000000091,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0
8.192,8.218,8193.0,8219.0,26.0,0.0259999999999998,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0
8.218,8.242001,8219.0,8243.0,24.0,0.02400100000000016,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0
8.242001,8.268001,8243.0,8269.0,26.0,0.0259999999999998,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0
8.268001,8.293,8269.0,8294.0,25.0,0.024998999999999327,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0
8.293,8.318001,8294.0,8319.0,25.0,0.025001000000001383,0.8036,3.1587,-1.5707963267948968,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8037,3.1587,-1.5707963267948968,0.0,0.0,0.0
8.318001,8.343,8319.0,8344.0,25.0,0.024998999999999327,0.8037,3.1587,-1.5707963267948968,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8037,3.1587,-1.5707963267948968,0.0,0.0,0.0
