event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
8,12640442975481,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
9,12640443675037,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
17,12640465699064,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
18,12640465938033,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
26,12640490311709,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
27,12640490538105,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
35,12640515101017,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
36,12640515304940,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
44,12640539978740,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
50,12640541812829,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
53,12640565147181,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
59,12640567236009,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
62,12640590829858,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
68,12640592795775,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
71,12640615032392,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
77,12640616986748,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
80,12640640150879,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
81,12640640365933,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
89,12640664882828,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
93,12640666358333,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
98,12640690268567,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
104,12640692647421,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
107,12640715048377,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
108,12640715248042,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
116,12640740048401,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
117,12640740232938,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
125,12640764908291,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
126,12640765125489,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
134,12640790389850,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
140,12640792652886,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
143,12640816129124,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
144,12640816357423,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
152,12640840070377,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
153,12640840281514,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
161,12640864913335,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
166,12640866551275,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
170,12640890883713,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
176,12640892718103,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
179,12640914857076,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
185,12640916713708,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
190,12640941363002,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
191,12640941485893,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
197,12640964903260,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
198,12640965132662,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
206,12640990054809,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
207,12640990343342,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
215,12641015057247,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
216,12641015275398,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
224,12641040093589,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
225,12641040292393,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
233,12641065536536,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
239,12641067418184,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
242,12641090699165,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
248,12641092495634,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
251,12641114898062,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
252,12641115119599,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
260,12641140573927,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
261,12641140797287,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
269,12641166604529,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
270,12641166873024,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
278,12641190362908,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
284,12641192403745,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
289,12641216170650,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
290,12641216299122,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
296,12641239968563,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
301,12641241841505,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
305,12641265202367,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
311,12641267257050,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
314,12641290586953,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
319,12641292079580,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
323,12641315260012,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
324,12641315489594,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
332,12641339910048,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
338,12641341866928,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
341,12641364928276,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
