event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
5,23014457329344,/autodrive/roboracer_1/left_encoder,JointState,1789394065528014602,,"{""position"":[0.0],""velocity"":[]}"
6,23014457464167,/autodrive/roboracer_1/right_encoder,JointState,1789394065528014602,,"{""position"":[0.0],""velocity"":[]}"
16,23014480913355,/autodrive/roboracer_1/left_encoder,JointState,1789394065552788055,,"{""position"":[0.0],""velocity"":[]}"
17,23014481056534,/autodrive/roboracer_1/right_encoder,JointState,1789394065552788055,,"{""position"":[0.0],""velocity"":[]}"
27,23014506150709,/autodrive/roboracer_1/left_encoder,JointState,1789394065578121370,,"{""position"":[0.0],""velocity"":[]}"
28,23014506309878,/autodrive/roboracer_1/right_encoder,JointState,1789394065578121370,,"{""position"":[0.0],""velocity"":[]}"
38,23014531225608,/autodrive/roboracer_1/left_encoder,JointState,1789394065603223139,,"{""position"":[0.0],""velocity"":[]}"
39,23014531388013,/autodrive/roboracer_1/right_encoder,JointState,1789394065603223139,,"{""position"":[0.0],""velocity"":[]}"
49,23014555657381,/autodrive/roboracer_1/left_encoder,JointState,1789394065628105667,,"{""position"":[0.0],""velocity"":[]}"
50,23014555832720,/autodrive/roboracer_1/right_encoder,JointState,1789394065628105667,,"{""position"":[0.0],""velocity"":[]}"
60,23014580565246,/autodrive/roboracer_1/left_encoder,JointState,1789394065652573006,,"{""position"":[0.0],""velocity"":[]}"
61,23014580685352,/autodrive/roboracer_1/right_encoder,JointState,1789394065652573006,,"{""position"":[0.0],""velocity"":[]}"
71,23014605748078,/autodrive/roboracer_1/left_encoder,JointState,1789394065677906350,,"{""position"":[0.0],""velocity"":[]}"
72,23014605867973,/autodrive/roboracer_1/right_encoder,JointState,1789394065677906350,,"{""position"":[0.0],""velocity"":[]}"
82,23014630383432,/autodrive/roboracer_1/left_encoder,JointState,1789394065702978705,,"{""position"":[0.0],""velocity"":[]}"
83,23014630488479,/autodrive/roboracer_1/right_encoder,JointState,1789394065702978705,,"{""position"":[0.0],""velocity"":[]}"
93,23014655978538,/autodrive/roboracer_1/left_encoder,JointState,1789394065727492391,,"{""position"":[0.0],""velocity"":[]}"
94,23014656091029,/autodrive/roboracer_1/right_encoder,JointState,1789394065727492391,,"{""position"":[0.0],""velocity"":[]}"
104,23014680769845,/autodrive/roboracer_1/left_encoder,JointState,1789394065752864888,,"{""position"":[0.0],""velocity"":[]}"
105,23014680884560,/autodrive/roboracer_1/right_encoder,JointState,1789394065752864888,,"{""position"":[0.0],""velocity"":[]}"
115,23014706148604,/autodrive/roboracer_1/left_encoder,JointState,1789394065777667046,,"{""position"":[0.0],""velocity"":[]}"
116,23014706329103,/autodrive/roboracer_1/right_encoder,JointState,1789394065777667046,,"{""position"":[0.0],""velocity"":[]}"
126,23014730349593,/autodrive/roboracer_1/left_encoder,JointState,1789394065803036508,,"{""position"":[0.0],""velocity"":[]}"
127,23014730506608,/autodrive/roboracer_1/right_encoder,JointState,1789394065803036508,,"{""position"":[0.0],""velocity"":[]}"
137,23014755290110,/autodrive/roboracer_1/left_encoder,JointState,1789394065827353995,,"{""position"":[0.0],""velocity"":[]}"
138,23014755393154,/autodrive/roboracer_1/right_encoder,JointState,1789394065827353995,,"{""position"":[0.0],""velocity"":[]}"
148,23014780336195,/autodrive/roboracer_1/left_encoder,JointState,1789394065852477646,,"{""position"":[0.0],""velocity"":[]}"
149,23014780457272,/autodrive/roboracer_1/right_encoder,JointState,1789394065852477646,,"{""position"":[0.0],""velocity"":[]}"
159,23014805664861,/autodrive/roboracer_1/left_encoder,JointState,1789394065877507861,,"{""position"":[0.0],""velocity"":[]}"
160,23014805788132,/autodrive/roboracer_1/right_encoder,JointState,1789394065877507861,,"{""position"":[0.0],""velocity"":[]}"
170,23014830980582,/autodrive/roboracer_1/left_encoder,JointState,1789394065902320759,,"{""position"":[0.0],""velocity"":[]}"
171,23014831125384,/autodrive/roboracer_1/right_encoder,JointState,1789394065902320759,,"{""position"":[0.0],""velocity"":[]}"
181,23014855905640,/autodrive/roboracer_1/left_encoder,JointState,1789394065928075534,,"{""position"":[0.0],""velocity"":[]}"
182,23014856028320,/autodrive/roboracer_1/right_encoder,JointState,1789394065928075534,,"{""position"":[0.0],""velocity"":[]}"
192,23014881140018,/autodrive/roboracer_1/left_encoder,JointState,1789394065953082716,,"{""position"":[0.0],""velocity"":[]}"
193,23014881260214,/autodrive/roboracer_1/right_encoder,JointState,1789394065953082716,,"{""position"":[0.0],""velocity"":[]}"
203,23014905258382,/autodrive/roboracer_1/left_encoder,JointState,1789394065978230412,,"{""position"":[0.0],""velocity"":[]}"
204,23014905385120,/autodrive/roboracer_1/right_encoder,JointState,1789394065978230412,,"{""position"":[0.0],""velocity"":[]}"
214,23014930062864,/autodrive/roboracer_1/left_encoder,JointState,1789394066002476275,,"{""position"":[0.0],""velocity"":[]}"
215,23014930200002,/autodrive/roboracer_1/right_encoder,JointState,1789394066002476275,,"{""position"":[0.0],""velocity"":[]}"
225,23014955255956,/autodrive/roboracer_1/left_encoder,JointState,1789394066027389992,,"{""position"":[0.0],""velocity"":[]}"
226,23014955419743,/autodrive/roboracer_1/right_encoder,JointState,1789394066027389992,,"{""position"":[0.0],""velocity"":[]}"
236,23014980270322,/autodrive/roboracer_1/left_encoder,JointState,1789394066052414357,,"{""position"":[0.0],""velocity"":[]}"
237,23014980413921,/autodrive/roboracer_1/right_encoder,JointState,1789394066052414357,,"{""position"":[0.0],""velocity"":[]}"
247,23015005278315,/autodrive/roboracer_1/left_encoder,JointState,1789394066077506298,,"{""position"":[0.0],""velocity"":[]}"
248,23015005381519,/autodrive/roboracer_1/right_encoder,JointState,1789394066077506298,,"{""position"":[0.0],""velocity"":[]}"
258,23015030545055,/autodrive/roboracer_1/left_encoder,JointState,1789394066102420737,,"{""position"":[0.0],""velocity"":[]}"
259,23015030685208,/autodrive/roboracer_1/right_encoder,JointState,1789394066102420737,,"{""position"":[0.0],""velocity"":[]}"
269,23015056436437,/autodrive/roboracer_1/left_encoder,JointState,1789394066127615852,,"{""position"":[0.0],""velocity"":[]}"
270,23015056597118,/autodrive/roboracer_1/right_encoder,JointState,1789394066127615852,,"{""position"":[0.0],""velocity"":[]}"
280,23015080057317,/autodrive/roboracer_1/left_encoder,JointState,1789394066153118314,,"{""position"":[0.0],""velocity"":[]}"
281,23015080161944,/autodrive/roboracer_1/right_encoder,JointState,1789394066153118314,,"{""position"":[0.0],""velocity"":[]}"
311,23015105511950,/autodrive/roboracer_1/left_encoder,JointState,1789394066177429600,,"{""position"":[0.0],""velocity"":[]}"
312,23015105660188,/autodrive/roboracer_1/right_encoder,JointState,1789394066177429600,,"{""position"":[0.0],""velocity"":[]}"
355,23015130051605,/autodrive/roboracer_1/left_encoder,JointState,1789394066202392078,,"{""position"":[0.0],""velocity"":[]}"
356,23015130165949,/autodrive/roboracer_1/right_encoder,JointState,1789394066202392078,,"{""position"":[0.0],""velocity"":[]}"
373,23015154970141,/autodrive/roboracer_1/left_encoder,JointState,1789394066227525438,,"{""position"":[0.0],""velocity"":[]}"
374,23015155094494,/autodrive/roboracer_1/right_encoder,JointState,1789394066227525438,,"{""position"":[0.0],""velocity"":[]}"
391,23015180106776,/autodrive/roboracer_1/left_encoder,JointState,1789394066252470053,,"{""position"":[0.0],""velocity"":[]}"
392,23015180263530,/autodrive/roboracer_1/right_encoder,JointState,1789394066252470053,,"{""position"":[0.0],""velocity"":[]}"
409,23015205846984,/autodrive/roboracer_1/left_encoder,JointState,1789394066277261580,,"{""position"":[0.0],""velocity"":[]}"
410,23015205955247,/autodrive/roboracer_1/right_encoder,JointState,1789394066277261580,,"{""position"":[0.0],""velocity"":[]}"
427,23015230988909,/autodrive/roboracer_1/left_encoder,JointState,1789394066303143925,,"{""position"":[0.0],""velocity"":[]}"
428,23015231159550,/autodrive/roboracer_1/right_encoder,JointState,1789394066303143925,,"{""position"":[0.0],""velocity"":[]}"
445,23015254976809,/autodrive/roboracer_1/left_encoder,JointState,1789394066328100783,,"{""position"":[0.0],""velocity"":[]}"
