event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
0,23007658364563,/amcl_particle_count,Int32,,,"{""value"":2500}"
1,23014454581247,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
2,23014454711180,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
3,23014456319439,/autodrive/roboracer_1/bridge_packet_timing,std_msgs/String,,0.0980000049,"{""applied_command_sequence"":3,""applied_steering_norm"":0.0,""applied_throttle_norm"":0.0,""bridge_arrival_monotonic_ns"":23014454222724,""commanded_steering_norm"":0.0,""commanded_throttle_norm"":0.0,""connection_generation"":2,""packet_sequence"":1,""request_monotonic_ns"":23014426258382,""request_sequence"":4,""schema_version"":2,""sent_reset"":""False"",""sent_steering_norm"":0.0,""sent_throttle_norm"":0.0,""simulation_frame"":283,""simulation_physics_step"":99,""simulation_render_frame"":283,""simulation_time_s"":0.0980000049,""simulator_angular_velocity_x"":0.0,""simulator_angular_velocity_y"":0.1011,""simulator_angular_velocity_z"":0.0,""simulator_encoder_angles_left"":0.0,""simulator_encoder_angles_right"":0.0,""simulator_feedback_steering_norm"":0.0,""simulator_feedback_throttle_norm"":0.0,""simulator_linear_acceleration_x"":-0.0339,""simulator_linear_acceleration_y"":0.0016,""simulator_linear_acceleration_z"":0.0753,""simulator_linear_velocity_x"":0.0071,""simulator_linear_velocity_y"":0.0,""simulator_linear_velocity_z"":-0.0187,""simulator_orientation_euler_x"":0.0,""simulator_orientation_euler_y"":0.0111,""simulator_orientation_euler_z"":4.7124,""simulator_orientation_quaternion_w"":0.7071,""simulator_orientation_quaternion_x"":0.0039,""simulator_orientation_quaternion_y"":0.0039,""simulator_orientation_quaternion_z"":-0.7071,""simulator_position_x"":0.8,""simulator_position_y"":3.1594,""simulator_position_z"":0.0596,""telemetry_sequence"":5}"
4,23014457092860,/autodrive/roboracer_1/imu,Imu,1789394065528014602,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.1011,""ax_mps2"":-0.0339,""ay_mps2"":0.0016,""az_mps2"":0.0753,""orientation_w"":0.7071,""orientation_x"":0.0039,""orientation_y"":0.0039,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
5,23014457329344,/autodrive/roboracer_1/left_encoder,JointState,1789394065528014602,,"{""position"":[0.0],""velocity"":[]}"
6,23014457464167,/autodrive/roboracer_1/right_encoder,JointState,1789394065528014602,,"{""position"":[0.0],""velocity"":[]}"
7,23014457741858,/odom,Odometry,1789394065528014602,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
8,23014458334561,/ekf_odom,Odometry,1789394065528014602,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
9,23014458541860,/cmd/speed,AckermannDriveStamped,1789394065558733203,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
10,23014459122529,/autodrive/roboracer_1/lidar,LaserScan,1789394065528014602,,"{""angle_increment_rad"":0.004363323096185923,""angle_min_rad"":-2.3561899662017822,""finite_range_count"":1031,""max_range_m"":9.809318542480469,""min_range_m"":0.8594179749488831,""range_count"":1081}"
11,23014459378099,/odom/diagnostics,Float64MultiArray,,,"{""data"":[4.0,1789394065.5280147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0339,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]}"
12,23014479746656,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
13,23014479911415,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
14,23014480446990,/autodrive/roboracer_1/bridge_packet_timing,std_msgs/String,,0.122000009,"{""applied_command_sequence"":4,""applied_steering_norm"":0.0,""applied_throttle_norm"":0.0,""bridge_arrival_monotonic_ns"":23014479401017,""commanded_steering_norm"":0.0,""commanded_throttle_norm"":0.0,""connection_generation"":2,""packet_sequence"":2,""request_monotonic_ns"":23014451036704,""request_sequence"":5,""schema_version"":2,""sent_reset"":""False"",""sent_steering_norm"":0.0,""sent_throttle_norm"":0.0,""simulation_frame"":403,""simulation_physics_step"":123,""simulation_render_frame"":403,""simulation_time_s"":0.122000009,""simulator_angular_velocity_x"":0.0,""simulator_angular_velocity_y"":0.0899,""simulator_angular_velocity_z"":0.0,""simulator_encoder_angles_left"":0.0,""simulator_encoder_angles_right"":0.0,""simulator_feedback_steering_norm"":0.0,""simulator_feedback_throttle_norm"":0.0,""simulator_linear_acceleration_x"":-0.0311,""simulator_linear_acceleration_y"":-0.0005,""simulator_linear_acceleration_z"":0.0958,""simulator_linear_velocity_x"":0.0064,""simulator_linear_velocity_y"":0.0,""simulator_linear_velocity_z"":-0.0165,""simulator_orientation_euler_x"":0.0,""simulator_orientation_euler_y"":0.0134,""simulator_orientation_euler_z"":4.7124,""simulator_orientation_quaternion_w"":0.7071,""simulator_orientation_quaternion_x"":0.0047,""simulator_orientation_quaternion_y"":0.0047,""simulator_orientation_quaternion_z"":-0.7071,""simulator_position_x"":0.8,""simulator_position_y"":3.1593,""simulator_position_z"":0.0595,""telemetry_sequence"":6}"
15,23014480737255,/autodrive/roboracer_1/imu,Imu,1789394065552788055,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0899,""ax_mps2"":-0.0311,""ay_mps2"":-0.0005,""az_mps2"":0.0958,""orientation_w"":0.7071,""orientation_x"":0.0047,""orientation_y"":0.0047,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
16,23014480913355,/autodrive/roboracer_1/left_encoder,JointState,1789394065552788055,,"{""position"":[0.0],""velocity"":[]}"
