run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
80_e5_source_time_contract_track_40hz_20260914,1,4,5,0.0980000049,99,283,0.8,3.1594,0.0596,0.0039,0.0039,-0.7071,0.7071,0.0,0.0111,4.7124,0.0071,0.0,-0.0187,0.0,0.1011,0.0,-0.0339,0.0016,0.0753,0.0,0.0
80_e5_source_time_contract_track_40hz_20260914,2,5,6,0.122000009,123,403,0.8,3.1593,0.0595,0.0047,0.0047,-0.7071,0.7071,0.0,0.0134,4.7124,0.0064,0.0,-0.0165,0.0,0.0899,0.0,-0.0311,-0.0005,0.0958,0.0,0.0
80_e5_source_time_contract_track_40hz_20260914,3,6,7,0.148,149,520,0.8001,3.1592,0.0595,0.0055,0.0055,-0.7071,0.7071,0.0001,0.0156,4.7124,0.0056,0.0,-0.0144,0.0,0.0791,0.0,-0.0276,-0.0002,0.0697,0.0,0.0
80_e5_source_time_contract_track_40hz_20260914,4,7,8,0.173000008,174,634,0.8001,3.1591,0.0594,0.0062,0.0062,-0.7071,0.7071,0.0,0.0174,4.7124,0.005,0.0,-0.0126,0.0,0.0699,0.0,-0.0234,0.0025,0.0444,0.0,0.0
80_e5_source_time_contract_track_40hz_20260914,5,8,9,0.198000014,199,743,0.8001,3.159,0.0594,0.0067,0.0067,-0.7071,0.7071,0.0,0.019,4.7124,0.0044,0.0,-0.0111,0.0,0.0617,0.0,-0.0219,0.0002,0.0627,0.0,0.0
80_e5_source_time_contract_track_40hz_20260914,6,9,10,0.222000018,223,843,0.8001,3.1589,0.0594,0.0072,0.0072,-0.7071,0.7071,0.0,0.0204,4.7124,0.004,0.0,-0.0098,-0.0001,0.0548,0.0,-0.0194,0.0002,0.0322,0.0,0.0
80_e5_source_time_contract_track_40hz_20260914,7,10,11,0.248000011,249,958,0.8001,3.1588,0.0593,0.0077,0.0077,-0.7071,0.7071,0.0,0.0218,4.7124,0.0035,0.0,-0.0086,0.0,0.0481,0.0,-0.0163,-0.0008,0.0256,0.0,0.0
80_e5_source_time_contract_track_40hz_20260914,8,11,12,0.273,274,1063,0.8001,3.1587,0.0593,0.0081,0.0081,-0.707,0.7071,0.0,0.0229,4.7124,0.0031,0.0,-0.0075,0.0,0.0425,0.0,-0.0146,-0.0011,0.0048,0.0,0.0
80_e5_source_time_contract_track_40hz_20260914,9,12,13,0.297000021,298,1173,0.8001,3.1587,0.0593,0.0084,0.0084,-0.707,0.7071,0.0,0.0239,4.7124,0.0027,0.0,-0.0067,0.0,0.0376,0.0,-0.0133,-0.0023,0.0317,0.0,0.0
80_e5_source_time_contract_track_40hz_20260914,10,13,14,0.323,324,1293,0.8001,3.1586,0.0593,0.0088,0.0088,-0.707,0.7071,0.0,0.0248,4.7124,0.0024,0.0,-0.0058,0.0,0.0331,0.0,-0.0131,0.0005,0.0274,0.0,0.0
80_e5_source_time_contract_track_40hz_20260914,11,14,15,0.347,348,1395,0.8001,3.1586,0.0593,0.009,0.009,-0.707,0.7071,0.0,0.0255,4.7124,0.0021,0.0,-0.0051,0.0,0.0293,0.0,-0.0142,-0.0011,0.0601,0.0,0.0
80_e5_source_time_contract_track_40hz_20260914,12,15,16,0.373000026,374,1517,0.8002,3.1586,0.0592,0.0093,0.0093,-0.707,0.7071,0.0,0.0262,4.7124,0.0019,0.0,-0.0045,0.0,0.0257,0.0,-0.0091,-0.0022,0.0174,0.0,0.0
80_e5_source_time_contract_track_40hz_20260914,13,16,17,0.397,398,1626,0.8002,3.1585,0.0592,0.0095,0.0095,-0.707,0.7071,0.0,0.0268,4.7124,0.0017,0.0,-0.0039,0.0,0.0228,0.0,-0.0088,-0.0017,0.0203,0.0,0.0
80_e5_source_time_contract_track_40hz_20260914,14,17,18,0.422000021,423,1739,0.8002,3.1585,0.0592,0.0097,0.0097,-0.707,0.707,0.0,0.0274,4.7124,0.0015,0.0,-0.0034,0.0,0.0201,0.0,-0.0092,-0.0002,0.0483,0.0,0.0
80_e5_source_time_contract_track_40hz_20260914,15,18,19,0.447000027,448,1854,0.8002,3.1585,0.0592,0.0098,0.0098,-0.707,0.707,0.0,0.0278,4.7124,0.0013,0.0,-0.0031,0.0,0.0178,0.0,-0.005,0.0001,0.0184,0.0,0.0
80_e5_source_time_contract_track_40hz_20260914,16,19,20,0.472000033,473,1949,0.8002,3.1585,0.0592,0.01,0.01,-0.707,0.707,0.0,0.0282,4.7124,0.0012,0.0,-0.0027,0.0,0.0157,0.0,-0.0064,0.0,0.032,0.0,0.0
80_e5_source_time_contract_track_40hz_20260914,17,20,21,0.498000026,499,2051,0.8002,3.1584,0.0592,0.0101,0.0101,-0.707,0.707,0.0,0.0286,4.7124,0.001,0.0,-0.0023,0.0,0.0137,0.0,-0.0042,0.0,0.0112,0.0,0.0
80_e5_source_time_contract_track_40hz_20260914,18,21,22,0.523,524,2171,0.8002,3.1584,0.0592,0.0102,0.0102,-0.707,0.707,0.0,0.0289,4.7124,0.0009,0.0,-0.0021,0.0,0.0121,0.0,-0.006,-0.0018,0.0299,0.0,0.0
80_e5_source_time_contract_track_40hz_20260914,19,22,23,0.548000038,549,2280,0.8002,3.1584,0.0592,0.0103,0.0103,-0.707,0.707,0.0,0.0292,4.7124,0.0008,0.0,-0.0019,0.0,0.0107,0.0,-0.0058,-0.001,0.0169,0.0,0.0
