event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
5,23430111450157,/autodrive/roboracer_1/left_encoder,JointState,1789394481206646859,,"{""position"":[0.0],""velocity"":[]}"
6,23430111657087,/autodrive/roboracer_1/right_encoder,JointState,1789394481206646859,,"{""position"":[0.0],""velocity"":[]}"
16,23430135699930,/autodrive/roboracer_1/left_encoder,JointState,1789394481231646872,,"{""position"":[0.0],""velocity"":[]}"
17,23430135808896,/autodrive/roboracer_1/right_encoder,JointState,1789394481231646872,,"{""position"":[0.0],""velocity"":[]}"
27,23430160711058,/autodrive/roboracer_1/left_encoder,JointState,1789394481257646859,,"{""position"":[0.0],""velocity"":[]}"
28,23430160893973,/autodrive/roboracer_1/right_encoder,JointState,1789394481257646859,,"{""position"":[0.0],""velocity"":[]}"
38,23430185454923,/autodrive/roboracer_1/left_encoder,JointState,1789394481282646871,,"{""position"":[0.0],""velocity"":[]}"
39,23430185671851,/autodrive/roboracer_1/right_encoder,JointState,1789394481282646871,,"{""position"":[0.0],""velocity"":[]}"
49,23430210442336,/autodrive/roboracer_1/left_encoder,JointState,1789394481306646875,,"{""position"":[0.0],""velocity"":[]}"
50,23430210592969,/autodrive/roboracer_1/right_encoder,JointState,1789394481306646875,,"{""position"":[0.0],""velocity"":[]}"
60,23430235561026,/autodrive/roboracer_1/left_encoder,JointState,1789394481331646859,,"{""position"":[0.0],""velocity"":[]}"
61,23430235711740,/autodrive/roboracer_1/right_encoder,JointState,1789394481331646859,,"{""position"":[0.0],""velocity"":[]}"
71,23430260387326,/autodrive/roboracer_1/left_encoder,JointState,1789394481357646859,,"{""position"":[0.0],""velocity"":[]}"
72,23430260548379,/autodrive/roboracer_1/right_encoder,JointState,1789394481357646859,,"{""position"":[0.0],""velocity"":[]}"
82,23430285253030,/autodrive/roboracer_1/left_encoder,JointState,1789394481382646859,,"{""position"":[0.0],""velocity"":[]}"
83,23430285401920,/autodrive/roboracer_1/right_encoder,JointState,1789394481382646859,,"{""position"":[0.0],""velocity"":[]}"
93,23430311382003,/autodrive/roboracer_1/left_encoder,JointState,1789394481406646884,,"{""position"":[0.0],""velocity"":[]}"
94,23430311578864,/autodrive/roboracer_1/right_encoder,JointState,1789394481406646884,,"{""position"":[0.0],""velocity"":[]}"
104,23430335572275,/autodrive/roboracer_1/left_encoder,JointState,1789394481432646877,,"{""position"":[0.0],""velocity"":[]}"
105,23430335748417,/autodrive/roboracer_1/right_encoder,JointState,1789394481432646877,,"{""position"":[0.0],""velocity"":[]}"
115,23430360550711,/autodrive/roboracer_1/left_encoder,JointState,1789394481457646883,,"{""position"":[0.0],""velocity"":[]}"
116,23430360706575,/autodrive/roboracer_1/right_encoder,JointState,1789394481457646883,,"{""position"":[0.0],""velocity"":[]}"
126,23430385733512,/autodrive/roboracer_1/left_encoder,JointState,1789394481481646859,,"{""position"":[0.0],""velocity"":[]}"
127,23430385917178,/autodrive/roboracer_1/right_encoder,JointState,1789394481481646859,,"{""position"":[0.0],""velocity"":[]}"
137,23430410775759,/autodrive/roboracer_1/left_encoder,JointState,1789394481507646859,,"{""position"":[0.0],""velocity"":[]}"
138,23430410962941,/autodrive/roboracer_1/right_encoder,JointState,1789394481507646859,,"{""position"":[0.0],""velocity"":[]}"
