event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
0,23425164679823,/amcl_particle_count,Int32,,,"{""value"":2500}"
1,23430108785256,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
2,23430108993539,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
3,23430110464069,/autodrive/roboracer_1/bridge_packet_timing,std_msgs/String,,0.136,"{""applied_command_sequence"":5,""applied_steering_norm"":0.0,""applied_throttle_norm"":0.0,""bridge_arrival_monotonic_ns"":23430108353864,""commanded_steering_norm"":0.0,""commanded_throttle_norm"":0.0,""connection_generation"":2,""packet_sequence"":1,""request_monotonic_ns"":23430104875040,""request_sequence"":7,""schema_version"":2,""sent_reset"":""False"",""sent_steering_norm"":0.0,""sent_throttle_norm"":0.0,""simulation_frame"":481,""simulation_physics_step"":137,""simulation_render_frame"":481,""simulation_time_s"":0.136,""simulator_angular_velocity_x"":0.0,""simulator_angular_velocity_y"":0.0839,""simulator_angular_velocity_z"":0.0,""simulator_encoder_angles_left"":0.0,""simulator_encoder_angles_right"":0.0,""simulator_feedback_steering_norm"":0.0,""simulator_feedback_throttle_norm"":0.0,""simulator_linear_acceleration_x"":-0.0282,""simulator_linear_acceleration_y"":0.0001,""simulator_linear_acceleration_z"":0.0578,""simulator_linear_velocity_x"":0.006,""simulator_linear_velocity_y"":0.0,""simulator_linear_velocity_z"":-0.0153,""simulator_orientation_euler_x"":0.0,""simulator_orientation_euler_y"":0.0146,""simulator_orientation_euler_z"":4.7124,""simulator_orientation_quaternion_w"":0.7071,""simulator_orientation_quaternion_x"":0.0052,""simulator_orientation_quaternion_y"":0.0052,""simulator_orientation_quaternion_z"":-0.7071,""simulator_position_x"":0.8001,""simulator_position_y"":3.1592,""simulator_position_z"":0.0595,""telemetry_sequence"":7}"
4,23430111146605,/autodrive/roboracer_1/imu,Imu,1789394481206646859,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0839,""ax_mps2"":-0.0282,""ay_mps2"":0.0001,""az_mps2"":0.0578,""orientation_w"":0.7071,""orientation_x"":0.0052,""orientation_y"":0.0052,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
5,23430111450157,/autodrive/roboracer_1/left_encoder,JointState,1789394481206646859,,"{""position"":[0.0],""velocity"":[]}"
6,23430111657087,/autodrive/roboracer_1/right_encoder,JointState,1789394481206646859,,"{""position"":[0.0],""velocity"":[]}"
7,23430112584384,/odom,Odometry,1789394481206646859,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
8,23430112929464,/ekf_odom,Odometry,1789394481206646859,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
9,23430113168073,/cmd/speed,AckermannDriveStamped,1789394481212862619,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
10,23430113419166,/odom/diagnostics,Float64MultiArray,,,"{""data"":[4.0,1789394481.206647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0282,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]}"
11,23430114447313,/autodrive/roboracer_1/lidar,LaserScan,1789394481206646859,,"{""angle_increment_rad"":0.004363323096185923,""angle_min_rad"":-2.3561899662017822,""finite_range_count"":1031,""max_range_m"":9.807884216308594,""min_range_m"":0.8594632744789124,""range_count"":1081}"
12,23430134420109,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
13,23430134603144,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
14,23430135232329,/autodrive/roboracer_1/bridge_packet_timing,std_msgs/String,,0.161000013,"{""applied_command_sequence"":6,""applied_steering_norm"":0.0,""applied_throttle_norm"":0.0,""bridge_arrival_monotonic_ns"":23430134108552,""commanded_steering_norm"":0.0,""commanded_throttle_norm"":0.0,""connection_generation"":2,""packet_sequence"":2,""request_monotonic_ns"":23430130564225,""request_sequence"":8,""schema_version"":2,""sent_reset"":""False"",""sent_steering_norm"":0.0,""sent_throttle_norm"":0.0,""simulation_frame"":616,""simulation_physics_step"":162,""simulation_render_frame"":616,""simulation_time_s"":0.161000013,""simulator_angular_velocity_x"":0.0,""simulator_angular_velocity_y"":0.0742,""simulator_angular_velocity_z"":0.0,""simulator_encoder_angles_left"":0.0,""simulator_encoder_angles_right"":0.0,""simulator_feedback_steering_norm"":0.0,""simulator_feedback_throttle_norm"":0.0,""simulator_linear_acceleration_x"":-0.0269,""simulator_linear_acceleration_y"":0.0004,""simulator_linear_acceleration_z"":0.0671,""simulator_linear_velocity_x"":0.0053,""simulator_linear_velocity_y"":0.0,""simulator_linear_velocity_z"":-0.0135,""simulator_orientation_euler_x"":0.0,""simulator_orientation_euler_y"":0.0165,""simulator_orientation_euler_z"":4.7124,""simulator_orientation_quaternion_w"":0.7071,""simulator_orientation_quaternion_x"":0.0059,""simulator_orientation_quaternion_y"":0.0059,""simulator_orientation_quaternion_z"":-0.7071,""simulator_position_x"":0.8001,""simulator_position_y"":3.1591,""simulator_position_z"":0.0595,""telemetry_sequence"":8}"
15,23430135528567,/autodrive/roboracer_1/imu,Imu,1789394481231646872,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0742,""ax_mps2"":-0.0269,""ay_mps2"":0.0004,""az_mps2"":0.0671,""orientation_w"":0.7071,""orientation_x"":0.0059,""orientation_y"":0.0059,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
16,23430135699930,/autodrive/roboracer_1/left_encoder,JointState,1789394481231646872,,"{""position"":[0.0],""velocity"":[]}"
17,23430135808896,/autodrive/roboracer_1/right_encoder,JointState,1789394481231646872,,"{""position"":[0.0],""velocity"":[]}"
18,23430136055290,/odom,Odometry,1789394481231646872,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-1.5541922479656023e-05,""yaw_rate_radps"":0.0}"
19,23430136285413,/ekf_odom,Odometry,1789394481231646872,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-1.554192247965603e-05,""yaw_rate_radps"":0.0}"
20,23430136420057,/cmd/speed,AckermannDriveStamped,1789394481236720715,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
21,23430136555151,/odom/diagnostics,Float64MultiArray,,,"{""data"":[4.0,1789394481.231647,0.02500009536743164,0.0,0.0,0.0,0.0,0.0,0.0,-0.0269,0.0004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5541922479656023e-05,0.0,0.0,0.0,-1.5541922479656023e-05,0.0,0.0]}"
22,23430137261212,/autodrive/roboracer_1/lidar,LaserScan,1789394481231646872,,"{""angle_increment_rad"":0.004363323096185923,""angle_min_rad"":-2.3561899662017822,""finite_range_count"":1031,""max_range_m"":9.807183265686035,""min_range_m"":0.8594831824302673,""range_count"":1081}"
23,23430159082630,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
24,23430159309929,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
25,23430160073968,/autodrive/roboracer_1/bridge_packet_timing,std_msgs/String,,0.187,"{""applied_command_sequence"":7,""applied_steering_norm"":0.0,""applied_throttle_norm"":0.0,""bridge_arrival_monotonic_ns"":23430158700781,""commanded_steering_norm"":0.0,""commanded_throttle_norm"":0.0,""connection_generation"":2,""packet_sequence"":3,""request_monotonic_ns"":23430155460246,""request_sequence"":9,""schema_version"":2,""sent_reset"":""False"",""sent_steering_norm"":0.0,""sent_throttle_norm"":0.0,""simulation_frame"":739,""simulation_physics_step"":188,""simulation_render_frame"":739,""simulation_time_s"":0.187,""simulator_angular_velocity_x"":0.0,""simulator_angular_velocity_y"":0.0652,""simulator_angular_velocity_z"":0.0,""simulator_encoder_angles_left"":0.0,""simulator_encoder_angles_right"":0.0,""simulator_feedback_steering_norm"":0.0,""simulator_feedback_throttle_norm"":0.0,""simulator_linear_acceleration_x"":-0.0244,""simulator_linear_acceleration_y"":0.0006,""simulator_linear_acceleration_z"":0.0545,""simulator_linear_velocity_x"":0.0047,""simulator_linear_velocity_y"":0.0,""simulator_linear_velocity_z"":-0.0118,""simulator_orientation_euler_x"":0.0,""simulator_orientation_euler_y"":0.0184,""simulator_orientation_euler_z"":4.7124,""simulator_orientation_quaternion_w"":0.7071,""simulator_orientation_quaternion_x"":0.0065,""simulator_orientation_quaternion_y"":0.0065,""simulator_orientation_quaternion_z"":-0.7071,""simulator_position_x"":0.8001,""simulator_position_y"":3.159,""simulator_position_z"":0.0594,""telemetry_sequence"":9}"
26,23430160455196,/autodrive/roboracer_1/imu,Imu,1789394481257646859,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0652,""ax_mps2"":-0.0244,""ay_mps2"":0.0006,""az_mps2"":0.0545,""orientation_w"":0.7071,""orientation_x"":0.0065,""orientation_y"":0.0065,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
