event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
1,23824903353063,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
2,23824903544541,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
12,23824927888586,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
13,23824928104360,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
23,23824952693022,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
24,23824952851779,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
34,23824977807368,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
35,23824977966256,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
45,23825002986816,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
46,23825003197130,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
56,23825028033145,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
57,23825028190089,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
67,23825053354709,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
68,23825053536449,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
78,23825078643993,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
79,23825078846221,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
89,23825103666257,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
90,23825103820555,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
100,23825127726580,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
101,23825127931654,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
111,23825152625273,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
116,23825153776347,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
122,23825178625737,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
123,23825178764367,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
133,23825203275915,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
134,23825203490296,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
144,23825228412122,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
145,23825228607448,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
155,23825253300064,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
156,23825253499878,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
166,23825278412968,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
167,23825278554493,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
177,23825303673377,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
178,23825303824841,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
188,23825327987506,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
189,23825328235240,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
199,23825352687406,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
200,23825352838870,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
210,23825377884718,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
211,23825378076016,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
221,23825403082600,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
222,23825403233623,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
232,23825428308255,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
233,23825428483513,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
243,23825453430305,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
244,23825453585586,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
254,23825477595896,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
255,23825477797824,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
265,23825503359177,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
266,23825503527231,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
276,23825528329273,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
277,23825528485596,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
287,23825553287457,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
288,23825553428120,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
298,23825577991455,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
299,23825578185358,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
321,23825602855643,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
325,23825603793979,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
369,23825627935004,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
370,23825627996609,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
391,23825652388804,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
396,23825653536201,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
409,23825678090229,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
410,23825678268001,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
427,23825702690533,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
428,23825702841315,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
445,23825728172216,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
446,23825728321666,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
463,23825752953309,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
468,23825754216704,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
481,23825777536391,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
482,23825777716768,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
499,23825803216756,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
500,23825803371316,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
517,23825827903763,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.003100000089034438}"
518,23825828087126,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
535,23825852603773,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.003000000026077032}"
540,23825853721135,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
553,23825878507657,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
554,23825878684769,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.006000000052154064}"
571,23825903017041,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
572,23825903164006,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.008999999612569809}"
589,23825927768840,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07169999927282333}"
590,23825927922077,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.012000000104308128}"
607,23825952369575,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.014999999664723873}"
611,23825953292904,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.05389999970793724}"
625,23825978186608,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.05339999869465828}"
626,23825978332100,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.017999999225139618}"
