simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,applied_command_sequence_k1,commanded_throttle_norm_k1,commanded_steering_norm_k1,applied_throttle_norm_k1,applied_steering_rad_k1,simulator_feedback_steering_rad_k1,wheel_speed_mps_k1,encoder_left_rad_k1,encoder_right_rad_k1,reset_epoch,segment_id,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps
0.120000005,0.145000011,121.0,146.0,25.0,0.025000006000000005,0.8001,3.1593,-1.5707963267948966,0.0065,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001,3.1592,-1.5707963267948966,0.0058,0.0,0.0
0.145000011,0.17,146.0,171.0,25.0,0.024999989,0.8001,3.1592,-1.5707963267948966,0.0058,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001,3.1591,-1.5707963267948966,0.0051,0.0,0.0
0.17,0.19600001,171.0,197.0,26.0,0.02600000999999999,0.8001,3.1591,-1.5707963267948966,0.0051,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001,3.159,-1.5707963267948966,0.0045,0.0,0.0
0.19600001,0.221000016,197.0,222.0,25.0,0.02500000599999999,0.8001,3.159,-1.5707963267948966,0.0045,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001,3.1589,-1.5707963267948966,0.004,0.0,0.0
0.221000016,0.246,222.0,247.0,25.0,0.024999984000000003,0.8001,3.1589,-1.5707963267948966,0.004,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001,3.1588,-1.5707963267948966,0.0035,0.0,0.0
0.246,0.271000028,247.0,272.0,25.0,0.025000028000000007,0.8001,3.1588,-1.5707963267948966,0.0035,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001,3.1587,-1.5707963267948966,0.0031,0.0,0.0
0.271000028,0.296,272.0,297.0,25.0,0.02499997199999998,0.8001,3.1587,-1.5707963267948966,0.0031,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001,3.1587,-1.5707963267948966,0.0028,0.0,0.0
0.296,0.321,297.0,322.0,25.0,0.025000000000000022,0.8001,3.1587,-1.5707963267948966,0.0028,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001,3.1586,-1.5706548726649805,0.0025,0.0,0.0
0.321,0.345000029,322.0,346.0,24.0,0.02400002899999998,0.8001,3.1586,-1.5706548726649805,0.0025,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001,3.1586,-1.5706548711622528,0.0022,0.0,0.0
0.345000029,0.37,346.0,371.0,25.0,0.02499997100000001,0.8001,3.1586,-1.5706548711622528,0.0022,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001,3.1586,-1.570654870132116,0.0019,0.0,0.0
0.37,0.396000028,371.0,397.0,26.0,0.02600002800000001,0.8001,3.1586,-1.570654870132116,0.0019,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001,3.1585,-1.5706548685444313,0.0017,0.0,0.0
0.396000028,0.421000034,397.0,422.0,25.0,0.02500000600000002,0.8001,3.1585,-1.5706548685444313,0.0017,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001,3.1585,-1.5707963267948966,0.0015,0.0,0.0
0.421000034,0.446,422.0,447.0,25.0,0.024999965999999985,0.8001,3.1585,-1.5707963267948966,0.0015,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1585,-1.5707963267948966,0.0013,0.0,0.0
0.446,0.471000016,447.0,472.0,25.0,0.025000016000000014,0.8002,3.1585,-1.5707963267948966,0.0013,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1584,-1.5707963267948966,0.0012,0.0,0.0
0.471000016,0.496000022,472.0,497.0,25.0,0.025000005999999964,0.8002,3.1584,-1.5707963267948966,0.0012,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1584,-1.5707963267948966,0.001,0.0,0.0
0.496000022,0.520000041,497.0,521.0,24.0,0.024000018999999984,0.8002,3.1584,-1.5707963267948966,0.001,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1584,-1.5707963267948966,0.0009,0.0,0.0
0.520000041,0.546,521.0,547.0,26.0,0.025999959000000072,0.8002,3.1584,-1.5707963267948966,0.0009,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1584,-1.5707963267948966,0.0008,0.0,0.0
0.546,0.57100004,547.0,572.0,25.0,0.02500004,0.8002,3.1584,-1.5707963267948966,0.0008,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1584,-1.5707963267948966,0.0007,0.0,0.0
0.57100004,0.596,572.0,597.0,25.0,0.024999959999999932,0.8002,3.1584,-1.5707963267948966,0.0007,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1584,-1.5707963267948966,0.0006,0.0,0.0
0.596,0.621000051,597.0,622.0,25.0,0.025000051000000023,0.8002,3.1584,-1.5707963267948966,0.0006,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1584,-1.5707963267948966,0.0006,0.0,0.0
0.621000051,0.645000041,622.0,646.0,24.0,0.02399998999999997,0.8002,3.1584,-1.5707963267948966,0.0006,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1583,-1.5707963267948966,0.0005,0.0,0.0
0.645000041,0.671,646.0,672.0,26.0,0.025999959000000072,0.8002,3.1583,-1.5707963267948966,0.0005,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1583,-1.5707963267948966,0.0004,0.0,0.0
0.671,0.69600004,672.0,697.0,25.0,0.02500004,0.8002,3.1583,-1.5707963267948966,0.0004,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1583,-1.5707963267948966,0.0004,0.0,0.0
0.69600004,0.721,697.0,722.0,25.0,0.024999959999999932,0.8002,3.1583,-1.5707963267948966,0.0004,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1583,-1.570796326794897,0.0003,0.0,0.0
0.721,0.746000051,722.0,747.0,25.0,0.025000051000000023,0.8002,3.1583,-1.570796326794897,0.0003,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8003,3.1583,-1.570796326794897,0.0003,0.0,0.0
0.746000051,0.770000041,747.0,771.0,24.0,0.02399998999999997,0.8003,3.1583,-1.570796326794897,0.0003,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8003,3.1583,-1.570796326794897,0.0003,0.0,0.0
0.770000041,0.794,771.0,795.0,24.0,0.02399995900000007,0.8003,3.1583,-1.570796326794897,0.0003,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8003,3.1583,-1.570796326794897,0.0002,0.0,0.0
0.794,0.820000052,795.0,821.0,26.0,0.026000051999999996,0.8003,3.1583,-1.570796326794897,0.0002,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8003,3.1583,-1.570796326794897,0.0002,0.0,0.0
0.820000052,0.846,821.0,847.0,26.0,0.02599994799999994,0.8003,3.1583,-1.570796326794897,0.0002,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8003,3.1583,-1.570796326794897,0.0002,0.0,0.0
0.846,0.870000064,847.0,871.0,24.0,0.024000063999999988,0.8003,3.1583,-1.570796326794897,0.0002,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8003,3.1583,-1.570796326794897,0.0002,0.0,0.0
0.870000064,0.895000041,871.0,896.0,25.0,0.024999977000000007,0.8003,3.1583,-1.570796326794897,0.0002,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8003,3.1583,-1.570796326794897,0.0001,0.0,0.0
0.895000041,0.921000063,896.0,922.0,26.0,0.026000022000000067,0.8003,3.1583,-1.570796326794897,0.0001,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8003,3.1583,-1.570796326794897,0.0001,0.0,0.0
0.921000063,0.945000052,922.0,946.0,24.0,0.023999989,0.8003,3.1583,-1.570796326794897,0.0001,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8003,3.1583,-1.570796326794897,0.0001,0.0,0.0
0.945000052,0.9710001,946.0,972.0,26.0,0.026000047999999998,0.8003,3.1583,-1.570796326794897,0.0001,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8003,3.1583,-1.570796326794897,0.0001,0.0,0.0
0.9710001,0.995000064,972.0,996.0,24.0,0.02399996399999993,0.8003,3.1583,-1.570796326794897,0.0001,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8004,3.1583,-1.570796326794897,0.0001,0.0,0.0
0.995000064,1.021,996.0,1022.0,26.0,0.025999935999999946,0.8004,3.1583,-1.570796326794897,0.0001,0.0,0.0,40.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8004,3.1583,-1.570796326794897,0.0001,0.0,0.0
