run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
88_e8_open_scene_transport_repeat_20260914,1,4,5,0.07300001,74,184,0.8008,3.1601,0.1338,0.0,0.0,-0.7071,0.7071,0.0,0.0,4.7124,0.0,0.0,-0.7089,0.0,0.0,0.0,0.0,0.0,-9.6164,0.0,0.0
88_e8_open_scene_transport_repeat_20260914,2,5,6,0.09900001,100,319,0.8025,3.1604,0.1124,0.0,0.0,-0.7071,0.7071,0.0,0.0,4.7124,0.0,0.0,-0.9581,0.0,0.0,0.0,0.0,0.0,-9.5484,0.0,0.0
88_e8_open_scene_transport_repeat_20260914,3,6,7,0.124000005,125,426,0.8045,3.1607,0.0857,0.0,0.0,-0.7071,0.7071,0.0,0.0,4.7124,0.0,0.0,-1.1959,0.0,0.0,0.0,0.0,0.0,-9.4835,0.0,0.0
88_e8_open_scene_transport_repeat_20260914,4,7,8,0.149,150,537,0.8046,3.1594,0.0724,0.0081,0.0082,-0.7071,0.7071,0.0029,0.0231,4.7124,0.0326,0.0001,-0.2214,-0.0015,0.3831,0.0,-3.2055,-0.01,17.7822,0.0,0.0
88_e8_open_scene_transport_repeat_20260914,5,8,9,0.173000008,174,640,0.8046,3.1592,0.0701,0.0094,0.0095,-0.707,0.707,0.0035,0.0267,4.7124,0.0057,0.0,-0.072,0.0,0.0528,0.0,-0.2884,-0.0032,1.6048,0.0,0.0
88_e8_open_scene_transport_repeat_20260914,6,9,10,0.199000016,200,749,0.8046,3.1592,0.0687,0.0097,0.0097,-0.707,0.707,0.0033,0.0275,4.7124,0.0029,0.0,-0.0536,0.0002,0.0211,0.0,-0.034,0.0007,0.3465,0.0,0.0
88_e8_open_scene_transport_repeat_20260914,7,10,11,0.223,224,845,0.8046,3.1591,0.0676,0.0099,0.0099,-0.707,0.707,0.0029,0.0279,4.7124,0.0025,0.0,-0.0467,0.0003,0.0169,0.0,-0.0153,-0.0006,0.2509,0.0,0.0
88_e8_open_scene_transport_repeat_20260914,8,11,12,0.249000013,250,951,0.8046,3.1591,0.0665,0.01,0.01,-0.707,0.707,0.0026,0.0283,4.7124,0.0022,0.0,-0.0407,0.0002,0.0147,0.0,-0.0095,-0.0009,0.1933,0.0,0.0
88_e8_open_scene_transport_repeat_20260914,9,12,13,0.274000019,275,1035,0.8046,3.1591,0.0656,0.0101,0.0102,-0.707,0.707,0.0023,0.0287,4.7124,0.0019,0.0,-0.0358,0.0002,0.013,0.0,-0.0097,0.0002,0.1882,0.0,0.0
88_e8_open_scene_transport_repeat_20260914,10,13,14,0.298,299,1133,0.8046,3.1591,0.0648,0.0102,0.0103,-0.707,0.707,0.0021,0.029,4.7124,0.0017,0.0,-0.0316,0.0002,0.0116,0.0,-0.009,-0.0005,0.1785,0.0,0.0
88_e8_open_scene_transport_repeat_20260914,11,14,15,0.323,324,1238,0.8046,3.1591,0.0642,0.0103,0.0103,-0.707,0.707,0.0019,0.0292,4.7124,0.0015,0.0,-0.0278,0.0002,0.0103,0.0,-0.0062,-0.0019,0.1275,0.0,0.0
88_e8_open_scene_transport_repeat_20260914,12,15,16,0.349,350,1349,0.8046,3.1591,0.0635,0.0104,0.0104,-0.707,0.707,0.0016,0.0295,4.7124,0.0013,0.0,-0.0242,0.0001,0.0091,0.0,-0.0069,0.0006,0.121,0.0,0.0
88_e8_open_scene_transport_repeat_20260914,13,16,17,0.374,375,1456,0.8046,3.1591,0.063,0.0105,0.0105,-0.707,0.707,0.0015,0.0297,4.7124,0.0012,0.0,-0.0213,0.0001,0.008,0.0,-0.0069,-0.0008,0.1125,0.0,0.0
