run_id,event_index,request_sequence,request_monotonic_ns,packet_sequence,associated_packet_sequence,response_received,bridge_arrival_monotonic_ns,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,sent_throttle_norm,sent_steering_norm,sent_reset,commanded_throttle_norm,commanded_steering_norm,applied_command_sequence,applied_throttle_norm,applied_steering_norm,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_encoder_angles_left,simulator_encoder_angles_right,simulator_feedback_steering_norm,simulator_feedback_throttle_norm,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_orientation_quaternion_w,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_position_x,simulator_position_y,simulator_position_z
88_e8_open_scene_transport_repeat_20260914,661,4,26987659784295,1,1,True,26987661836350,5,0.07300001,74,184,0.0,0.0,False,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.6164,0.0,0.0,-0.7089,0.0,0.0,4.7124,0.7071,0.0,0.0,-0.7071,0.8008,3.1601,0.1338
88_e8_open_scene_transport_repeat_20260914,669,5,26987685117493,2,2,True,26987688872138,6,0.09900001,100,319,0.0,0.0,False,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5484,0.0,0.0,-0.9581,0.0,0.0,4.7124,0.7071,0.0,0.0,-0.7071,0.8025,3.1604,0.1124
88_e8_open_scene_transport_repeat_20260914,678,6,26987710099704,3,3,True,26987714306817,7,0.124000005,125,426,0.0,0.0,False,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.4835,0.0,0.0,-1.1959,0.0,0.0,4.7124,0.7071,0.0,0.0,-0.7071,0.8045,3.1607,0.0857
88_e8_open_scene_transport_repeat_20260914,688,7,26987735044985,4,4,True,26987739253440,8,0.149,150,537,0.0,0.0,False,0.0,0.0,6,0.0,0.0,-0.0015,0.3831,0.0,0.0,0.0,0.0,0.0,-3.2055,-0.01,17.7822,0.0326,0.0001,-0.2214,0.0029,0.0231,4.7124,0.7071,0.0081,0.0082,-0.7071,0.8046,3.1594,0.0724
88_e8_open_scene_transport_repeat_20260914,697,8,26987759396654,5,5,True,26987761927265,9,0.173000008,174,640,0.0,0.0,False,0.0,0.0,7,0.0,0.0,0.0,0.0528,0.0,0.0,0.0,0.0,0.0,-0.2884,-0.0032,1.6048,0.0057,0.0,-0.072,0.0035,0.0267,4.7124,0.707,0.0094,0.0095,-0.707,0.8046,3.1592,0.0701
88_e8_open_scene_transport_repeat_20260914,706,9,26987785054991,6,6,True,26987789127552,10,0.199000016,200,749,0.0,0.0,False,0.0,0.0,8,0.0,0.0,0.0002,0.0211,0.0,0.0,0.0,0.0,0.0,-0.034,0.0007,0.3465,0.0029,0.0,-0.0536,0.0033,0.0275,4.7124,0.707,0.0097,0.0097,-0.707,0.8046,3.1592,0.0687
88_e8_open_scene_transport_repeat_20260914,715,10,26987809336889,7,7,True,26987811740904,11,0.223,224,845,0.0,0.0,False,0.0,0.0,9,0.0,0.0,0.0003,0.0169,0.0,0.0,0.0,0.0,0.0,-0.0153,-0.0006,0.2509,0.0025,0.0,-0.0467,0.0029,0.0279,4.7124,0.707,0.0099,0.0099,-0.707,0.8046,3.1591,0.0676
88_e8_open_scene_transport_repeat_20260914,723,11,26987835080737,8,8,True,26987838844249,12,0.249000013,250,951,0.0,0.0,False,0.0,0.0,10,0.0,0.0,0.0002,0.0147,0.0,0.0,0.0,0.0,0.0,-0.0095,-0.0009,0.1933,0.0022,0.0,-0.0407,0.0026,0.0283,4.7124,0.707,0.01,0.01,-0.707,0.8046,3.1591,0.0665
88_e8_open_scene_transport_repeat_20260914,733,12,26987860027450,9,9,True,26987864222150,13,0.274000019,275,1035,0.0,0.0,False,0.0,0.0,11,0.0,0.0,0.0002,0.013,0.0,0.0,0.0,0.0,0.0,-0.0097,0.0002,0.1882,0.0019,0.0,-0.0358,0.0023,0.0287,4.7124,0.707,0.0101,0.0102,-0.707,0.8046,3.1591,0.0656
88_e8_open_scene_transport_repeat_20260914,742,13,26987884296565,10,10,True,26987886659833,14,0.298,299,1133,0.0,0.0,False,0.0,0.0,12,0.0,0.0,0.0002,0.0116,0.0,0.0,0.0,0.0,0.0,-0.009,-0.0005,0.1785,0.0017,0.0,-0.0316,0.0021,0.029,4.7124,0.707,0.0102,0.0103,-0.707,0.8046,3.1591,0.0648
88_e8_open_scene_transport_repeat_20260914,750,14,26987909866216,11,11,True,26987911682399,15,0.323,324,1238,0.0,0.0,False,0.0,0.0,13,0.0,0.0,0.0002,0.0103,0.0,0.0,0.0,0.0,0.0,-0.0062,-0.0019,0.1275,0.0015,0.0,-0.0278,0.0019,0.0292,4.7124,0.707,0.0103,0.0103,-0.707,0.8046,3.1591,0.0642
88_e8_open_scene_transport_repeat_20260914,760,15,26987935288211,12,12,True,26987938726894,16,0.349,350,1349,0.0,0.0,False,0.0,0.0,14,0.0,0.0,0.0001,0.0091,0.0,0.0,0.0,0.0,0.0,-0.0069,0.0006,0.121,0.0013,0.0,-0.0242,0.0016,0.0295,4.7124,0.707,0.0104,0.0104,-0.707,0.8046,3.1591,0.0635
88_e8_open_scene_transport_repeat_20260914,769,16,26987959997159,13,13,True,26987964395491,17,0.374,375,1456,0.0,0.0,False,0.0,0.0,15,0.0,0.0,0.0001,0.008,0.0,0.0,0.0,0.0,0.0,-0.0069,-0.0008,0.1125,0.0012,0.0,-0.0213,0.0015,0.0297,4.7124,0.707,0.0105,0.0105,-0.707,0.8046,3.1591,0.063
88_e8_open_scene_transport_repeat_20260914,778,17,26987984378805,14,14,True,26987986544933,18,0.398000032,399,1557,0.0,0.0,False,0.0,0.0,16,0.0,0.0,0.0001,0.0072,0.0,0.0,0.0,0.0,0.0,-0.0058,0.0015,0.1073,0.0011,0.0,-0.0188,0.0013,0.0299,4.7124,0.707,0.0106,0.0106,-0.707,0.8047,3.159,0.0625
88_e8_open_scene_transport_repeat_20260914,787,18,26988009435064,15,15,True,26988011624457,19,0.423,424,1661,0.0,0.0,False,0.0,0.0,17,0.0,0.0,0.0001,0.0064,0.0,0.0,0.0,0.0,0.0,-0.0036,-0.0003,0.0838,0.0009,0.0,-0.0166,0.0012,0.0301,4.7124,0.707,0.0106,0.0106,-0.707,0.8047,3.159,0.0621
88_e8_open_scene_transport_repeat_20260914,795,19,26988034516811,16,16,True,26988037948902,20,0.448,449,1750,0.0,0.0,False,0.0,0.0,18,0.0,0.0,0.0001,0.0056,0.0,0.0,0.0,0.0,0.0,-0.0045,0.0013,0.0905,0.0008,0.0,-0.0145,0.0011,0.0302,4.7124,0.707,0.0107,0.0107,-0.707,0.8047,3.159,0.0618
88_e8_open_scene_transport_repeat_20260914,805,20,26988059578541,17,17,True,26988061919628,21,0.47300002,474,1844,0.0,0.0,False,0.0,0.0,19,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,-0.0016,0.001,0.0589,0.0007,0.0,-0.0127,0.0009,0.0303,4.7124,0.707,0.0107,0.0107,-0.707,0.8047,3.159,0.0614
88_e8_open_scene_transport_repeat_20260914,814,21,26988084334768,18,18,True,26988086828371,22,0.498000026,499,1933,0.0,0.0,False,0.0,0.0,20,0.0,0.0,0.0,0.0044,0.0,0.0,0.0,0.0,0.0,-0.0027,0.0003,0.0449,0.0006,0.0,-0.0112,0.0008,0.0304,4.7124,0.707,0.0108,0.0108,-0.707,0.8047,3.159,0.0612
88_e8_open_scene_transport_repeat_20260914,822,22,26988109378244,19,19,True,26988112022488,23,0.523,524,2033,0.0,0.0,False,0.0,0.0,21,0.0,0.0,0.0,0.0039,0.0,0.0,0.0,0.0,0.0,-0.0017,-0.0011,0.0381,0.0006,0.0,-0.0098,0.0008,0.0306,4.7124,0.707,0.0108,0.0108,-0.707,0.8047,3.159,0.0609
88_e8_open_scene_transport_repeat_20260914,831,23,26988134564847,20,20,True,26988138024780,24,0.548000038,549,2123,0.0,0.0,False,0.0,0.0,22,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,-0.0016,0.0022,0.0424,0.0005,0.0,-0.0086,0.0007,0.0306,4.7124,0.707,0.0108,0.0108,-0.707,0.8047,3.159,0.0607
88_e8_open_scene_transport_repeat_20260914,841,24,26988159884590,21,21,True,26988161615504,25,0.573,574,2219,0.0,0.0,False,0.0,0.0,23,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,-0.0022,-0.0002,0.0503,0.0005,0.0,-0.0076,0.0006,0.0307,4.7124,0.707,0.0109,0.0109,-0.707,0.8047,3.159,0.0605
88_e8_open_scene_transport_repeat_20260914,849,25,26988185227257,22,22,True,26988189474795,26,0.599000037,600,2320,0.0,0.0,False,0.0,0.0,24,0.0,0.0,0.0,0.0026,0.0,0.0,0.0,0.0,0.0,-0.0013,0.0022,0.0227,0.0004,0.0,-0.0066,0.0005,0.0308,4.7124,0.707,0.0109,0.0109,-0.707,0.8047,3.159,0.0604
88_e8_open_scene_transport_repeat_20260914,858,26,26988209842520,23,23,True,26988214510035,27,0.624,625,2415,0.0,0.0,False,0.0,0.0,25,0.0,0.0,0.0001,0.0024,0.0,0.0,0.0,0.0,0.0,-0.0035,-0.0013,0.0458,0.0003,0.0,-0.0059,0.0005,0.0309,4.7124,0.707,0.0109,0.0109,-0.707,0.8047,3.159,0.0602
88_e8_open_scene_transport_repeat_20260914,867,27,26988235121126,24,24,True,26988239499610,28,0.649000049,650,2510,0.0,0.0,False,0.0,0.0,26,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,-0.0013,-0.0003,0.0357,0.0003,0.0,-0.0051,0.0004,0.0309,4.7124,0.707,0.0109,0.0109,-0.707,0.8047,3.159,0.0601
88_e8_open_scene_transport_repeat_20260914,877,28,26988259810738,25,25,True,26988261700579,29,0.673000038,674,2578,0.0,0.0,False,0.0,0.0,27,0.0,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,-0.0008,0.0001,0.0081,0.0003,0.0,-0.0045,0.0004,0.031,4.7124,0.707,0.0109,0.011,-0.707,0.8047,3.159,0.06
