event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
634,27056976514821,/autodrive/roboracer_1/imu,Imu,1789398108074338509,,"{""angular_velocity_x_radps"":-0.0023,""angular_velocity_y_radps"":0.9586,""ax_mps2"":-8.6202,""ay_mps2"":-0.009,""az_mps2"":48.4179,""orientation_w"":0.7071,""orientation_x"":0.0063,""orientation_y"":0.0063,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
643,27057001042637,/autodrive/roboracer_1/imu,Imu,1789398108099338509,,"{""angular_velocity_x_radps"":-0.0002,""angular_velocity_y_radps"":0.093,""ax_mps2"":-0.6417,""ay_mps2"":-0.0058,""az_mps2"":3.4737,""orientation_w"":0.707,""orientation_x"":0.0092,""orientation_y"":0.0093,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
653,27057024155461,/autodrive/roboracer_1/imu,Imu,1789398108124338522,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0253,""ax_mps2"":-0.0654,""ay_mps2"":-0.0003,""az_mps2"":0.5025,""orientation_w"":0.707,""orientation_x"":0.0096,""orientation_y"":0.0097,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
662,27057049119194,/autodrive/roboracer_1/imu,Imu,1789398108148338525,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0179,""ax_mps2"":-0.0185,""ay_mps2"":0.0002,""az_mps2"":0.2726,""orientation_w"":0.707,""orientation_x"":0.0098,""orientation_y"":0.0098,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
670,27057074245182,/autodrive/roboracer_1/imu,Imu,1789398108173338517,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0155,""ax_mps2"":-0.0105,""ay_mps2"":-0.0011,""az_mps2"":0.2227,""orientation_w"":0.707,""orientation_x"":0.0099,""orientation_y"":0.01,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
680,27057100780742,/autodrive/roboracer_1/imu,Imu,1789398108198338509,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0137,""ax_mps2"":-0.011,""ay_mps2"":-0.0002,""az_mps2"":0.1921,""orientation_w"":0.707,""orientation_x"":0.0101,""orientation_y"":0.0101,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
688,27057125154810,/autodrive/roboracer_1/imu,Imu,1789398108224338530,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.012,""ax_mps2"":-0.0078,""ay_mps2"":-0.0009,""az_mps2"":0.1569,""orientation_w"":0.707,""orientation_x"":0.0102,""orientation_y"":0.0102,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
697,27057149525031,/autodrive/roboracer_1/imu,Imu,1789398108249338536,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0107,""ax_mps2"":-0.0075,""ay_mps2"":0.0005,""az_mps2"":0.1518,""orientation_w"":0.707,""orientation_x"":0.0103,""orientation_y"":0.0103,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
706,27057175063552,/autodrive/roboracer_1/imu,Imu,1789398108274338509,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0094,""ax_mps2"":-0.0075,""ay_mps2"":0.0003,""az_mps2"":0.1396,""orientation_w"":0.707,""orientation_x"":0.0104,""orientation_y"":0.0104,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
715,27057200283886,/autodrive/roboracer_1/imu,Imu,1789398108299338509,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0084,""ax_mps2"":-0.0068,""ay_mps2"":0.0017,""az_mps2"":0.1239,""orientation_w"":0.707,""orientation_x"":0.0105,""orientation_y"":0.0105,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
