event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
56,27717324070736,/autodrive/roboracer_1/left_encoder,JointState,1789398768394092269,,"{""position"":[0.0],""velocity"":[]}"
57,27717324259180,/autodrive/roboracer_1/right_encoder,JointState,1789398768394092269,,"{""position"":[0.0],""velocity"":[]}"
65,27717346669986,/autodrive/roboracer_1/left_encoder,JointState,1789398768419093269,,"{""position"":[0.0],""velocity"":[]}"
66,27717346834104,/autodrive/roboracer_1/right_encoder,JointState,1789398768419093269,,"{""position"":[0.0],""velocity"":[]}"
74,27717372047534,/autodrive/roboracer_1/left_encoder,JointState,1789398768444092269,,"{""position"":[0.0],""velocity"":[]}"
75,27717372208266,/autodrive/roboracer_1/right_encoder,JointState,1789398768444092269,,"{""position"":[0.0],""velocity"":[]}"
84,27717397413531,/autodrive/roboracer_1/left_encoder,JointState,1789398768469092269,,"{""position"":[0.0],""velocity"":[]}"
85,27717397578450,/autodrive/roboracer_1/right_encoder,JointState,1789398768469092269,,"{""position"":[0.0],""velocity"":[]}"
93,27717422976988,/autodrive/roboracer_1/left_encoder,JointState,1789398768494093269,,"{""position"":[0.0],""velocity"":[]}"
94,27717423158779,/autodrive/roboracer_1/right_encoder,JointState,1789398768494093269,,"{""position"":[0.0],""velocity"":[]}"
102,27717447685950,/autodrive/roboracer_1/left_encoder,JointState,1789398768519092269,,"{""position"":[0.0],""velocity"":[]}"
103,27717447876498,/autodrive/roboracer_1/right_encoder,JointState,1789398768519092269,,"{""position"":[0.0],""velocity"":[]}"
110,27717472285247,/autodrive/roboracer_1/left_encoder,JointState,1789398768544093269,,"{""position"":[0.0],""velocity"":[]}"
111,27717472444185,/autodrive/roboracer_1/right_encoder,JointState,1789398768544093269,,"{""position"":[0.0],""velocity"":[]}"
119,27717497383811,/autodrive/roboracer_1/left_encoder,JointState,1789398768569092269,,"{""position"":[0.0],""velocity"":[]}"
120,27717497528162,/autodrive/roboracer_1/right_encoder,JointState,1789398768569092269,,"{""position"":[0.0],""velocity"":[]}"
129,27717522431750,/autodrive/roboracer_1/left_encoder,JointState,1789398768594092269,,"{""position"":[0.0],""velocity"":[]}"
130,27717522574047,/autodrive/roboracer_1/right_encoder,JointState,1789398768594092269,,"{""position"":[0.0],""velocity"":[]}"
138,27717546832984,/autodrive/roboracer_1/left_encoder,JointState,1789398768620092269,,"{""position"":[0.0],""velocity"":[]}"
139,27717546981052,/autodrive/roboracer_1/right_encoder,JointState,1789398768620092269,,"{""position"":[0.0],""velocity"":[]}"
147,27717572553767,/autodrive/roboracer_1/left_encoder,JointState,1789398768644092269,,"{""position"":[0.0],""velocity"":[]}"
148,27717572702516,/autodrive/roboracer_1/right_encoder,JointState,1789398768644092269,,"{""position"":[0.0],""velocity"":[]}"
155,27717597107598,/autodrive/roboracer_1/left_encoder,JointState,1789398768669093269,,"{""position"":[0.0],""velocity"":[]}"
156,27717597264853,/autodrive/roboracer_1/right_encoder,JointState,1789398768669093269,,"{""position"":[0.0],""velocity"":[]}"
164,27717621953698,/autodrive/roboracer_1/left_encoder,JointState,1789398768694092269,,"{""position"":[0.0],""velocity"":[]}"
165,27717622104501,/autodrive/roboracer_1/right_encoder,JointState,1789398768694092269,,"{""position"":[0.0],""velocity"":[]}"
174,27717647344060,/autodrive/roboracer_1/left_encoder,JointState,1789398768719092269,,"{""position"":[0.0],""velocity"":[]}"
175,27717647497869,/autodrive/roboracer_1/right_encoder,JointState,1789398768719092269,,"{""position"":[0.0],""velocity"":[]}"
182,27717672466439,/autodrive/roboracer_1/left_encoder,JointState,1789398768744093269,,"{""position"":[0.0],""velocity"":[]}"
183,27717672630918,/autodrive/roboracer_1/right_encoder,JointState,1789398768744093269,,"{""position"":[0.0],""velocity"":[]}"
191,27717697459154,/autodrive/roboracer_1/left_encoder,JointState,1789398768769092269,,"{""position"":[0.0],""velocity"":[]}"
192,27717697623784,/autodrive/roboracer_1/right_encoder,JointState,1789398768769092269,,"{""position"":[0.0],""velocity"":[]}"
199,27717721213674,/autodrive/roboracer_1/left_encoder,JointState,1789398768795092269,,"{""position"":[0.0],""velocity"":[]}"
200,27717721353848,/autodrive/roboracer_1/right_encoder,JointState,1789398768795092269,,"{""position"":[0.0],""velocity"":[]}"
210,27717746957941,/autodrive/roboracer_1/left_encoder,JointState,1789398768819092269,,"{""position"":[0.0],""velocity"":[]}"
211,27717747088526,/autodrive/roboracer_1/right_encoder,JointState,1789398768819092269,,"{""position"":[0.0],""velocity"":[]}"
219,27717772511269,/autodrive/roboracer_1/left_encoder,JointState,1789398768844092269,,"{""position"":[0.0],""velocity"":[]}"
220,27717772679475,/autodrive/roboracer_1/right_encoder,JointState,1789398768844092269,,"{""position"":[0.0],""velocity"":[]}"
228,27717796665500,/autodrive/roboracer_1/left_encoder,JointState,1789398768869093269,,"{""position"":[0.0],""velocity"":[]}"
229,27717796789703,/autodrive/roboracer_1/right_encoder,JointState,1789398768869093269,,"{""position"":[0.0],""velocity"":[]}"
236,27717822291104,/autodrive/roboracer_1/left_encoder,JointState,1789398768894092269,,"{""position"":[0.0],""velocity"":[]}"
237,27717822433531,/autodrive/roboracer_1/right_encoder,JointState,1789398768894092269,,"{""position"":[0.0],""velocity"":[]}"
245,27717847776444,/autodrive/roboracer_1/left_encoder,JointState,1789398768920092269,,"{""position"":[0.0],""velocity"":[]}"
246,27717847945241,/autodrive/roboracer_1/right_encoder,JointState,1789398768920092269,,"{""position"":[0.0],""velocity"":[]}"
254,27717871986530,/autodrive/roboracer_1/left_encoder,JointState,1789398768944092269,,"{""position"":[0.0],""velocity"":[]}"
255,27717872153353,/autodrive/roboracer_1/right_encoder,JointState,1789398768944092269,,"{""position"":[0.0],""velocity"":[]}"
263,27717897022286,/autodrive/roboracer_1/left_encoder,JointState,1789398768969092269,,"{""position"":[0.0],""velocity"":[]}"
264,27717897190562,/autodrive/roboracer_1/right_encoder,JointState,1789398768969092269,,"{""position"":[0.0],""velocity"":[]}"
271,27717922053404,/autodrive/roboracer_1/left_encoder,JointState,1789398768994093269,,"{""position"":[0.0],""velocity"":[]}"
272,27717922233111,/autodrive/roboracer_1/right_encoder,JointState,1789398768994093269,,"{""position"":[0.0],""velocity"":[]}"
282,27717945688690,/autodrive/roboracer_1/left_encoder,JointState,1789398769019092269,,"{""position"":[0.0],""velocity"":[]}"
283,27717945863348,/autodrive/roboracer_1/right_encoder,JointState,1789398769019092269,,"{""position"":[0.0],""velocity"":[]}"
291,27717972986183,/autodrive/roboracer_1/left_encoder,JointState,1789398769044093269,,"{""position"":[0.0],""velocity"":[]}"
292,27717973174908,/autodrive/roboracer_1/right_encoder,JointState,1789398769044093269,,"{""position"":[0.0],""velocity"":[]}"
299,27717997378441,/autodrive/roboracer_1/left_encoder,JointState,1789398769070093269,,"{""position"":[0.0],""velocity"":[]}"
300,27717997525528,/autodrive/roboracer_1/right_encoder,JointState,1789398769070093269,,"{""position"":[0.0],""velocity"":[]}"
308,27718021875265,/autodrive/roboracer_1/left_encoder,JointState,1789398769095092769,,"{""position"":[0.0],""velocity"":[]}"
309,27718022036939,/autodrive/roboracer_1/right_encoder,JointState,1789398769095092769,,"{""position"":[0.0],""velocity"":[]}"
317,27718046343065,/autodrive/roboracer_1/left_encoder,JointState,1789398769119092969,,"{""position"":[0.0],""velocity"":[]}"
318,27718046477938,/autodrive/roboracer_1/right_encoder,JointState,1789398769119092969,,"{""position"":[0.0],""velocity"":[]}"
327,27718072737703,/autodrive/roboracer_1/left_encoder,JointState,1789398769144092269,,"{""position"":[0.0],""velocity"":[]}"
328,27718072877816,/autodrive/roboracer_1/right_encoder,JointState,1789398769144092269,,"{""position"":[0.0],""velocity"":[]}"
336,27718096752242,/autodrive/roboracer_1/left_encoder,JointState,1789398769170092269,,"{""position"":[0.0],""velocity"":[]}"
337,27718096897013,/autodrive/roboracer_1/right_encoder,JointState,1789398769170092269,,"{""position"":[0.0],""velocity"":[]}"
345,27718122300350,/autodrive/roboracer_1/left_encoder,JointState,1789398769194092269,,"{""position"":[0.0],""velocity"":[]}"
346,27718122440393,/autodrive/roboracer_1/right_encoder,JointState,1789398769194092269,,"{""position"":[0.0],""velocity"":[]}"
353,27718147073904,/autodrive/roboracer_1/left_encoder,JointState,1789398769219092269,,"{""position"":[0.0],""velocity"":[]}"
354,27718147226430,/autodrive/roboracer_1/right_encoder,JointState,1789398769219092269,,"{""position"":[0.0],""velocity"":[]}"
362,27718172247088,/autodrive/roboracer_1/left_encoder,JointState,1789398769244092969,,"{""position"":[0.0],""velocity"":[]}"
363,27718172403151,/autodrive/roboracer_1/right_encoder,JointState,1789398769244092969,,"{""position"":[0.0],""velocity"":[]}"
370,27718197025271,/autodrive/roboracer_1/left_encoder,JointState,1789398769269092269,,"{""position"":[0.0],""velocity"":[]}"
371,27718197213083,/autodrive/roboracer_1/right_encoder,JointState,1789398769269092269,,"{""position"":[0.0],""velocity"":[]}"
381,27718222453865,/autodrive/roboracer_1/left_encoder,JointState,1789398769294093069,,"{""position"":[0.0],""velocity"":[]}"
382,27718222603245,/autodrive/roboracer_1/right_encoder,JointState,1789398769294093069,,"{""position"":[0.0],""velocity"":[]}"
389,27718247662005,/autodrive/roboracer_1/left_encoder,JointState,1789398769319092269,,"{""position"":[0.0],""velocity"":[]}"
390,27718247803290,/autodrive/roboracer_1/right_encoder,JointState,1789398769319092269,,"{""position"":[0.0],""velocity"":[]}"
399,27718272880965,/autodrive/roboracer_1/left_encoder,JointState,1789398769344092269,,"{""position"":[0.0],""velocity"":[]}"
400,27718273042628,/autodrive/roboracer_1/right_encoder,JointState,1789398769344092269,,"{""position"":[0.0],""velocity"":[]}"
408,27718297351039,/autodrive/roboracer_1/left_encoder,JointState,1789398769370092269,,"{""position"":[0.0],""velocity"":[]}"
409,27718297488136,/autodrive/roboracer_1/right_encoder,JointState,1789398769370092269,,"{""position"":[0.0],""velocity"":[]}"
416,27718321523253,/autodrive/roboracer_1/left_encoder,JointState,1789398769395092969,,"{""position"":[0.0],""velocity"":[]}"
417,27718321674507,/autodrive/roboracer_1/right_encoder,JointState,1789398769395092969,,"{""position"":[0.0],""velocity"":[]}"
425,27718346966054,/autodrive/roboracer_1/left_encoder,JointState,1789398769419093069,,"{""position"":[0.0],""velocity"":[]}"
426,27718347199312,/autodrive/roboracer_1/right_encoder,JointState,1789398769419093069,,"{""position"":[0.0],""velocity"":[]}"
434,27718372328644,/autodrive/roboracer_1/left_encoder,JointState,1789398769444092269,,"{""position"":[0.0],""velocity"":[]}"
435,27718372473556,/autodrive/roboracer_1/right_encoder,JointState,1789398769444092269,,"{""position"":[0.0],""velocity"":[]}"
