event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
18,27869461594240,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
19,27869462156446,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
27,27869484636220,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
28,27869484790851,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
36,27869509509019,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
42,27869511089237,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
45,27869534482286,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
51,27869535960012,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
54,27869559567173,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
55,27869559739347,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
63,27869585610861,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
69,27869587248517,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
72,27869611658777,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
78,27869613461663,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
81,27869636914465,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
82,27869637108700,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
90,27869661820897,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
91,27869661991477,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
99,27869686705528,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
100,27869686908819,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
108,27869711878119,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
109,27869712125143,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
117,27869737059297,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
118,27869737258842,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
126,27869761750074,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
132,27869763868122,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
135,27869784884658,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
141,27869786708043,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
144,27869811182703,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
145,27869811374524,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
153,27869836405790,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
154,27869836615073,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
162,27869861072101,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
168,27869862636179,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
171,27869887766421,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
177,27869889519584,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
180,27869912307897,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
181,27869912531517,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
191,27869939481878,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
192,27869939570244,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
198,27869959271148,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
204,27869960733205,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
207,27869986337657,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
208,27869986505282,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
216,27870011221577,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
222,27870012873520,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
225,27870034402768,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
231,27870036290354,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
234,27870059383951,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
235,27870059523653,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
243,27870086241868,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
244,27870086447033,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
252,27870109437547,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
253,27870109587709,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
261,27870136447339,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
267,27870138087550,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
270,27870159319019,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
276,27870160743925,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
279,27870187674770,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
284,27870188978799,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
288,27870211524517,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
294,27870213299781,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
297,27870234521963,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
298,27870234674650,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
306,27870259446098,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
312,27870260953139,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
315,27870284368460,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
316,27870284504295,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
324,27870311437514,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
330,27870313015728,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
333,27870334442905,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
334,27870334592055,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
342,27870361374300,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
348,27870363347126,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
351,27870384359373,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
357,27870385728685,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
360,27870411297000,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
361,27870411483391,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
369,27870434357786,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
375,27870435780478,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
378,27870461254987,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
384,27870463120631,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
387,27870484286257,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
393,27870485696475,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
396,27870511190972,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
397,27870511328290,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
405,27870536355659,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
411,27870537929715,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
414,27870559380506,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
415,27870559527492,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
423,27870588734031,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
429,27870590266209,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
432,27870611426775,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
433,27870611617864,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
441,27870634537284,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
447,27870636229182,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
450,27870659666494,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
456,27870661542628,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
459,27870684657525,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
465,27870686564737,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
468,27870711365330,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
474,27870713017393,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
477,27870734384898,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
478,27870734520753,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
487,27870761730832,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
488,27870761845457,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
495,27870784346170,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
496,27870784490061,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
504,27870811461501,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
510,27870813419970,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
513,27870834267087,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
519,27870835823210,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
522,27870861357932,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
523,27870861528532,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
531,27870884439005,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
532,27870884572767,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
540,27870909401603,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
541,27870909530204,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
549,27870936361942,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
550,27870936562529,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
558,27870959543374,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
559,27870959687966,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
567,27870984479221,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
568,27870984634804,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
576,27871009488657,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
577,27871009652064,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
585,27871036532964,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
586,27871036747708,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
594,27871059484484,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
595,27871059651929,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
603,27871084405393,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
609,27871085800464,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
612,27871109349797,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
618,27871111151501,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
621,27871136433879,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
627,27871138108564,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
630,27871161476406,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
636,27871163092442,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
644,27871186834276,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
645,27871186925037,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
648,27871211196586,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
654,27871212845463,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
657,27871234337722,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
658,27871234487814,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
666,27871260349260,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
667,27871260529037,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
675,27871286512212,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
681,27871288036505,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
684,27871311436267,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
685,27871311604823,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
693,27871334390282,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
694,27871334551895,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
702,27871361307400,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
708,27871362978429,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
711,27871384439910,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
712,27871384597205,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
720,27871409438686,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
721,27871409571194,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
729,27871434474971,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
730,27871434625915,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
738,27871459508422,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
