event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
0,28125466073082,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1,28125466281413,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
11,28125491120648,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
17,28125492974862,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
22,28125515480623,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
23,28125515704304,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
33,28125540576611,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
34,28125540776507,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
44,28125565962654,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
45,28125566136991,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
55,28125591950377,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
56,28125592165811,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
66,28125616559830,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
67,28125616758824,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
77,28125641607938,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
78,28125641787896,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
88,28125666451321,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
89,28125666652759,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
99,28125691736554,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
100,28125692024405,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
110,28125716225621,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
111,28125716416099,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
121,28125740661208,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
122,28125740886502,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
132,28125765812099,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
133,28125766039657,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
143,28125791689875,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
144,28125791881075,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
154,28125816312524,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
155,28125816509183,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
165,28125840785781,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
166,28125840949048,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
176,28125865958884,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
177,28125866129745,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
187,28125890577986,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
