simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,applied_command_sequence_k1,commanded_throttle_norm_k1,commanded_steering_norm_k1,applied_throttle_norm_k1,applied_steering_rad_k1,simulator_feedback_steering_rad_k1,wheel_speed_mps_k1,encoder_left_rad_k1,encoder_right_rad_k1,reset_epoch,segment_id,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps
15.5320005,15.5580006,15533.0,15559.0,26.0,0.026000099999999193,0.8075,3.1585,-1.5707963267948968,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076,3.1585,-1.5707963267948968,0.0,0.0,0.0
15.5580006,15.5830011,15559.0,15584.0,25.0,0.02500050000000087,0.8076,3.1585,-1.5707963267948968,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076,3.1585,-1.5707963267948968,0.0,0.0,0.0
15.5830011,15.607,15584.0,15608.0,24.0,0.023998899999998713,0.8076,3.1585,-1.5707963267948968,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076,3.1585,-1.5707963267948968,0.0,0.0,0.0
15.607,15.6320009,15608.0,15633.0,25.0,0.025000900000000215,0.8076,3.1585,-1.5707963267948968,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076,3.1585,-1.5707963267948968,0.0,0.0,0.0
15.6320009,15.6570005,15633.0,15658.0,25.0,0.02499960000000101,0.8076,3.1585,-1.5707963267948968,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076,3.1585,-1.5707963267948968,0.0,0.0,0.0
15.6570005,15.6830006,15658.0,15684.0,26.0,0.026000099999999193,0.8076,3.1585,-1.5707963267948968,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076,3.1585,-1.5707963267948968,0.0,0.0,0.0
15.6830006,15.7080011,15684.0,15709.0,25.0,0.02500050000000087,0.8076,3.1585,-1.5707963267948968,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076,3.1585,-1.5707963267948968,0.0,0.0,0.0
15.7080011,15.7330008,15709.0,15734.0,25.0,0.024999699999998626,0.8076,3.1585,-1.5707963267948968,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076,3.1585,-1.5707963267948968,0.0,0.0,0.0
15.7330008,15.7570009,15734.0,15758.0,24.0,0.024000100000000302,0.8076,3.1585,-1.5707963267948968,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076,3.1585,-1.5707963267948968,0.0,0.0,0.0
15.7570009,15.7830009,15758.0,15784.0,26.0,0.0259999999999998,0.8076,3.1585,-1.5707963267948968,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0
15.7830009,15.8080006,15784.0,15809.0,25.0,0.024999700000000402,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0
15.8080006,15.8320007,15809.0,15833.0,24.0,0.024000100000000302,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0
15.8320007,15.8580008,15833.0,15859.0,26.0,0.026000099999999193,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0
15.8580008,15.883,15859.0,15884.0,25.0,0.024999199999999888,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0
15.883,15.9080009,15884.0,15909.0,25.0,0.025000900000000215,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0
15.9080009,15.9320011,15909.0,15933.0,24.0,0.02400020000000147,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0
15.9320011,15.9580011,15933.0,15959.0,26.0,0.0259999999999998,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0
15.9580011,15.982,15959.0,15983.0,24.0,0.023998899999998713,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0
15.982,16.006,15983.0,16007.0,24.0,0.02400000000000091,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0
16.006,16.0320015,16007.0,16033.0,26.0,0.026001499999999567,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0
16.0320015,16.0570011,16033.0,16058.0,25.0,0.02499960000000101,0.8077,3.1585,-1.5707963267948968,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8078,3.1585,-1.5707963267948968,0.0,0.0,0.0
