event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
392,31526876155080,/odom,Odometry,1789402577947091220,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
402,31526899667837,/odom,Odometry,1789402577972091229,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.00019702820310474325,""yaw_rate_radps"":0.0}"
411,31526923752949,/odom,Odometry,1789402577996091233,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.00018182273111544411,""yaw_rate_radps"":0.0}"
419,31526948389979,/odom,Odometry,1789402578022091220,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0001779214686621344,""yaw_rate_radps"":0.0}"
429,31526973476965,/odom,Odometry,1789402578045091228,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.00016999815814400243,""yaw_rate_radps"":0.0}"
438,31526999586502,/odom,Odometry,1789402578071091235,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.00016597673761209464,""yaw_rate_radps"":0.0}"
447,31527023563201,/odom,Odometry,1789402578097091220,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0001619150638711986,""yaw_rate_radps"":0.0}"
455,31527048205892,/odom,Odometry,1789402578121091247,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.00015781334015008144,""yaw_rate_radps"":0.0}"
465,31527073506228,/odom,Odometry,1789402578146091220,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.00015367156546330918,""yaw_rate_radps"":0.0}"
473,31527098977115,/odom,Odometry,1789402578172091246,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.00014948973881634411,""yaw_rate_radps"":0.0}"
483,31527123608725,/odom,Odometry,1789402578196091235,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.00014526769519851432,""yaw_rate_radps"":0.0}"
492,31527148643592,/odom,Odometry,1789402578221091241,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.00014526785920443427,""yaw_rate_radps"":0.0}"
501,31527173868737,/odom,Odometry,1789402578247091220,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.00014100592561328007,""yaw_rate_radps"":0.0}"
509,31527198310811,/odom,Odometry,1789402578272091241,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.00014100592561328007,""yaw_rate_radps"":0.0}"
519,31527224105577,/odom,Odometry,1789402578296091220,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0001367037884254518,""yaw_rate_radps"":0.0}"
528,31527248023555,/odom,Odometry,1789402578321091265,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.00013670393701925568,""yaw_rate_radps"":0.0}"
537,31527273530761,/odom,Odometry,1789402578346091220,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.00013670393701925568,""yaw_rate_radps"":0.0}"
546,31527299772576,/odom,Odometry,1789402578371091220,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0001323617518891318,""yaw_rate_radps"":0.0}"
555,31527322686648,/odom,Odometry,1789402578397091220,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.00013236189238896579,""yaw_rate_radps"":0.0}"
563,31527347639502,/odom,Odometry,1789402578421091220,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.00013236189238896579,""yaw_rate_radps"":0.0}"
572,31527372731396,/odom,Odometry,1789402578446091265,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.00013236189238896579,""yaw_rate_radps"":0.0}"
582,31527400186552,/odom,Odometry,1789402578471091220,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.00013236189238896579,""yaw_rate_radps"":0.0}"
