event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
370,31654139069120,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
371,31654139727838,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
380,31654163212319,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
381,31654163366529,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
389,31654188128621,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
393,31654189143508,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
398,31654213347752,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
399,31654213521067,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
407,31654237634120,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
412,31654238759344,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
416,31654263247161,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
417,31654263379840,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
425,31654288314056,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
430,31654289439490,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
434,31654315859919,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
440,31654317429087,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
443,31654337750695,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
449,31654339445921,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
452,31654362974965,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
453,31654363196001,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
462,31654388270811,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
463,31654388341063,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
470,31654413562778,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
476,31654415460484,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
479,31654437710786,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
480,31654437888831,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
488,31654462964772,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
489,31654463196458,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
497,31654487889550,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
501,31654488883448,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
506,31654513276657,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
507,31654513471573,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
515,31654538470851,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
521,31654540027045,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
524,31654562673020,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
525,31654562913332,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
536,31654588543485,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
537,31654588617454,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
542,31654612942735,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
543,31654613169902,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
551,31654638217541,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
557,31654639801698,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
560,31654663403479,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
566,31654665464682,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
572,31654688521109,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
573,31654688592824,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
578,31654713053870,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
584,31654715550802,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
587,31654739052787,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
591,31654740333273,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
596,31654765406529,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
602,31654767792884,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
605,31654789031104,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
610,31654790803194,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
614,31654814798545,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
615,31654815281042,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
623,31654838887181,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
624,31654839054556,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
632,31654863603968,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
633,31654863785049,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
641,31654888643472,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
645,31654892756731,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
650,31654913864546,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
651,31654914056777,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
