event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
428,33055320409931,/autodrive/roboracer_1/left_encoder,JointState,1789404106392494596,,"{""position"":[0.0],""velocity"":[]}"
429,33055320574791,/autodrive/roboracer_1/right_encoder,JointState,1789404106392494596,,"{""position"":[0.0],""velocity"":[]}"
438,33055343405068,/autodrive/roboracer_1/left_encoder,JointState,1789404106418494609,,"{""position"":[0.0],""velocity"":[]}"
439,33055343532026,/autodrive/roboracer_1/right_encoder,JointState,1789404106418494609,,"{""position"":[0.0],""velocity"":[]}"
447,33055368981342,/autodrive/roboracer_1/left_encoder,JointState,1789404106442494596,,"{""position"":[0.0],""velocity"":[]}"
448,33055369174575,/autodrive/roboracer_1/right_encoder,JointState,1789404106442494596,,"{""position"":[0.0],""velocity"":[]}"
456,33055394484459,/autodrive/roboracer_1/left_encoder,JointState,1789404106467494604,,"{""position"":[0.0],""velocity"":[]}"
457,33055394658816,/autodrive/roboracer_1/right_encoder,JointState,1789404106467494604,,"{""position"":[0.0],""velocity"":[]}"
465,33055420195356,/autodrive/roboracer_1/left_encoder,JointState,1789404106492494610,,"{""position"":[0.0],""velocity"":[]}"
466,33055420399088,/autodrive/roboracer_1/right_encoder,JointState,1789404106492494610,,"{""position"":[0.0],""velocity"":[]}"
474,33055445286829,/autodrive/roboracer_1/left_encoder,JointState,1789404106518494596,,"{""position"":[0.0],""velocity"":[]}"
475,33055445482457,/autodrive/roboracer_1/right_encoder,JointState,1789404106518494596,,"{""position"":[0.0],""velocity"":[]}"
483,33055469780420,/autodrive/roboracer_1/left_encoder,JointState,1789404106543494596,,"{""position"":[0.0],""velocity"":[]}"
484,33055469928007,/autodrive/roboracer_1/right_encoder,JointState,1789404106543494596,,"{""position"":[0.0],""velocity"":[]}"
492,33055494497781,/autodrive/roboracer_1/left_encoder,JointState,1789404106567494596,,"{""position"":[0.0],""velocity"":[]}"
493,33055494735728,/autodrive/roboracer_1/right_encoder,JointState,1789404106567494596,,"{""position"":[0.0],""velocity"":[]}"
500,33055519712607,/autodrive/roboracer_1/left_encoder,JointState,1789404106592494596,,"{""position"":[0.0],""velocity"":[]}"
501,33055519843653,/autodrive/roboracer_1/right_encoder,JointState,1789404106592494596,,"{""position"":[0.0],""velocity"":[]}"
510,33055544367991,/autodrive/roboracer_1/left_encoder,JointState,1789404106618494627,,"{""position"":[0.0],""velocity"":[]}"
511,33055544568478,/autodrive/roboracer_1/right_encoder,JointState,1789404106618494627,,"{""position"":[0.0],""velocity"":[]}"
519,33055569081214,/autodrive/roboracer_1/left_encoder,JointState,1789404106643494596,,"{""position"":[0.0],""velocity"":[]}"
520,33055569219594,/autodrive/roboracer_1/right_encoder,JointState,1789404106643494596,,"{""position"":[0.0],""velocity"":[]}"
528,33055593681516,/autodrive/roboracer_1/left_encoder,JointState,1789404106667494622,,"{""position"":[0.0],""velocity"":[]}"
529,33055593808925,/autodrive/roboracer_1/right_encoder,JointState,1789404106667494622,,"{""position"":[0.0],""velocity"":[]}"
537,33055620141008,/autodrive/roboracer_1/left_encoder,JointState,1789404106692494628,,"{""position"":[0.0],""velocity"":[]}"
538,33055620282785,/autodrive/roboracer_1/right_encoder,JointState,1789404106692494628,,"{""position"":[0.0],""velocity"":[]}"
546,33055644338042,/autodrive/roboracer_1/left_encoder,JointState,1789404106717494596,,"{""position"":[0.0],""velocity"":[]}"
547,33055644493865,/autodrive/roboracer_1/right_encoder,JointState,1789404106717494596,,"{""position"":[0.0],""velocity"":[]}"
555,33055668967388,/autodrive/roboracer_1/left_encoder,JointState,1789404106743494627,,"{""position"":[0.0],""velocity"":[]}"
556,33055669133210,/autodrive/roboracer_1/right_encoder,JointState,1789404106743494627,,"{""position"":[0.0],""velocity"":[]}"
564,33055695033001,/autodrive/roboracer_1/left_encoder,JointState,1789404106767494646,,"{""position"":[0.0],""velocity"":[]}"
565,33055695277260,/autodrive/roboracer_1/right_encoder,JointState,1789404106767494646,,"{""position"":[0.0],""velocity"":[]}"
573,33055719258238,/autodrive/roboracer_1/left_encoder,JointState,1789404106792494596,,"{""position"":[0.0],""velocity"":[]}"
574,33055719403050,/autodrive/roboracer_1/right_encoder,JointState,1789404106792494596,,"{""position"":[0.0],""velocity"":[]}"
582,33055744135870,/autodrive/roboracer_1/left_encoder,JointState,1789404106818494645,,"{""position"":[0.0],""velocity"":[]}"
583,33055744326288,/autodrive/roboracer_1/right_encoder,JointState,1789404106818494645,,"{""position"":[0.0],""velocity"":[]}"
591,33055768363642,/autodrive/roboracer_1/left_encoder,JointState,1789404106842494634,,"{""position"":[0.0],""velocity"":[]}"
592,33055768493355,/autodrive/roboracer_1/right_encoder,JointState,1789404106842494634,,"{""position"":[0.0],""velocity"":[]}"
599,33055793096071,/autodrive/roboracer_1/left_encoder,JointState,1789404106867494596,,"{""position"":[0.0],""velocity"":[]}"
600,33055793237507,/autodrive/roboracer_1/right_encoder,JointState,1789404106867494596,,"{""position"":[0.0],""velocity"":[]}"
609,33055818611741,/autodrive/roboracer_1/left_encoder,JointState,1789404106892494646,,"{""position"":[0.0],""velocity"":[]}"
610,33055818736816,/autodrive/roboracer_1/right_encoder,JointState,1789404106892494646,,"{""position"":[0.0],""velocity"":[]}"
618,33055844335813,/autodrive/roboracer_1/left_encoder,JointState,1789404106917494596,,"{""position"":[0.0],""velocity"":[]}"
619,33055844481577,/autodrive/roboracer_1/right_encoder,JointState,1789404106917494596,,"{""position"":[0.0],""velocity"":[]}"
627,33055869483192,/autodrive/roboracer_1/left_encoder,JointState,1789404106943494645,,"{""position"":[0.0],""velocity"":[]}"
628,33055869659122,/autodrive/roboracer_1/right_encoder,JointState,1789404106943494645,,"{""position"":[0.0],""velocity"":[]}"
636,33055893719149,/autodrive/roboracer_1/left_encoder,JointState,1789404106968494596,,"{""position"":[0.0],""velocity"":[]}"
637,33055893851177,/autodrive/roboracer_1/right_encoder,JointState,1789404106968494596,,"{""position"":[0.0],""velocity"":[]}"
645,33055920198760,/autodrive/roboracer_1/left_encoder,JointState,1789404106992494596,,"{""position"":[0.0],""velocity"":[]}"
646,33055920397663,/autodrive/roboracer_1/right_encoder,JointState,1789404106992494596,,"{""position"":[0.0],""velocity"":[]}"
654,33055944156795,/autodrive/roboracer_1/left_encoder,JointState,1789404107018494633,,"{""position"":[0.0],""velocity"":[]}"
655,33055944362781,/autodrive/roboracer_1/right_encoder,JointState,1789404107018494633,,"{""position"":[0.0],""velocity"":[]}"
663,33055969309493,/autodrive/roboracer_1/left_encoder,JointState,1789404107042494596,,"{""position"":[0.0],""velocity"":[]}"
664,33055969536189,/autodrive/roboracer_1/right_encoder,JointState,1789404107042494596,,"{""position"":[0.0],""velocity"":[]}"
671,33055994557882,/autodrive/roboracer_1/left_encoder,JointState,1789404107067494658,,"{""position"":[0.0],""velocity"":[]}"
672,33055994784948,/autodrive/roboracer_1/right_encoder,JointState,1789404107067494658,,"{""position"":[0.0],""velocity"":[]}"
681,33056020979584,/autodrive/roboracer_1/left_encoder,JointState,1789404107093494596,,"{""position"":[0.0],""velocity"":[]}"
682,33056021171023,/autodrive/roboracer_1/right_encoder,JointState,1789404107093494596,,"{""position"":[0.0],""velocity"":[]}"
690,33056045247300,/autodrive/roboracer_1/left_encoder,JointState,1789404107118494657,,"{""position"":[0.0],""velocity"":[]}"
691,33056045475028,/autodrive/roboracer_1/right_encoder,JointState,1789404107118494657,,"{""position"":[0.0],""velocity"":[]}"
