run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
95_pr2_speed_steps_table_and_turn_recovery_20260914,1,6,6,0.135,136,375,0.8033,3.1599,0.0763,0.0043,0.0043,-0.7071,0.7071,0.0013,0.0121,4.7124,0.1234,0.0002,-0.7699,-0.0022,1.6066,0.0,-11.3508,0.0246,83.3081,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,2,7,7,0.161000013,162,464,0.8033,3.1591,0.071,0.0091,0.0091,-0.7071,0.707,0.0034,0.0258,4.7124,0.0117,0.0,-0.1052,-0.0004,0.1263,0.0,-0.9317,-0.0047,4.9889,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,3,8,8,0.185,186,544,0.8033,3.159,0.0694,0.0096,0.0096,-0.707,0.707,0.0034,0.0272,4.7124,0.0037,0.0,-0.06,0.0002,0.0293,0.0,-0.0942,-0.0008,0.6356,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,4,9,9,0.210000008,211,632,0.8033,3.159,0.0682,0.0098,0.0098,-0.707,0.707,0.0031,0.0277,4.7124,0.0027,0.0,-0.0502,0.0002,0.0184,0.0,-0.0201,0.0007,0.2767,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,5,10,10,0.235000014,236,720,0.8033,3.1589,0.0671,0.0099,0.01,-0.707,0.707,0.0028,0.0281,4.7124,0.0023,0.0,-0.0439,0.0003,0.0158,0.0,-0.0117,-0.0006,0.2261,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,6,11,11,0.261,262,807,0.8033,3.1589,0.0661,0.0101,0.0101,-0.707,0.707,0.0025,0.0285,4.7124,0.002,0.0,-0.0383,0.0002,0.0138,0.0,-0.0107,-0.0003,0.2063,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,7,12,12,0.286,287,877,0.8033,3.1589,0.0652,0.0102,0.0102,-0.707,0.707,0.0022,0.0288,4.7124,0.0018,0.0,-0.0336,0.0002,0.0123,0.0,-0.0091,0.0002,0.1839,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,8,13,13,0.31,311,927,0.8033,3.1589,0.0645,0.0103,0.0103,-0.707,0.707,0.002,0.0291,4.7124,0.0016,0.0,-0.0296,0.0001,0.0109,0.0,-0.008,0.0006,0.1581,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,9,14,14,0.335,336,982,0.8033,3.1589,0.0639,0.0104,0.0104,-0.707,0.707,0.0018,0.0294,4.7124,0.0014,0.0,-0.026,0.0002,0.0097,0.0,-0.0067,0.0,0.1347,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,10,15,15,0.361000031,362,1025,0.8033,3.1589,0.0633,0.0105,0.0105,-0.707,0.707,0.0016,0.0296,4.7124,0.0013,0.0,-0.0227,0.0002,0.0085,0.0,-0.0071,0.0005,0.1283,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,11,16,16,0.386,387,1107,0.8033,3.1588,0.0628,0.0105,0.0105,-0.707,0.707,0.0014,0.0298,4.7124,0.0011,0.0,-0.0199,0.0001,0.0076,0.0,-0.0059,-0.0009,0.1123,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,12,17,17,0.410000026,411,1189,0.8033,3.1588,0.0623,0.0106,0.0106,-0.707,0.707,0.0013,0.03,4.7124,0.001,0.0,-0.0176,0.0001,0.0067,0.0,-0.0041,-0.0002,0.0673,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,13,18,18,0.435000032,436,1276,0.8033,3.1588,0.0619,0.0106,0.0107,-0.707,0.707,0.0011,0.0301,4.7124,0.0009,0.0,-0.0154,0.0001,0.0059,0.0,-0.004,-0.0001,0.0773,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,14,19,19,0.46,461,1361,0.8033,3.1588,0.0616,0.0107,0.0107,-0.707,0.707,0.001,0.0303,4.7124,0.0008,0.0,-0.0135,0.0001,0.0053,0.0,-0.0032,-0.0016,0.0749,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,15,20,20,0.486000031,487,1439,0.8033,3.1588,0.0613,0.0107,0.0108,-0.707,0.707,0.0009,0.0304,4.7124,0.0007,0.0,-0.0118,0.0001,0.0046,0.0,-0.003,-0.0006,0.0528,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,16,21,21,0.51000005,511,1519,0.8033,3.1588,0.0611,0.0108,0.0108,-0.707,0.707,0.0008,0.0305,4.7124,0.0006,0.0,-0.0105,0.0001,0.0041,0.0,-0.0027,0.0003,0.0515,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,17,22,22,0.535,536,1602,0.8034,3.1588,0.0608,0.0108,0.0108,-0.707,0.707,0.0007,0.0306,4.7124,0.0005,0.0,-0.0092,0.0001,0.0037,0.0,-0.0017,0.0004,0.0398,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,18,23,23,0.561000049,562,1665,0.8034,3.1588,0.0606,0.0108,0.0109,-0.707,0.707,0.0006,0.0307,4.7124,0.0005,0.0,-0.008,0.0,0.0032,0.0,-0.0019,-0.0005,0.0463,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,19,24,24,0.585000038,586,1743,0.8034,3.1588,0.0604,0.0109,0.0109,-0.707,0.707,0.0006,0.0308,4.7124,0.0004,0.0,-0.0071,0.0,0.0029,0.0,-0.0019,-0.0003,0.0377,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,20,25,25,0.61,611,1828,0.8034,3.1588,0.0603,0.0109,0.0109,-0.707,0.707,0.0005,0.0308,4.7124,0.0004,0.0,-0.0062,0.0001,0.0025,0.0,-0.001,0.0003,0.0086,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,21,26,26,0.63500005,636,1912,0.8034,3.1588,0.0602,0.0109,0.0109,-0.707,0.707,0.0005,0.0309,4.7124,0.0003,0.0,-0.0055,0.0001,0.0022,0.0,-0.0027,-0.0003,0.0364,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,22,27,27,0.66,661,2000,0.8034,3.1588,0.06,0.0109,0.0109,-0.707,0.707,0.0004,0.0309,4.7124,0.0003,0.0,-0.0048,0.0,0.002,0.0,-0.001,0.0002,0.0203,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,23,28,28,0.686000049,687,2068,0.8034,3.1588,0.0599,0.011,0.011,-0.707,0.707,0.0003,0.031,4.7124,0.0003,0.0,-0.0042,0.0,0.0017,0.0,-0.0021,0.0,0.0327,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,24,29,29,0.711,712,2153,0.8034,3.1588,0.0598,0.011,0.011,-0.707,0.707,0.0003,0.031,4.7124,0.0002,0.0,-0.0037,0.0,0.0015,0.0,-0.0016,-0.0009,0.0293,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,25,30,30,0.735,736,2240,0.8034,3.1588,0.0598,0.011,0.011,-0.707,0.707,0.0003,0.0311,4.7124,0.0002,0.0,-0.0032,0.0,0.0014,0.0,-0.0002,-0.0007,0.0057,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,26,31,31,0.761000037,762,2333,0.8034,3.1588,0.0597,0.011,0.011,-0.707,0.707,0.0003,0.0311,4.7124,0.0002,0.0,-0.003,0.0,0.0012,0.0,0.0002,-0.0011,0.0081,0.0,0.0
95_pr2_speed_steps_table_and_turn_recovery_20260914,27,32,32,0.785,786,2400,0.8034,3.1588,0.0596,0.011,0.011,-0.707,0.707,0.0002,0.0311,4.7124,0.0002,0.0,-0.0026,0.0,0.0011,0.0,0.0005,0.0016,0.0084,0.0,0.0
