event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
430,33055321140172,/autodrive/roboracer_1/imu,Imu,1789404106392494596,,"{""angular_velocity_x_radps"":-0.0022,""angular_velocity_y_radps"":1.6066,""ax_mps2"":-11.3508,""ay_mps2"":0.0246,""az_mps2"":83.3081,""orientation_w"":0.7071,""orientation_x"":0.0043,""orientation_y"":0.0043,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
437,33055343229308,/autodrive/roboracer_1/imu,Imu,1789404106418494609,,"{""angular_velocity_x_radps"":-0.0004,""angular_velocity_y_radps"":0.1263,""ax_mps2"":-0.9317,""ay_mps2"":-0.0047,""az_mps2"":4.9889,""orientation_w"":0.707,""orientation_x"":0.0091,""orientation_y"":0.0091,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
446,33055368763593,/autodrive/roboracer_1/imu,Imu,1789404106442494596,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0293,""ax_mps2"":-0.0942,""ay_mps2"":-0.0008,""az_mps2"":0.6356,""orientation_w"":0.707,""orientation_x"":0.0096,""orientation_y"":0.0096,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
455,33055394291787,/autodrive/roboracer_1/imu,Imu,1789404106467494604,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0184,""ax_mps2"":-0.0201,""ay_mps2"":0.0007,""az_mps2"":0.2767,""orientation_w"":0.707,""orientation_x"":0.0098,""orientation_y"":0.0098,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
464,33055419952710,/autodrive/roboracer_1/imu,Imu,1789404106492494610,,"{""angular_velocity_x_radps"":0.0003,""angular_velocity_y_radps"":0.0158,""ax_mps2"":-0.0117,""ay_mps2"":-0.0006,""az_mps2"":0.2261,""orientation_w"":0.707,""orientation_x"":0.0099,""orientation_y"":0.01,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
473,33055445034596,/autodrive/roboracer_1/imu,Imu,1789404106518494596,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0138,""ax_mps2"":-0.0107,""ay_mps2"":-0.0003,""az_mps2"":0.2063,""orientation_w"":0.707,""orientation_x"":0.0101,""orientation_y"":0.0101,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
482,33055469561569,/autodrive/roboracer_1/imu,Imu,1789404106543494596,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0123,""ax_mps2"":-0.0091,""ay_mps2"":0.0002,""az_mps2"":0.1839,""orientation_w"":0.707,""orientation_x"":0.0102,""orientation_y"":0.0102,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
491,33055494150329,/autodrive/roboracer_1/imu,Imu,1789404106567494596,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0109,""ax_mps2"":-0.008,""ay_mps2"":0.0006,""az_mps2"":0.1581,""orientation_w"":0.707,""orientation_x"":0.0103,""orientation_y"":0.0103,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
499,33055519541165,/autodrive/roboracer_1/imu,Imu,1789404106592494596,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0097,""ax_mps2"":-0.0067,""ay_mps2"":0.0,""az_mps2"":0.1347,""orientation_w"":0.707,""orientation_x"":0.0104,""orientation_y"":0.0104,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
509,33055544131818,/autodrive/roboracer_1/imu,Imu,1789404106618494627,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0085,""ax_mps2"":-0.0071,""ay_mps2"":0.0005,""az_mps2"":0.1283,""orientation_w"":0.707,""orientation_x"":0.0105,""orientation_y"":0.0105,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
518,33055568871891,/autodrive/roboracer_1/imu,Imu,1789404106643494596,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0076,""ax_mps2"":-0.0059,""ay_mps2"":-0.0009,""az_mps2"":0.1123,""orientation_w"":0.707,""orientation_x"":0.0105,""orientation_y"":0.0105,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
527,33055593501087,/autodrive/roboracer_1/imu,Imu,1789404106667494622,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0067,""ax_mps2"":-0.0041,""ay_mps2"":-0.0002,""az_mps2"":0.0673,""orientation_w"":0.707,""orientation_x"":0.0106,""orientation_y"":0.0106,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
536,33055619941864,/autodrive/roboracer_1/imu,Imu,1789404106692494628,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0059,""ax_mps2"":-0.004,""ay_mps2"":-0.0001,""az_mps2"":0.0773,""orientation_w"":0.707,""orientation_x"":0.0106,""orientation_y"":0.0107,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
545,33055644120945,/autodrive/roboracer_1/imu,Imu,1789404106717494596,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0053,""ax_mps2"":-0.0032,""ay_mps2"":-0.0016,""az_mps2"":0.0749,""orientation_w"":0.707,""orientation_x"":0.0107,""orientation_y"":0.0107,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
554,33055668768515,/autodrive/roboracer_1/imu,Imu,1789404106743494627,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0046,""ax_mps2"":-0.003,""ay_mps2"":-0.0006,""az_mps2"":0.0528,""orientation_w"":0.707,""orientation_x"":0.0107,""orientation_y"":0.0108,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
563,33055694722198,/autodrive/roboracer_1/imu,Imu,1789404106767494646,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0041,""ax_mps2"":-0.0027,""ay_mps2"":0.0003,""az_mps2"":0.0515,""orientation_w"":0.707,""orientation_x"":0.0108,""orientation_y"":0.0108,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
572,33055719057732,/autodrive/roboracer_1/imu,Imu,1789404106792494596,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0037,""ax_mps2"":-0.0017,""ay_mps2"":0.0004,""az_mps2"":0.0398,""orientation_w"":0.707,""orientation_x"":0.0108,""orientation_y"":0.0108,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
581,33055743922359,/autodrive/roboracer_1/imu,Imu,1789404106818494645,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0032,""ax_mps2"":-0.0019,""ay_mps2"":-0.0005,""az_mps2"":0.0463,""orientation_w"":0.707,""orientation_x"":0.0108,""orientation_y"":0.0109,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
590,33055768167243,/autodrive/roboracer_1/imu,Imu,1789404106842494634,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0029,""ax_mps2"":-0.0019,""ay_mps2"":-0.0003,""az_mps2"":0.0377,""orientation_w"":0.707,""orientation_x"":0.0109,""orientation_y"":0.0109,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
598,33055792903920,/autodrive/roboracer_1/imu,Imu,1789404106867494596,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0025,""ax_mps2"":-0.001,""ay_mps2"":0.0003,""az_mps2"":0.0086,""orientation_w"":0.707,""orientation_x"":0.0109,""orientation_y"":0.0109,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
608,33055818450138,/autodrive/roboracer_1/imu,Imu,1789404106892494646,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0022,""ax_mps2"":-0.0027,""ay_mps2"":-0.0003,""az_mps2"":0.0364,""orientation_w"":0.707,""orientation_x"":0.0109,""orientation_y"":0.0109,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
617,33055844136088,/autodrive/roboracer_1/imu,Imu,1789404106917494596,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.002,""ax_mps2"":-0.001,""ay_mps2"":0.0002,""az_mps2"":0.0203,""orientation_w"":0.707,""orientation_x"":0.0109,""orientation_y"":0.0109,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
626,33055869272456,/autodrive/roboracer_1/imu,Imu,1789404106943494645,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0017,""ax_mps2"":-0.0021,""ay_mps2"":0.0,""az_mps2"":0.0327,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
635,33055893541916,/autodrive/roboracer_1/imu,Imu,1789404106968494596,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0015,""ax_mps2"":-0.0016,""ay_mps2"":-0.0009,""az_mps2"":0.0293,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
644,33055919956455,/autodrive/roboracer_1/imu,Imu,1789404106992494596,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0014,""ax_mps2"":-0.0002,""ay_mps2"":-0.0007,""az_mps2"":0.0057,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
653,33055943947401,/autodrive/roboracer_1/imu,Imu,1789404107018494633,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0012,""ax_mps2"":0.0002,""ay_mps2"":-0.0011,""az_mps2"":0.0081,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
662,33055968866832,/autodrive/roboracer_1/imu,Imu,1789404107042494596,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0011,""ax_mps2"":0.0005,""ay_mps2"":0.0016,""az_mps2"":0.0084,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
670,33055994247108,/autodrive/roboracer_1/imu,Imu,1789404107067494658,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.001,""ax_mps2"":-0.0009,""ay_mps2"":-0.0005,""az_mps2"":0.0199,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
680,33056020767375,/autodrive/roboracer_1/imu,Imu,1789404107093494596,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0008,""ax_mps2"":-0.0017,""ay_mps2"":-0.0005,""az_mps2"":0.0206,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
689,33056044916509,/autodrive/roboracer_1/imu,Imu,1789404107118494657,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0008,""ax_mps2"":-0.0002,""ay_mps2"":0.0003,""az_mps2"":0.0107,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
698,33056069434045,/autodrive/roboracer_1/imu,Imu,1789404107143494633,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0007,""ax_mps2"":-0.0002,""ay_mps2"":-0.0002,""az_mps2"":0.0068,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
706,33056094133763,/autodrive/roboracer_1/imu,Imu,1789404107168494696,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0006,""ax_mps2"":0.0002,""ay_mps2"":0.0014,""az_mps2"":0.0021,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
715,33056120614325,/autodrive/roboracer_1/imu,Imu,1789404107192494658,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0005,""ax_mps2"":-0.0005,""ay_mps2"":0.0008,""az_mps2"":0.0133,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
724,33056144152672,/autodrive/roboracer_1/imu,Imu,1789404107218494596,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0005,""ax_mps2"":-0.0006,""ay_mps2"":-0.0007,""az_mps2"":-0.0014,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
733,33056170363969,/autodrive/roboracer_1/imu,Imu,1789404107242494696,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0004,""ax_mps2"":-0.0012,""ay_mps2"":0.0009,""az_mps2"":0.0115,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
743,33056193652507,/autodrive/roboracer_1/imu,Imu,1789404107268494596,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0004,""ax_mps2"":0.0001,""ay_mps2"":-0.0011,""az_mps2"":-0.0001,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
752,33056219367882,/autodrive/roboracer_1/imu,Imu,1789404107292494686,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0003,""ax_mps2"":-0.0006,""ay_mps2"":-0.0007,""az_mps2"":0.0087,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
761,33056244331085,/autodrive/roboracer_1/imu,Imu,1789404107317494656,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0004,""ax_mps2"":0.0005,""ay_mps2"":0.0004,""az_mps2"":0.0011,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
769,33056268440364,/autodrive/roboracer_1/imu,Imu,1789404107343494676,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0003,""ax_mps2"":0.0002,""ay_mps2"":0.0005,""az_mps2"":-0.0045,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
779,33056294304679,/autodrive/roboracer_1/imu,Imu,1789404107367494596,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0003,""ax_mps2"":0.0001,""ay_mps2"":0.0014,""az_mps2"":0.0091,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
787,33056320021778,/autodrive/roboracer_1/imu,Imu,1789404107393494596,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0003,""ax_mps2"":0.0008,""ay_mps2"":-0.0003,""az_mps2"":-0.0116,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
797,33056344175170,/autodrive/roboracer_1/imu,Imu,1789404107417494686,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0002,""ax_mps2"":-0.0003,""ay_mps2"":-0.0002,""az_mps2"":0.0069,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
806,33056369152709,/autodrive/roboracer_1/imu,Imu,1789404107442494656,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0002,""ax_mps2"":-0.0001,""ay_mps2"":-0.0009,""az_mps2"":0.0033,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
814,33056394561860,/autodrive/roboracer_1/imu,Imu,1789404107467494596,,"{""angular_velocity_x_radps"":-0.0001,""angular_velocity_y_radps"":0.0001,""ax_mps2"":-0.0004,""ay_mps2"":0.0006,""az_mps2"":0.0029,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
824,33056419556081,/autodrive/roboracer_1/imu,Imu,1789404107493494656,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0002,""ax_mps2"":-0.0002,""ay_mps2"":-0.0002,""az_mps2"":0.0079,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
832,33056444183163,/autodrive/roboracer_1/imu,Imu,1789404107518494596,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0002,""ax_mps2"":-0.0012,""ay_mps2"":0.0002,""az_mps2"":-0.0002,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
