event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
3,36685046458276,/autodrive/roboracer_1/imu,Imu,1789407736113295015,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0665,""ax_mps2"":-0.0234,""ay_mps2"":-0.0016,""az_mps2"":0.0497,""orientation_w"":0.7071,""orientation_x"":0.0064,""orientation_y"":0.0064,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
17,36685067136300,/autodrive/roboracer_1/imu,Imu,1789407736139295008,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0585,""ax_mps2"":-0.0214,""ay_mps2"":0.0005,""az_mps2"":0.0436,""orientation_w"":0.7071,""orientation_x"":0.007,""orientation_y"":0.007,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
39,36685092908952,/autodrive/roboracer_1/imu,Imu,1789407736163295012,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0518,""ax_mps2"":-0.0197,""ay_mps2"":-0.0013,""az_mps2"":0.0499,""orientation_w"":0.7071,""orientation_x"":0.0074,""orientation_y"":0.0074,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
57,36685117972172,/autodrive/roboracer_1/imu,Imu,1789407736188295000,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0458,""ax_mps2"":-0.0159,""ay_mps2"":-0.0011,""az_mps2"":0.028,""orientation_w"":0.7071,""orientation_x"":0.0079,""orientation_y"":0.0079,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
76,36685143683930,/autodrive/roboracer_1/imu,Imu,1789407736214295026,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0402,""ax_mps2"":-0.0155,""ay_mps2"":-0.0005,""az_mps2"":0.0274,""orientation_w"":0.7071,""orientation_x"":0.0083,""orientation_y"":0.0083,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
94,36685168957746,/autodrive/roboracer_1/imu,Imu,1789407736239295000,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0355,""ax_mps2"":-0.0117,""ay_mps2"":-0.0001,""az_mps2"":0.0186,""orientation_w"":0.7071,""orientation_x"":0.0086,""orientation_y"":0.0086,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
116,36685193707938,/autodrive/roboracer_1/imu,Imu,1789407736263295021,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0315,""ax_mps2"":-0.0119,""ay_mps2"":0.0,""az_mps2"":0.0347,""orientation_w"":0.7071,""orientation_x"":0.0089,""orientation_y"":0.0089,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
136,36685218830690,/autodrive/roboracer_1/imu,Imu,1789407736289295000,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0276,""ax_mps2"":-0.0096,""ay_mps2"":-0.0001,""az_mps2"":0.0256,""orientation_w"":0.707,""orientation_x"":0.0091,""orientation_y"":0.0091,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
157,36685243249350,/autodrive/roboracer_1/imu,Imu,1789407736315295000,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0243,""ax_mps2"":-0.0085,""ay_mps2"":-0.0001,""az_mps2"":0.009,""orientation_w"":0.707,""orientation_x"":0.0094,""orientation_y"":0.0094,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
178,36685267430724,/autodrive/roboracer_1/imu,Imu,1789407736339295026,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0215,""ax_mps2"":-0.008,""ay_mps2"":0.0,""az_mps2"":0.0178,""orientation_w"":0.707,""orientation_x"":0.0096,""orientation_y"":0.0096,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
199,36685292213367,/autodrive/roboracer_1/imu,Imu,1789407736363295015,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0191,""ax_mps2"":-0.0069,""ay_mps2"":-0.0004,""az_mps2"":0.0232,""orientation_w"":0.707,""orientation_x"":0.0097,""orientation_y"":0.0097,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
220,36685317325799,/autodrive/roboracer_1/imu,Imu,1789407736388295021,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0168,""ax_mps2"":-0.0074,""ay_mps2"":-0.0017,""az_mps2"":0.021,""orientation_w"":0.707,""orientation_x"":0.0099,""orientation_y"":0.0099,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
243,36685344359700,/autodrive/roboracer_1/imu,Imu,1789407736414295000,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0148,""ax_mps2"":-0.0038,""ay_mps2"":0.0007,""az_mps2"":0.0152,""orientation_w"":0.707,""orientation_x"":0.01,""orientation_y"":0.01,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
264,36685370311629,/autodrive/roboracer_1/imu,Imu,1789407736439295050,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.013,""ax_mps2"":-0.0035,""ay_mps2"":0.0011,""az_mps2"":0.0061,""orientation_w"":0.707,""orientation_x"":0.0102,""orientation_y"":0.0102,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
283,36685392468531,/autodrive/roboracer_1/imu,Imu,1789407736463295039,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0115,""ax_mps2"":-0.005,""ay_mps2"":0.0004,""az_mps2"":0.005,""orientation_w"":0.707,""orientation_x"":0.0103,""orientation_y"":0.0103,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
304,36685418200337,/autodrive/roboracer_1/imu,Imu,1789407736489295000,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0101,""ax_mps2"":-0.0036,""ay_mps2"":-0.0014,""az_mps2"":0.0137,""orientation_w"":0.707,""orientation_x"":0.0104,""orientation_y"":0.0104,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
325,36685444486624,/autodrive/roboracer_1/imu,Imu,1789407736514295038,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0089,""ax_mps2"":-0.0038,""ay_mps2"":0.0008,""az_mps2"":0.0192,""orientation_w"":0.707,""orientation_x"":0.0105,""orientation_y"":0.0105,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
346,36685468244813,/autodrive/roboracer_1/imu,Imu,1789407736539295000,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0079,""ax_mps2"":-0.0019,""ay_mps2"":0.0014,""az_mps2"":0.005,""orientation_w"":0.707,""orientation_x"":0.0105,""orientation_y"":0.0105,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
367,36685493241979,/autodrive/roboracer_1/imu,Imu,1789407736564295050,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0069,""ax_mps2"":-0.0025,""ay_mps2"":-0.0008,""az_mps2"":-0.006,""orientation_w"":0.707,""orientation_x"":0.0106,""orientation_y"":0.0106,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
388,36685518278790,/autodrive/roboracer_1/imu,Imu,1789407736588295039,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0062,""ax_mps2"":-0.0024,""ay_mps2"":0.0017,""az_mps2"":0.0154,""orientation_w"":0.707,""orientation_x"":0.0107,""orientation_y"":0.0107,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
409,36685542644980,/autodrive/roboracer_1/imu,Imu,1789407736614295062,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0054,""ax_mps2"":-0.001,""ay_mps2"":-0.0001,""az_mps2"":0.0043,""orientation_w"":0.707,""orientation_x"":0.0107,""orientation_y"":0.0107,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
430,36685568039593,/autodrive/roboracer_1/imu,Imu,1789407736638295051,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0048,""ax_mps2"":-0.0009,""ay_mps2"":0.0004,""az_mps2"":-0.0016,""orientation_w"":0.707,""orientation_x"":0.0107,""orientation_y"":0.0107,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
451,36685592841853,/autodrive/roboracer_1/imu,Imu,1789407736664295000,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0042,""ax_mps2"":-0.0023,""ay_mps2"":-0.0008,""az_mps2"":0.0037,""orientation_w"":0.707,""orientation_x"":0.0108,""orientation_y"":0.0108,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
472,36685618196601,/autodrive/roboracer_1/imu,Imu,1789407736689295050,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0037,""ax_mps2"":-0.0024,""ay_mps2"":0.0005,""az_mps2"":0.0122,""orientation_w"":0.707,""orientation_x"":0.0108,""orientation_y"":0.0108,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
493,36685645917341,/autodrive/roboracer_1/imu,Imu,1789407736714295000,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0033,""ax_mps2"":-0.0002,""ay_mps2"":0.0,""az_mps2"":-0.0125,""orientation_w"":0.707,""orientation_x"":0.0109,""orientation_y"":0.0109,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
514,36685667980888,/autodrive/roboracer_1/imu,Imu,1789407736739295062,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0029,""ax_mps2"":-0.0005,""ay_mps2"":0.0016,""az_mps2"":-0.0021,""orientation_w"":0.707,""orientation_x"":0.0109,""orientation_y"":0.0109,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
535,36685693366063,/autodrive/roboracer_1/imu,Imu,1789407736764295038,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0025,""ax_mps2"":0.0003,""ay_mps2"":-0.0013,""az_mps2"":0.0038,""orientation_w"":0.707,""orientation_x"":0.0109,""orientation_y"":0.0109,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
556,36685719108829,/autodrive/roboracer_1/imu,Imu,1789407736789295000,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0022,""ax_mps2"":-0.001,""ay_mps2"":-0.0012,""az_mps2"":0.0055,""orientation_w"":0.707,""orientation_x"":0.0109,""orientation_y"":0.0109,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
577,36685744818864,/autodrive/roboracer_1/imu,Imu,1789407736814295050,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.002,""ax_mps2"":-0.0004,""ay_mps2"":-0.0001,""az_mps2"":-0.0161,""orientation_w"":0.707,""orientation_x"":0.0109,""orientation_y"":0.0109,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
598,36685768368391,/autodrive/roboracer_1/imu,Imu,1789407736839295000,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0018,""ax_mps2"":-0.001,""ay_mps2"":0.0007,""az_mps2"":0.0046,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
619,36685793120056,/autodrive/roboracer_1/imu,Imu,1789407736864295062,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0016,""ax_mps2"":0.0003,""ay_mps2"":0.0002,""az_mps2"":-0.0081,""orientation_w"":0.707,""orientation_x"":0.011,""orientation_y"":0.011,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
