event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
6,36685048188826,/odom,Odometry,1789407736113295015,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
7,36685048603875,/ekf_odom,Odometry,1789407736113295015,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
10,36685050235740,/odom,Odometry,1789407736113295015,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":13.666765983500294,""y_m"":-3.605385131678133,""yaw_rad"":-1.4087380686602449,""yaw_rate_radps"":0.0}"
20,36685068323700,/odom,Odometry,1789407736139295008,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-1.6082893473878812e-05,""yaw_rate_radps"":0.0}"
21,36685068658699,/ekf_odom,Odometry,1789407736139295008,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-1.608289347387882e-05,""yaw_rate_radps"":0.0}"
24,36685070113702,/odom,Odometry,1789407736139295008,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":13.666765983500294,""y_m"":-3.605385131678133,""yaw_rad"":-1.4087380686602449,""yaw_rate_radps"":0.0}"
42,36685093858506,/odom,Odometry,1789407736163295012,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":13.666765983500294,""y_m"":-3.605385131678133,""yaw_rad"":-1.4087495910512065,""yaw_rate_radps"":0.0}"
45,36685095156453,/odom,Odometry,1789407736163295012,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-2.760528443568333e-05,""yaw_rate_radps"":0.0}"
46,36685095512352,/ekf_odom,Odometry,1789407736163295012,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
60,36685118981879,/odom,Odometry,1789407736188295000,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":13.666765983500294,""y_m"":-3.605385131678133,""yaw_rad"":-1.4087648946371554,""yaw_rate_radps"":0.0}"
61,36685119317830,/ekf_odom,Odometry,1789407736188295000,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":-8.881784197001252e-16,""yaw_rad"":-1.5303585948922557e-05,""yaw_rate_radps"":0.0}"
63,36685120442332,/odom,Odometry,1789407736188295000,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-4.2908870384827955e-05,""yaw_rate_radps"":0.0}"
78,36685144756174,/odom,Odometry,1789407736214295026,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":13.666765983500294,""y_m"":-3.605385131678133,""yaw_rad"":-1.40877785804102,""yaw_rate_radps"":0.0}"
79,36685145090011,/ekf_odom,Odometry,1789407736214295026,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":-4.44085811719364e-16,""y_m"":-6.661270186437037e-16,""yaw_rad"":-2.8266989813507948e-05,""yaw_rate_radps"":0.0}"
83,36685146735502,/odom,Odometry,1789407736214295026,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-5.58722742491913e-05,""yaw_rate_radps"":0.0}"
