event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
43,11813822573423,/odom,Odometry,1789464674964501729,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
52,11813845847860,/odom,Odometry,1789464674989501229,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
61,11813869897071,/odom,Odometry,1789464675014501929,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
70,11813894627112,/odom,Odometry,1789464675039501229,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
79,11813919702193,/odom,Odometry,1789464675064502129,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.1334693275928497,""x_m"":0.001668420678244503,""y_m"":-2.109090877305752e-07,""yaw_rad"":-0.000252824829321874,""yaw_rate_radps"":0.0}"
88,11813944578996,/odom,Odometry,1789464675089501729,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.2662348017215729,""x_m"":0.006664645919315355,""y_m"":-1.384548325873641e-06,""yaw_rad"":-0.00021698554147886462,""yaw_rate_radps"":0.0}"
97,11813968482787,/odom,Odometry,1789464675114501229,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.3981915297031403,""x_m"":0.014969768956923668,""y_m"":-3.065660122205231e-06,""yaw_rad"":-0.00018785175370839005,""yaw_rate_radps"":0.0}"
106,11813994230734,/odom,Odometry,1789464675139501929,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.5291782768011094,""x_m"":0.026562267235321266,""y_m"":-5.089318582640049e-06,""yaw_rad"":-0.00016128065783571624,""yaw_rate_radps"":0.0}"
115,11814019500335,/odom,Odometry,1789464675164501229,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.6593150499105455,""x_m"":0.04141806528070417,""y_m"":-7.349644229831686e-06,""yaw_rad"":-0.00014302149043587953,""yaw_rate_radps"":0.0}"
124,11814044844323,/odom,Odometry,1789464675188501229,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.7834594848632813,""x_m"":0.058731308631440785,""y_m"":-9.680350307386072e-06,""yaw_rad"":-0.00012621819114877475,""yaw_rate_radps"":0.0}"
133,11814069306368,/odom,Odometry,1789464675214501729,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.9167614469051362,""x_m"":0.0808346054076467,""y_m"":-1.2327598430470497e-05,""yaw_rad"":-0.00011331604098230304,""yaw_rate_radps"":0.0}"
142,11814095144813,/odom,Odometry,1789464675239501229,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.0443470000743866,""x_m"":0.10534808680185226,""y_m"":-1.4959493195394665e-05,""yaw_rad"":-0.00010141435267230214,""yaw_rate_radps"":0.0}"
151,11814119442453,/odom,Odometry,1789464675264501929,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.1709948987483978,""x_m"":0.1330404942212223,""y_m"":-1.7646039419245852e-05,""yaw_rad"":-9.261328636522848e-05,""yaw_rate_radps"":0.0}"
160,11814143698657,/odom,Odometry,1789464675289501229,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.2966455847263336,""x_m"":0.16388494114464916,""y_m"":-2.040732556052359e-05,""yaw_rad"":-8.643263011731683e-05,""yaw_rate_radps"":0.0}"
169,11814169474896,/odom,Odometry,1789464675314502129,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.421483322906494,""x_m"":0.19786297808689474,""y_m"":-2.3245251265890275e-05,""yaw_rad"":-8.06120819472067e-05,""yaw_rate_radps"":0.0}"
178,11814195057347,/odom,Odometry,1789464675339501729,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.5454839307785033,""x_m"":0.234949502741388,""y_m"":-2.613361863009947e-05,""yaw_rad"":-7.51516292809562e-05,""yaw_rate_radps"":0.0}"
187,11814219254782,/odom,Odometry,1789464675364501229,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.668599552154541,""x_m"":0.2751249331319607,""y_m"":-2.908376083217979e-05,""yaw_rad"":-7.171137470418643e-05,""yaw_rate_radps"":0.0}"
196,11814244978313,/odom,Odometry,1789464675389501929,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.7909398522377014,""x_m"":0.31837016536524054,""y_m"":-3.207984307093642e-05,""yaw_rad"":-6.685105538295488e-05,""yaw_rate_radps"":0.0}"
205,11814270265928,/odom,Odometry,1789464675414501229,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.912415681552887,""x_m"":0.36466052013106043,""y_m"":-3.510403673903861e-05,""yaw_rad"":-6.381087966156332e-05,""yaw_rate_radps"":0.0}"
214,11814293883739,/odom,Odometry,1789464675439502129,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.033160748004913,""x_m"":0.41398229493959987,""y_m"":-3.82152957653985e-05,""yaw_rad"":-6.235080183958353e-05,""yaw_rate_radps"":0.0}"
223,11814319611719,/odom,Odometry,1789464675464501729,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.1530239190101623,""x_m"":0.46630880472873193,""y_m"":-4.14046349057587e-05,""yaw_rad"":-5.955066452090208e-05,""yaw_rate_radps"":0.0}"
231,11814344822962,/odom,Odometry,1789464675489501229,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.2720709671020507,""x_m"":0.521621119176967,""y_m"":-4.46614590763911e-05,""yaw_rad"":-5.821060435229341e-05,""yaw_rate_radps"":0.0}"
241,11814368608473,/odom,Odometry,1789464675514501929,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.390232298350334,""x_m"":0.5799017995840973,""y_m"":-4.801612866541231e-05,""yaw_rad"":-5.691054941192597e-05,""yaw_rate_radps"":0.0}"
250,11814395047601,/odom,Odometry,1789464675539501229,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.50773438475132,""x_m"":0.6411248649297718,""y_m"":-5.146179489207962e-05,""yaw_rad"":-5.565049938804912e-05,""yaw_rate_radps"":0.0}"
259,11814419429597,/odom,Odometry,1789464675564502129,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.6245081710100173,""x_m"":0.7052799769369732,""y_m"":-5.499292284216801e-05,""yaw_rad"":-5.4430453977794e-05,""yaw_rate_radps"":0.0}"
268,11814444825943,/odom,Odometry,1789464675589501729,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.7403514033555982,""x_m"":0.7723396982535898,""y_m"":-5.8603447307264506e-05,""yaw_rad"":-5.325041288894994e-05,""yaw_rate_radps"":0.0}"
277,11814469458624,/odom,Odometry,1789464675614501229,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.8553760511875153,""x_m"":0.842284556975317,""y_m"":-6.228817005181456e-05,""yaw_rad"":-5.211037583752187e-05,""yaw_rate_radps"":0.0}"
286,11814494469816,/odom,Odometry,1789464675639501929,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.9697622600317,""x_m"":0.9151011467627295,""y_m"":-6.608266991627792e-05,""yaw_rad"":-5.211037583752187e-05,""yaw_rate_radps"":0.0}"
294,11814519042747,/odom,Odometry,1789464675664501229,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.083166948032379,""x_m"":0.9907608856929453,""y_m"":-6.998371323550631e-05,""yaw_rad"":-5.101034255061698e-05,""yaw_rate_radps"":0.0}"
304,11814544503792,/odom,Odometry,1789464675689502129,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.195903103375435,""x_m"":1.0692518062132557,""y_m"":-7.398756198183334e-05,""yaw_rad"":-5.101034255061698e-05,""yaw_rate_radps"":0.0}"
313,11814569708833,/odom,Odometry,1789464675714501729,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.307941393780708,""x_m"":1.1505486218142336,""y_m"":-7.809145187435252e-05,""yaw_rad"":-4.99503127640022e-05,""yaw_rate_radps"":0.0}"
322,11814594321878,/odom,Odometry,1789464675739501229,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.4191471968889235,""x_m"":1.234635946002381,""y_m"":-8.229164002053173e-05,""yaw_rad"":-4.99503127640022e-05,""yaw_rate_radps"":0.0}"
331,11814619812328,/odom,Odometry,1789464675764501929,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.5295997248888016,""x_m"":1.3214972704686827,""y_m"":-8.663039034832742e-05,""yaw_rad"":-4.99503127640022e-05,""yaw_rate_radps"":0.0}"
340,11814644749754,/odom,Odometry,1789464675790501929,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.6437554253816606,""x_m"":1.4147509694007616,""y_m"":-9.1240881156152e-05,""yaw_rad"":-4.893028622277028e-05,""yaw_rate_radps"":0.0}"
