event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
190,12002432185263,/autodrive/roboracer_1/left_encoder,JointState,1789464863577025595,,"{""position"":[0.0],""velocity"":[]}"
191,12002432385872,/autodrive/roboracer_1/right_encoder,JointState,1789464863577025595,,"{""position"":[0.0],""velocity"":[]}"
199,12002455992311,/autodrive/roboracer_1/left_encoder,JointState,1789464863602026595,,"{""position"":[0.0],""velocity"":[]}"
200,12002456207958,/autodrive/roboracer_1/right_encoder,JointState,1789464863602026595,,"{""position"":[0.0],""velocity"":[]}"
209,12002481582298,/autodrive/roboracer_1/left_encoder,JointState,1789464863627026195,,"{""position"":[0.0],""velocity"":[]}"
210,12002481796844,/autodrive/roboracer_1/right_encoder,JointState,1789464863627026195,,"{""position"":[0.0],""velocity"":[]}"
218,12002506129145,/autodrive/roboracer_1/left_encoder,JointState,1789464863652025595,,"{""position"":[0.0],""velocity"":[]}"
219,12002506359981,/autodrive/roboracer_1/right_encoder,JointState,1789464863652025595,,"{""position"":[0.0],""velocity"":[]}"
227,12002531318164,/autodrive/roboracer_1/left_encoder,JointState,1789464863676025595,,"{""position"":[0.0],""velocity"":[]}"
228,12002531546907,/autodrive/roboracer_1/right_encoder,JointState,1789464863676025595,,"{""position"":[0.0],""velocity"":[]}"
236,12002556822490,/autodrive/roboracer_1/left_encoder,JointState,1789464863699025595,,"{""position"":[0.0],""velocity"":[]}"
237,12002557032246,/autodrive/roboracer_1/right_encoder,JointState,1789464863699025595,,"{""position"":[0.0],""velocity"":[]}"
244,12002580891553,/autodrive/roboracer_1/left_encoder,JointState,1789464863727026595,,"{""position"":[0.0],""velocity"":[]}"
245,12002581099877,/autodrive/roboracer_1/right_encoder,JointState,1789464863727026595,,"{""position"":[0.0],""velocity"":[]}"
253,12002606486971,/autodrive/roboracer_1/left_encoder,JointState,1789464863751025595,,"{""position"":[0.0],""velocity"":[]}"
254,12002606795154,/autodrive/roboracer_1/right_encoder,JointState,1789464863751025595,,"{""position"":[0.0],""velocity"":[]}"
263,12002631332893,/autodrive/roboracer_1/left_encoder,JointState,1789464863777025595,,"{""position"":[0.0],""velocity"":[]}"
264,12002631518153,/autodrive/roboracer_1/right_encoder,JointState,1789464863777025595,,"{""position"":[0.0],""velocity"":[]}"
271,12002659425960,/autodrive/roboracer_1/left_encoder,JointState,1789464863801025595,,"{""position"":[0.0],""velocity"":[]}"
272,12002659658570,/autodrive/roboracer_1/right_encoder,JointState,1789464863801025595,,"{""position"":[0.0],""velocity"":[]}"
280,12002682062446,/autodrive/roboracer_1/left_encoder,JointState,1789464863827025595,,"{""position"":[0.0],""velocity"":[]}"
281,12002682266632,/autodrive/roboracer_1/right_encoder,JointState,1789464863827025595,,"{""position"":[0.0],""velocity"":[]}"
290,12002707367676,/autodrive/roboracer_1/left_encoder,JointState,1789464863852026595,,"{""position"":[0.0],""velocity"":[]}"
291,12002707610495,/autodrive/roboracer_1/right_encoder,JointState,1789464863852026595,,"{""position"":[0.0],""velocity"":[]}"
299,12002732424426,/autodrive/roboracer_1/left_encoder,JointState,1789464863877026195,,"{""position"":[9.0419],""velocity"":[]}"
300,12002732641285,/autodrive/roboracer_1/right_encoder,JointState,1789464863877026195,,"{""position"":[9.0419],""velocity"":[]}"
307,12002756679140,/autodrive/roboracer_1/left_encoder,JointState,1789464863902025595,,"{""position"":[18.6368],""velocity"":[]}"
308,12002756906028,/autodrive/roboracer_1/right_encoder,JointState,1789464863902025595,,"{""position"":[18.6368],""velocity"":[]}"
316,12002781992725,/autodrive/roboracer_1/left_encoder,JointState,1789464863927026395,,"{""position"":[28.2351],""velocity"":[]}"
317,12002782204956,/autodrive/roboracer_1/right_encoder,JointState,1789464863927026395,,"{""position"":[28.2351],""velocity"":[]}"
325,12002806574437,/autodrive/roboracer_1/left_encoder,JointState,1789464863952025595,,"{""position"":[37.83],""velocity"":[]}"
326,12002806808760,/autodrive/roboracer_1/right_encoder,JointState,1789464863952025595,,"{""position"":[37.83],""velocity"":[]}"
334,12002830985426,/autodrive/roboracer_1/left_encoder,JointState,1789464863977026595,,"{""position"":[47.4282],""velocity"":[]}"
335,12002831202556,/autodrive/roboracer_1/right_encoder,JointState,1789464863977026595,,"{""position"":[47.4282],""velocity"":[]}"
344,12002856710636,/autodrive/roboracer_1/left_encoder,JointState,1789464864002026195,,"{""position"":[57.0232],""velocity"":[]}"
345,12002856970176,/autodrive/roboracer_1/right_encoder,JointState,1789464864002026195,,"{""position"":[57.0232],""velocity"":[]}"
353,12002881999290,/autodrive/roboracer_1/left_encoder,JointState,1789464864027025595,,"{""position"":[66.6214],""velocity"":[]}"
354,12002882183528,/autodrive/roboracer_1/right_encoder,JointState,1789464864027025595,,"{""position"":[66.6214],""velocity"":[]}"
362,12002907714932,/autodrive/roboracer_1/left_encoder,JointState,1789464864052026395,,"{""position"":[76.2164],""velocity"":[]}"
363,12002908030157,/autodrive/roboracer_1/right_encoder,JointState,1789464864052026395,,"{""position"":[76.2164],""velocity"":[]}"
371,12002930878251,/autodrive/roboracer_1/left_encoder,JointState,1789464864076026595,,"{""position"":[85.4284],""velocity"":[]}"
372,12002931094179,/autodrive/roboracer_1/right_encoder,JointState,1789464864076026595,,"{""position"":[85.4284],""velocity"":[]}"
380,12002957223442,/autodrive/roboracer_1/left_encoder,JointState,1789464864101026195,,"{""position"":[95.0266],""velocity"":[]}"
381,12002957494564,/autodrive/roboracer_1/right_encoder,JointState,1789464864101026195,,"{""position"":[95.0266],""velocity"":[]}"
388,12002981735830,/autodrive/roboracer_1/left_encoder,JointState,1789464864127026195,,"{""position"":[105.0077],""velocity"":[]}"
389,12002981918555,/autodrive/roboracer_1/right_encoder,JointState,1789464864127026195,,"{""position"":[105.0077],""velocity"":[]}"
398,12003006235644,/autodrive/roboracer_1/left_encoder,JointState,1789464864151026395,,"{""position"":[114.2198],""velocity"":[]}"
399,12003006400335,/autodrive/roboracer_1/right_encoder,JointState,1789464864151026395,,"{""position"":[114.2198],""velocity"":[]}"
407,12003031837130,/autodrive/roboracer_1/left_encoder,JointState,1789464864177026395,,"{""position"":[124.2009],""velocity"":[]}"
408,12003032138880,/autodrive/roboracer_1/right_encoder,JointState,1789464864177026395,,"{""position"":[124.2009],""velocity"":[]}"
416,12003056807213,/autodrive/roboracer_1/left_encoder,JointState,1789464864202025595,,"{""position"":[133.7959],""velocity"":[]}"
417,12003057023131,/autodrive/roboracer_1/right_encoder,JointState,1789464864202025595,,"{""position"":[133.7959],""velocity"":[]}"
424,12003081530850,/autodrive/roboracer_1/left_encoder,JointState,1789464864227026595,,"{""position"":[143.3941],""velocity"":[]}"
425,12003081736458,/autodrive/roboracer_1/right_encoder,JointState,1789464864227026595,,"{""position"":[143.3941],""velocity"":[]}"
434,12003107202258,/autodrive/roboracer_1/left_encoder,JointState,1789464864252026195,,"{""position"":[152.989],""velocity"":[]}"
435,12003107417254,/autodrive/roboracer_1/right_encoder,JointState,1789464864252026195,,"{""position"":[152.989],""velocity"":[]}"
443,12003131688827,/autodrive/roboracer_1/left_encoder,JointState,1789464864277025595,,"{""position"":[162.5872],""velocity"":[]}"
444,12003131896579,/autodrive/roboracer_1/right_encoder,JointState,1789464864277025595,,"{""position"":[162.5872],""velocity"":[]}"
452,12003158940521,/autodrive/roboracer_1/left_encoder,JointState,1789464864302026395,,"{""position"":[172.1822],""velocity"":[]}"
453,12003159159384,/autodrive/roboracer_1/right_encoder,JointState,1789464864302026395,,"{""position"":[172.1855],""velocity"":[]}"
460,12003180982621,/autodrive/roboracer_1/left_encoder,JointState,1789464864328026495,,"{""position"":[182.1633],""velocity"":[]}"
461,12003181227524,/autodrive/roboracer_1/right_encoder,JointState,1789464864328026495,,"{""position"":[182.1633],""velocity"":[]}"
469,12003206969395,/autodrive/roboracer_1/left_encoder,JointState,1789464864351026195,,"{""position"":[190.9925],""velocity"":[]}"
470,12003207286394,/autodrive/roboracer_1/right_encoder,JointState,1789464864351026195,,"{""position"":[190.9925],""velocity"":[]}"
479,12003231977139,/autodrive/roboracer_1/left_encoder,JointState,1789464864377026195,,"{""position"":[200.9736],""velocity"":[]}"
480,12003232217643,/autodrive/roboracer_1/right_encoder,JointState,1789464864377026195,,"{""position"":[200.9736],""velocity"":[]}"
487,12003256591339,/autodrive/roboracer_1/left_encoder,JointState,1789464864402025595,,"{""position"":[210.5685],""velocity"":[]}"
488,12003256793191,/autodrive/roboracer_1/right_encoder,JointState,1789464864402025595,,"{""position"":[210.5718],""velocity"":[]}"
496,12003282037632,/autodrive/roboracer_1/left_encoder,JointState,1789464864427026395,,"{""position"":[220.1667],""velocity"":[]}"
497,12003282254992,/autodrive/roboracer_1/right_encoder,JointState,1789464864427026395,,"{""position"":[220.1667],""velocity"":[]}"
505,12003307167056,/autodrive/roboracer_1/left_encoder,JointState,1789464864452025595,,"{""position"":[229.7617],""velocity"":[]}"
506,12003307421366,/autodrive/roboracer_1/right_encoder,JointState,1789464864452025595,,"{""position"":[229.7617],""velocity"":[]}"
515,12003331590465,/autodrive/roboracer_1/left_encoder,JointState,1789464864477026595,,"{""position"":[239.3599],""velocity"":[]}"
516,12003331787608,/autodrive/roboracer_1/right_encoder,JointState,1789464864477026595,,"{""position"":[239.3599],""velocity"":[]}"
524,12003356871556,/autodrive/roboracer_1/left_encoder,JointState,1789464864502026195,,"{""position"":[248.9549],""velocity"":[]}"
525,12003357108634,/autodrive/roboracer_1/right_encoder,JointState,1789464864502026195,,"{""position"":[248.9549],""velocity"":[]}"
533,12003381051315,/autodrive/roboracer_1/left_encoder,JointState,1789464864527025595,,"{""position"":[258.5531],""velocity"":[]}"
534,12003381274607,/autodrive/roboracer_1/right_encoder,JointState,1789464864527025595,,"{""position"":[258.5531],""velocity"":[]}"
542,12003410271830,/autodrive/roboracer_1/left_encoder,JointState,1789464864552026395,,"{""position"":[268.148],""velocity"":[]}"
543,12003410494049,/autodrive/roboracer_1/right_encoder,JointState,1789464864552026395,,"{""position"":[268.148],""velocity"":[]}"
550,12003431833883,/autodrive/roboracer_1/left_encoder,JointState,1789464864577025595,,"{""position"":[277.7462],""velocity"":[]}"
551,12003432046935,/autodrive/roboracer_1/right_encoder,JointState,1789464864577025595,,"{""position"":[277.7462],""velocity"":[]}"
559,12003456555877,/autodrive/roboracer_1/left_encoder,JointState,1789464864602026595,,"{""position"":[287.3412],""velocity"":[]}"
560,12003456759421,/autodrive/roboracer_1/right_encoder,JointState,1789464864602026595,,"{""position"":[287.3412],""velocity"":[]}"
568,12003480862355,/autodrive/roboracer_1/left_encoder,JointState,1789464864627026195,,"{""position"":[296.9361],""velocity"":[]}"
569,12003481069707,/autodrive/roboracer_1/right_encoder,JointState,1789464864627026195,,"{""position"":[296.9361],""velocity"":[]}"
577,12003506230831,/autodrive/roboracer_1/left_encoder,JointState,1789464864651026395,,"{""position"":[306.1515],""velocity"":[]}"
578,12003506452109,/autodrive/roboracer_1/right_encoder,JointState,1789464864651026395,,"{""position"":[306.1515],""velocity"":[]}"
587,12003533277047,/autodrive/roboracer_1/left_encoder,JointState,1789464864677026395,,"{""position"":[316.1293],""velocity"":[]}"
588,12003533519094,/autodrive/roboracer_1/right_encoder,JointState,1789464864677026395,,"{""position"":[316.1293],""velocity"":[]}"
596,12003556636626,/autodrive/roboracer_1/left_encoder,JointState,1789464864702025595,,"{""position"":[325.7275],""velocity"":[]}"
597,12003556903922,/autodrive/roboracer_1/right_encoder,JointState,1789464864702025595,,"{""position"":[325.7275],""velocity"":[]}"
605,12003581831614,/autodrive/roboracer_1/left_encoder,JointState,1789464864727026595,,"{""position"":[335.3225],""velocity"":[]}"
606,12003582077960,/autodrive/roboracer_1/right_encoder,JointState,1789464864727026595,,"{""position"":[335.3225],""velocity"":[]}"
613,12003607296652,/autodrive/roboracer_1/left_encoder,JointState,1789464864752026195,,"{""position"":[344.9207],""velocity"":[]}"
614,12003607465912,/autodrive/roboracer_1/right_encoder,JointState,1789464864752026195,,"{""position"":[344.9207],""velocity"":[]}"
623,12003631881136,/autodrive/roboracer_1/left_encoder,JointState,1789464864777025595,,"{""position"":[354.5157],""velocity"":[]}"
624,12003632103316,/autodrive/roboracer_1/right_encoder,JointState,1789464864777025595,,"{""position"":[354.5157],""velocity"":[]}"
632,12003659115868,/autodrive/roboracer_1/left_encoder,JointState,1789464864802026395,,"{""position"":[364.1106],""velocity"":[]}"
633,12003659284898,/autodrive/roboracer_1/right_encoder,JointState,1789464864802026395,,"{""position"":[364.1139],""velocity"":[]}"
641,12003681387292,/autodrive/roboracer_1/left_encoder,JointState,1789464864826026595,,"{""position"":[373.326],""velocity"":[]}"
642,12003681571780,/autodrive/roboracer_1/right_encoder,JointState,1789464864826026595,,"{""position"":[373.326],""velocity"":[]}"
