run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
high_speed_constant_075_nolidar_40hz_retry_20260915,1,5,5,8.868,8869,14268,0.8027,3.1585,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,-0.0034,0.0,0.0
high_speed_constant_075_nolidar_40hz_retry_20260915,2,6,6,8.893001,8894,14313,0.8027,3.1585,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0007,-0.0033,0.0,0.0
high_speed_constant_075_nolidar_40hz_retry_20260915,3,7,7,8.918,8919,14347,0.8027,3.1585,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0009,0.0002,0.0108,0.0,0.0
high_speed_constant_075_nolidar_40hz_retry_20260915,4,8,8,8.943001,8944,14389,0.8027,3.1585,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7124,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,-0.0002,-0.0045,0.0,0.0
high_speed_constant_075_nolidar_40hz_retry_20260915,5,9,9,8.969001,8970,14437,0.8027,3.1568,0.0589,0.0104,0.0104,-0.707,0.707,0.0,0.0294,4.7124,0.1325,0.0,0.0032,0.0,-0.1045,0.0,5.3358,0.0003,0.1323,7.8474,7.8474
high_speed_constant_075_nolidar_40hz_retry_20260915,6,10,10,8.994,8995,14491,0.8027,3.1517,0.0585,0.0095,0.0095,-0.707,0.707,0.0,0.0268,4.7124,0.2656,0.0,0.0063,0.0,-0.0999,0.0,5.3101,-0.0003,0.1437,15.8389,15.8389
high_speed_constant_075_nolidar_40hz_retry_20260915,7,11,11,9.019,9020,14545,0.8027,3.1434,0.0581,0.0087,0.0087,-0.7071,0.7071,0.0,0.0245,4.7124,0.3979,0.0,0.009,0.0,-0.0889,0.0,5.2762,0.0004,0.1348,23.8303,23.8303
high_speed_constant_075_nolidar_40hz_retry_20260915,8,12,12,9.043,9044,14594,0.8027,3.1322,0.0577,0.0079,0.0079,-0.7071,0.7071,0.0,0.0225,4.7124,0.5241,0.0,0.0111,0.0,-0.079,0.0,5.238,0.0007,0.1137,31.5043,31.5043
high_speed_constant_075_nolidar_40hz_retry_20260915,9,13,13,9.069,9070,14636,0.8027,3.1167,0.0574,0.0073,0.0073,-0.7071,0.7071,0.0,0.0205,4.7124,0.6599,0.0,0.0129,0.0,-0.0695,0.0,5.1989,0.0006,0.0974,39.8164,39.8164
high_speed_constant_075_nolidar_40hz_retry_20260915,10,14,14,9.094001,9095,14687,0.8027,3.0985,0.0572,0.0067,0.0067,-0.7071,0.7071,0.0,0.0189,4.7124,0.7896,0.0,0.0144,0.0,-0.0614,0.0,5.1668,-0.0008,0.0957,47.8078,47.8078
high_speed_constant_075_nolidar_40hz_retry_20260915,11,15,15,9.118,9119,14740,0.8028,3.078,0.0569,0.0062,0.0062,-0.7071,0.7071,0.0,0.0175,4.7124,0.9132,0.0,0.0155,0.0,-0.0545,0.0,5.1297,0.0009,0.0796,55.4786,55.4786
high_speed_constant_075_nolidar_40hz_retry_20260915,12,16,16,9.144,9145,14796,0.8028,3.0524,0.0567,0.0057,0.0057,-0.7071,0.7071,0.0,0.0162,4.7124,1.0463,0.0,0.0165,0.0,-0.048,0.0,5.097,-0.0001,0.0809,63.7907,63.7907
high_speed_constant_075_nolidar_40hz_retry_20260915,13,17,17,9.168,9169,14849,0.8028,3.0258,0.0565,0.0053,0.0053,-0.7071,0.7071,0.0,0.0151,4.7124,1.1682,0.0,0.0172,0.0,-0.0426,0.0,5.0613,0.0001,0.0686,71.4614,71.4614
high_speed_constant_075_nolidar_40hz_retry_20260915,14,18,18,9.193001,9194,14910,0.8028,2.9949,0.0564,0.005,0.005,-0.7071,0.7071,0.0,0.0141,4.7124,1.2944,0.0,0.0179,0.0,-0.0377,0.0,5.0334,-0.0002,0.0786,79.4528,79.4528
high_speed_constant_075_nolidar_40hz_retry_20260915,15,19,19,9.219001,9220,14968,0.8028,2.9595,0.0562,0.0047,0.0047,-0.7071,0.7071,0.0,0.0132,4.7124,1.4247,0.0,0.0184,0.0,-0.0331,0.0,4.9881,-0.0007,0.05,87.765,87.765
high_speed_constant_075_nolidar_40hz_retry_20260915,16,20,20,9.243,9244,15020,0.8028,2.9238,0.0561,0.0044,0.0044,-0.7071,0.7071,0.0,0.0124,4.7124,1.5443,0.0,0.0189,0.0,-0.0294,0.0,4.9586,-0.0008,0.0531,95.4357,95.4357
high_speed_constant_075_nolidar_40hz_retry_20260915,17,21,21,9.269,9270,15075,0.8028,2.8819,0.056,0.0041,0.0041,-0.7071,0.7071,0.0,0.0117,4.7124,1.6728,0.0,0.0194,0.0,-0.0259,0.0,4.9274,-0.0003,0.0586,103.7478,103.7478
high_speed_constant_075_nolidar_40hz_retry_20260915,18,22,22,9.294001,9295,15135,0.8028,2.8385,0.0559,0.0039,0.0039,-0.7071,0.7071,0.0,0.0111,4.7124,1.7956,0.0,0.0197,0.0,-0.0229,0.0,4.8924,0.0003,0.0515,111.7393,111.7393
high_speed_constant_075_nolidar_40hz_retry_20260915,19,23,23,9.319,9320,15191,0.8028,2.792,0.0558,0.0037,0.0037,-0.7071,0.7071,0.0,0.0106,4.7124,1.9175,0.0,0.0201,0.0,-0.0202,0.0,4.8604,0.0,0.052,119.7307,119.7307
high_speed_constant_075_nolidar_40hz_retry_20260915,20,24,24,9.344001,9345,15247,0.8028,2.7425,0.0557,0.0036,0.0036,-0.7071,0.7071,0.0,0.0101,4.7124,2.0386,0.0,0.0204,0.0,-0.0179,0.0,4.8259,-0.0001,0.0455,127.7221,127.7221
high_speed_constant_075_nolidar_40hz_retry_20260915,21,25,25,9.369,9370,15304,0.8028,2.6899,0.0556,0.0034,0.0034,-0.7071,0.7071,0.0,0.0097,4.7124,2.1589,0.0,0.0208,0.0,-0.0158,0.0,4.7995,0.0006,0.0587,135.7135,135.7168
high_speed_constant_075_nolidar_40hz_retry_20260915,22,26,26,9.391001,9392,15353,0.8028,2.6412,0.0556,0.0033,0.0033,-0.7071,0.7071,0.0,0.0094,4.7124,2.264,0.0,0.0211,0.0,-0.0142,0.0,4.7669,-0.0011,0.0474,142.7461,142.7494
