event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
24,13288145536188,/autodrive/roboracer_1/left_encoder,JointState,1789466149315197910,,"{""position"":[0.0],""velocity"":[]}"
25,13288145679307,/autodrive/roboracer_1/right_encoder,JointState,1789466149315197910,,"{""position"":[0.0],""velocity"":[]}"
32,13288170401514,/autodrive/roboracer_1/left_encoder,JointState,1789466149341197910,,"{""position"":[0.0],""velocity"":[]}"
33,13288170520788,/autodrive/roboracer_1/right_encoder,JointState,1789466149341197910,,"{""position"":[0.0],""velocity"":[]}"
41,13288194050864,/autodrive/roboracer_1/left_encoder,JointState,1789466149365198250,,"{""position"":[0.0],""velocity"":[]}"
42,13288194182191,/autodrive/roboracer_1/right_encoder,JointState,1789466149365198250,,"{""position"":[0.0],""velocity"":[]}"
51,13288220343114,/autodrive/roboracer_1/left_encoder,JointState,1789466149390197910,,"{""position"":[7.53],""velocity"":[]}"
52,13288220482787,/autodrive/roboracer_1/right_encoder,JointState,1789466149390197910,,"{""position"":[7.53],""velocity"":[]}"
59,13288244118221,/autodrive/roboracer_1/left_encoder,JointState,1789466149415197910,,"{""position"":[15.5214],""velocity"":[]}"
60,13288244265818,/autodrive/roboracer_1/right_encoder,JointState,1789466149415197910,,"{""position"":[15.5214],""velocity"":[]}"
68,13288270628510,/autodrive/roboracer_1/left_encoder,JointState,1789466149441197910,,"{""position"":[23.8303],""velocity"":[]}"
69,13288270762162,/autodrive/roboracer_1/right_encoder,JointState,1789466149441197910,,"{""position"":[23.8303],""velocity"":[]}"
77,13288295995540,/autodrive/roboracer_1/left_encoder,JointState,1789466149466197910,,"{""position"":[31.8217],""velocity"":[]}"
78,13288296143078,/autodrive/roboracer_1/right_encoder,JointState,1789466149466197910,,"{""position"":[31.825],""velocity"":[]}"
87,13288319304460,/autodrive/roboracer_1/left_encoder,JointState,1789466149490198250,,"{""position"":[39.4957],""velocity"":[]}"
88,13288319470112,/autodrive/roboracer_1/right_encoder,JointState,1789466149490198250,,"{""position"":[39.4957],""velocity"":[]}"
95,13288344199583,/autodrive/roboracer_1/left_encoder,JointState,1789466149515198350,,"{""position"":[47.4871],""velocity"":[]}"
96,13288344359844,/autodrive/roboracer_1/right_encoder,JointState,1789466149515198350,,"{""position"":[47.4871],""velocity"":[]}"
104,13288369173834,/autodrive/roboracer_1/left_encoder,JointState,1789466149540197910,,"{""position"":[55.4786],""velocity"":[]}"
105,13288369326812,/autodrive/roboracer_1/right_encoder,JointState,1789466149540197910,,"{""position"":[55.4786],""velocity"":[]}"
112,13288393335448,/autodrive/roboracer_1/left_encoder,JointState,1789466149565197910,,"{""position"":[63.47],""velocity"":[]}"
113,13288393457237,/autodrive/roboracer_1/right_encoder,JointState,1789466149565197910,,"{""position"":[63.47],""velocity"":[]}"
