run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
high_speed_constant_075_repeat2_nolidar_40hz_20260915,1,5,5,4.09,4091,14426,0.8021,3.1585,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7123,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0095,0.0,0.0
high_speed_constant_075_repeat2_nolidar_40hz_20260915,2,6,6,4.116,4117,14561,0.8021,3.1585,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7123,0.0,0.0,0.0001,0.0,0.0001,0.0,-0.0007,-0.0007,0.0047,0.0,0.0
high_speed_constant_075_repeat2_nolidar_40hz_20260915,3,7,7,4.14000034,4141,14682,0.8021,3.1585,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0313,4.7123,0.0,0.0,0.0001,0.0,0.0001,0.0,-0.0006,0.0005,0.0015,0.0,0.0
high_speed_constant_075_repeat2_nolidar_40hz_20260915,4,8,8,4.165,4166,14813,0.8021,3.157,0.0589,0.0104,0.0104,-0.7071,0.707,0.0,0.0295,4.7123,0.1271,0.0,0.003,0.0,-0.104,0.0,5.3417,0.0013,0.1442,7.53,7.53
high_speed_constant_075_repeat2_nolidar_40hz_20260915,5,9,9,4.19,4191,14931,0.8021,3.152,0.0585,0.0095,0.0095,-0.7071,0.707,0.0,0.0269,4.7123,0.2603,0.0,0.0061,0.0,-0.1004,0.0,5.307,0.0004,0.1327,15.5214,15.5214
high_speed_constant_075_repeat2_nolidar_40hz_20260915,6,10,10,4.216,4217,15058,0.8022,3.1434,0.0581,0.0087,0.0087,-0.7071,0.707,0.0,0.0245,4.7123,0.3979,0.0,0.0089,0.0,-0.0889,0.0,5.2852,0.0013,0.1573,23.8303,23.8303
high_speed_constant_075_repeat2_nolidar_40hz_20260915,7,11,11,4.241,4242,15176,0.8022,3.1317,0.0577,0.0079,0.0079,-0.7071,0.707,0.0,0.0224,4.7123,0.5293,0.0,0.0111,0.0,-0.0785,0.0,5.2365,-0.0008,0.1128,31.8217,31.825
high_speed_constant_075_repeat2_nolidar_40hz_20260915,8,12,12,4.26500034,4266,15290,0.8022,3.1174,0.0574,0.0073,0.0073,-0.7071,0.707,0.0,0.0206,4.7123,0.6547,0.0,0.0128,0.0001,-0.0698,0.0,5.1967,0.0006,0.0888,39.4957,39.4957
high_speed_constant_075_repeat2_nolidar_40hz_20260915,9,13,13,4.29000044,4291,15391,0.8022,3.0993,0.0572,0.0067,0.0067,-0.7071,0.707,0.0,0.019,4.7123,0.7844,0.0,0.0143,0.0001,-0.0618,0.0,5.1759,-0.0028,0.1152,47.4871,47.4871
high_speed_constant_075_repeat2_nolidar_40hz_20260915,10,14,14,4.315,4316,15526,0.8022,3.078,0.0569,0.0062,0.0062,-0.7071,0.7071,0.0,0.0175,4.7123,0.9132,0.0,0.0154,0.0,-0.0546,0.0,5.1228,0.0015,0.0624,55.4786,55.4786
high_speed_constant_075_repeat2_nolidar_40hz_20260915,11,15,15,4.34,4341,15656,0.8022,3.0535,0.0567,0.0057,0.0057,-0.7071,0.7071,0.0,0.0162,4.7123,1.0411,0.0,0.0164,0.0,-0.0482,0.0,5.1085,-0.003,0.1058,63.47,63.47
high_speed_constant_075_repeat2_nolidar_40hz_20260915,12,16,16,4.366,4367,15789,0.8022,3.0246,0.0565,0.0053,0.0053,-0.7071,0.7071,0.0,0.0151,4.7123,1.1732,0.0,0.0172,0.0,-0.0424,0.0,5.0757,-0.0013,0.1072,71.7821,71.7821
high_speed_constant_075_repeat2_nolidar_40hz_20260915,13,17,17,4.39000034,4391,15914,0.8022,2.995,0.0564,0.005,0.005,-0.7071,0.7071,0.0,0.0141,4.7123,1.2944,0.0,0.0178,0.0,-0.0377,0.0,5.0199,-0.0001,0.0457,79.4528,79.4528
high_speed_constant_075_repeat2_nolidar_40hz_20260915,14,18,18,4.41500044,4416,16046,0.8022,2.961,0.0562,0.0047,0.0047,-0.7071,0.7071,0.0,0.0132,4.7123,1.4197,0.0,0.0184,0.0,-0.0333,0.0,5.001,0.0019,0.0777,87.4443,87.4443
high_speed_constant_075_repeat2_nolidar_40hz_20260915,15,19,19,4.44,4441,16177,0.8023,2.9238,0.0561,0.0044,0.0044,-0.7071,0.7071,0.0,0.0124,4.7123,1.5442,0.0,0.0188,0.0,-0.0294,0.0,4.9673,-0.0019,0.0743,95.4357,95.4357
high_speed_constant_075_repeat2_nolidar_40hz_20260915,16,20,20,4.466,4467,16311,0.8023,2.8819,0.056,0.0041,0.0041,-0.7071,0.7071,0.0,0.0117,4.7123,1.6728,0.0,0.0192,0.0,-0.0259,0.0,4.9252,-0.0012,0.0536,103.7478,103.7478
high_speed_constant_075_repeat2_nolidar_40hz_20260915,17,21,21,4.49000025,4491,16405,0.8023,2.8403,0.0559,0.0039,0.0039,-0.7071,0.7071,0.0,0.0111,4.7123,1.7907,0.0,0.0197,0.0,-0.023,0.0,4.895,-0.0004,0.0551,111.4185,111.4218
high_speed_constant_075_repeat2_nolidar_40hz_20260915,18,22,22,4.51500034,4516,16520,0.8023,2.7939,0.0558,0.0037,0.0037,-0.7071,0.7071,0.0,0.0106,4.7123,1.9126,0.0,0.0201,0.0001,-0.0204,0.0,4.8689,-0.0017,0.0691,119.4132,119.4132
high_speed_constant_075_repeat2_nolidar_40hz_20260915,19,23,23,4.54100037,4542,16646,0.8023,2.7425,0.0557,0.0036,0.0036,-0.7071,0.7071,0.0,0.0101,4.7123,2.0386,0.0,0.0203,0.0,-0.0179,0.0,4.8247,-0.0013,0.0423,127.7221,127.7221
high_speed_constant_075_repeat2_nolidar_40hz_20260915,20,24,24,4.565,4566,16755,0.8023,2.6921,0.0556,0.0034,0.0034,-0.7071,0.7071,0.0,0.0097,4.7123,2.154,0.0,0.0207,0.0,-0.0159,0.0,4.8023,0.0004,0.0631,135.3961,135.3961
high_speed_constant_075_repeat2_nolidar_40hz_20260915,21,25,25,4.59,4591,16874,0.8023,2.6367,0.0556,0.0033,0.0033,-0.7071,0.7071,0.0,0.0093,4.7123,2.2735,0.0,0.021,0.0,-0.0141,0.0,4.7578,-0.0009,0.0317,143.3875,143.3875
high_speed_constant_075_repeat2_nolidar_40hz_20260915,22,26,26,4.61500025,4616,16982,0.8023,2.5783,0.0555,0.0032,0.0032,-0.7071,0.7071,0.0,0.009,4.7123,2.3922,0.0,0.0214,0.0,-0.0124,0.0,4.7431,-0.0024,0.0726,151.379,151.379
high_speed_constant_075_repeat2_nolidar_40hz_20260915,23,27,27,4.64000034,4641,17092,0.8023,2.517,0.0555,0.0031,0.0031,-0.7071,0.7071,0.0,0.0087,4.7123,2.5101,0.0,0.0217,0.0,-0.0109,0.0,4.7,0.0011,0.0438,159.3704,159.3704
high_speed_constant_075_repeat2_nolidar_40hz_20260915,24,28,28,4.66500044,4666,17210,0.8023,2.4527,0.0554,0.003,0.003,-0.7071,0.7071,0.0001,0.0085,4.7123,2.6271,0.0,0.0221,0.0,-0.0097,0.0,4.6701,0.0002,0.048,167.3618,167.3618
high_speed_constant_075_repeat2_nolidar_40hz_20260915,25,29,29,4.69,4691,17326,0.8023,2.3855,0.0554,0.0029,0.0029,-0.7071,0.7071,0.0001,0.0082,4.7123,2.7434,0.0,0.0224,0.0,-0.0085,0.0,4.6359,0.0003,0.0395,175.3532,175.3532
high_speed_constant_075_repeat2_nolidar_40hz_20260915,26,30,30,4.715,4716,17426,0.8023,2.3154,0.0554,0.0028,0.0028,-0.7071,0.7071,0.0001,0.008,4.7123,2.8589,0.0,0.0228,0.0,-0.0075,0.0,4.5915,0.0007,0.0085,183.3447,183.3447
high_speed_constant_075_repeat2_nolidar_40hz_20260915,27,31,31,4.741,4742,17543,0.8023,2.2395,0.0553,0.0028,0.0028,-0.7071,0.7071,0.0001,0.0078,4.7123,2.9781,0.0,0.0232,0.0001,-0.0067,0.0,4.5769,-0.0009,0.0506,191.6568,191.6568
high_speed_constant_075_repeat2_nolidar_40hz_20260915,28,32,32,4.76500034,4766,17650,0.8023,2.1666,0.0553,0.0027,0.0027,-0.7071,0.7071,0.0,0.0077,4.7123,3.0874,0.0,0.0236,0.0,-0.0059,0.0,4.5321,0.0017,0.0134,199.3275,199.3275
high_speed_constant_075_repeat2_nolidar_40hz_20260915,29,33,33,4.79000044,4791,17763,0.8023,2.088,0.0553,0.0027,0.0027,-0.7071,0.7071,-0.0001,0.0076,4.7123,3.2006,0.0,0.024,0.0,-0.0053,0.0,4.5255,-0.001,0.0706,207.3189,207.3222
high_speed_constant_075_repeat2_nolidar_40hz_20260915,30,34,34,4.81600046,4817,17888,0.8023,2.0032,0.0553,0.0026,0.0026,-0.7071,0.7071,0.0,0.0074,4.7123,3.3174,0.0,0.0245,0.0,-0.0046,0.0,4.4884,-0.0005,0.0584,215.6311,215.6311
high_speed_constant_075_repeat2_nolidar_40hz_20260915,31,35,35,4.84,4841,17988,0.8023,1.9222,0.0553,0.0026,0.0026,-0.7071,0.7071,0.0,0.0073,4.7123,3.4245,0.0,0.025,0.0,-0.0041,0.0,4.4399,0.0001,0.011,223.3051,223.3051
high_speed_constant_075_repeat2_nolidar_40hz_20260915,32,36,36,4.866,4867,18104,0.8023,1.8316,0.0552,0.0026,0.0026,-0.7071,0.7071,0.0001,0.0072,4.7123,3.5398,0.0,0.0255,0.0,-0.0037,0.0,4.4311,-0.0004,0.0641,231.6139,231.6139
high_speed_constant_075_repeat2_nolidar_40hz_20260915,33,37,37,4.89000034,4891,18209,0.8023,1.7453,0.0552,0.0025,0.0025,-0.7071,0.7071,0.0,0.0071,4.7123,3.6454,0.0,0.0259,0.0,-0.0032,0.0,4.3922,-0.0016,0.0402,239.2879,239.2879
high_speed_constant_075_repeat2_nolidar_40hz_20260915,34,38,38,4.91600037,4917,18327,0.8023,1.649,0.0552,0.0025,0.0025,-0.7071,0.7071,0.0,0.0071,4.7123,3.7591,0.0,0.0265,0.0,-0.0028,0.0,4.3584,-0.0015,0.032,247.5968,247.6001
