run_id,event_index,request_sequence,request_monotonic_ns,packet_sequence,associated_packet_sequence,response_received,bridge_arrival_monotonic_ns,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,sent_throttle_norm,sent_steering_norm,sent_reset,commanded_throttle_norm,commanded_steering_norm,applied_command_sequence,applied_throttle_norm,applied_steering_norm,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_encoder_angles_left,simulator_encoder_angles_right,simulator_feedback_steering_norm,simulator_feedback_throttle_norm,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_orientation_quaternion_w,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_position_x,simulator_position_y,simulator_position_z
high_speed_constant_075_repeat2_nolidar_40hz_20260915,22,5,13288140658516,1,1,True,13288142694193,5,4.09,4091,14426,0.0,0.0,False,0.0,0.0,4,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0095,0.0,0.0,0.0,0.0,0.0314,4.7123,0.707,0.0111,0.0111,-0.707,0.8021,3.1585,0.0592
high_speed_constant_075_repeat2_nolidar_40hz_20260915,30,6,13288166289993,2,2,True,13288168871517,6,4.116,4117,14561,0.0,0.0,False,0.0,0.0,5,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,-0.0007,-0.0007,0.0047,0.0,0.0,0.0001,0.0,0.0313,4.7123,0.707,0.0111,0.0111,-0.707,0.8021,3.1585,0.0592
high_speed_constant_075_repeat2_nolidar_40hz_20260915,39,7,13288190703059,3,3,True,13288192724941,7,4.14000034,4141,14682,0.75,0.0,False,0.75,0.0,6,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,-0.0006,0.0005,0.0015,0.0,0.0,0.0001,0.0,0.0313,4.7123,0.707,0.0111,0.0111,-0.707,0.8021,3.1585,0.0592
high_speed_constant_075_repeat2_nolidar_40hz_20260915,49,8,13288215475802,4,4,True,13288218818016,8,4.165,4166,14813,0.75,0.0,False,0.75,0.0,7,0.75,0.0,0.0,-0.104,0.0,7.53,7.53,0.0,0.75,5.3417,0.0013,0.1442,0.1271,0.0,0.003,0.0,0.0295,4.7123,0.707,0.0104,0.0104,-0.7071,0.8021,3.157,0.0589
high_speed_constant_075_repeat2_nolidar_40hz_20260915,57,9,13288240605075,5,5,True,13288242771709,9,4.19,4191,14931,0.75,0.0,False,0.75,0.0,8,0.75,0.0,0.0,-0.1004,0.0,15.5214,15.5214,0.0,0.75,5.307,0.0004,0.1327,0.2603,0.0,0.0061,0.0,0.0269,4.7123,0.707,0.0095,0.0095,-0.7071,0.8021,3.152,0.0585
high_speed_constant_075_repeat2_nolidar_40hz_20260915,66,10,13288266449412,6,6,True,13288268976554,10,4.216,4217,15058,0.75,0.0,False,0.75,0.0,9,0.75,0.0,0.0,-0.0889,0.0,23.8303,23.8303,0.0,0.75,5.2852,0.0013,0.1573,0.3979,0.0,0.0089,0.0,0.0245,4.7123,0.707,0.0087,0.0087,-0.7071,0.8022,3.1434,0.0581
high_speed_constant_075_repeat2_nolidar_40hz_20260915,75,11,13288291146432,7,7,True,13288294157154,11,4.241,4242,15176,0.75,0.0,False,0.75,0.0,10,0.75,0.0,0.0,-0.0785,0.0,31.8217,31.825,0.0,0.75,5.2365,-0.0008,0.1128,0.5293,0.0,0.0111,0.0,0.0224,4.7123,0.707,0.0079,0.0079,-0.7071,0.8022,3.1317,0.0577
high_speed_constant_075_repeat2_nolidar_40hz_20260915,85,12,13288315959090,8,8,True,13288317735019,12,4.26500034,4266,15290,0.75,0.0,False,0.75,0.0,11,0.75,0.0,0.0001,-0.0698,0.0,39.4957,39.4957,0.0,0.75,5.1967,0.0006,0.0888,0.6547,0.0,0.0128,0.0,0.0206,4.7123,0.707,0.0073,0.0073,-0.7071,0.8022,3.1174,0.0574
high_speed_constant_075_repeat2_nolidar_40hz_20260915,93,13,13288340706996,9,9,True,13288342534402,13,4.29000044,4291,15391,0.75,0.0,False,0.75,0.0,12,0.75,0.0,0.0001,-0.0618,0.0,47.4871,47.4871,0.0,0.75,5.1759,-0.0028,0.1152,0.7844,0.0,0.0143,0.0,0.019,4.7123,0.707,0.0067,0.0067,-0.7071,0.8022,3.0993,0.0572
high_speed_constant_075_repeat2_nolidar_40hz_20260915,102,14,13288365660077,10,10,True,13288367666730,14,4.315,4316,15526,0.75,0.0,False,0.75,0.0,13,0.75,0.0,0.0,-0.0546,0.0,55.4786,55.4786,0.0,0.75,5.1228,0.0015,0.0624,0.9132,0.0,0.0154,0.0,0.0175,4.7123,0.7071,0.0062,0.0062,-0.7071,0.8022,3.078,0.0569
